edge_id,source_node_id,target_node_id,edge_type,graph_view,is_directed,edge_weight,row_count,support_fraction,degraded_count,degradation_rate,baseline_degradation_rate,degradation_lift,source_context_family,target_context_family
edge_befd0da72a1400ec12,context_cooccurrence:context_value:application_browse:3d1bd585d2bd,context_cooccurrence:context_value:area_type_urban:56fedb3ecc6c,context_cooccurs,context_cooccurrence,False,12432.0,12432,0.24864,5691,0.4577702702702703,0.50716,0.9026150924171272,application,area_type
edge_6af87b20812d854a5f,context_cooccurrence:context_value:application_browse:3d1bd585d2bd,context_cooccurrence:context_value:congestion_medium:1096e9812b9e,context_cooccurs,context_cooccurrence,False,5374.0,5374,0.10748,2055,0.3823967249720878,0.50716,0.7539962240162627,application,congestion
edge_d91622599b50534c8e,context_cooccurrence:context_value:application_browse:3d1bd585d2bd,context_cooccurrence:context_value:infrastructure_nominal:86f0c6eb721b,context_cooccurs,context_cooccurrence,False,9373.0,9373,0.18746,4362,0.4653792809132615,0.50716,0.9176182682255332,application,infrastructure
edge_2a3acc041886a14621,context_cooccurrence:context_value:application_browse:3d1bd585d2bd,context_cooccurrence:context_value:mobility_static:d34206ea58e5,context_cooccurs,context_cooccurrence,False,6204.0,6204,0.12408,2528,0.4074790457769181,0.50716,0.803452649611401,application,mobility
edge_22cf3dc627882eebf1,context_cooccurrence:context_value:application_browse:3d1bd585d2bd,context_cooccurrence:context_value:network_type_4g:3830d9ef62b5,context_cooccurs,context_cooccurrence,False,3134.0,3134,0.06268,2017,0.6435864709636248,0.50716,1.2690008497587046,application,network_type
edge_cd43a787206609a1c5,context_cooccurrence:context_value:application_browse:3d1bd585d2bd,context_cooccurrence:context_value:obstruction_medium:3ea6ce2a44a8,context_cooccurs,context_cooccurrence,False,5128.0,5128,0.10256,2366,0.46138845553822155,0.50716,0.9097493010849071,application,obstruction
edge_963a8ebfa7e98056c6,context_cooccurrence:context_value:application_browse:3d1bd585d2bd,context_cooccurrence:context_value:radio_band_lte_anchor:34e50eb9270d,context_cooccurs,context_cooccurrence,False,3134.0,3134,0.06268,2017,0.6435864709636248,0.50716,1.2690008497587046,application,radio_band
edge_18eafb06761e6933c0,context_cooccurrence:context_value:application_browse:3d1bd585d2bd,context_cooccurrence:context_value:time_bin_night:908d2968c559,context_cooccurs,context_cooccurrence,False,3156.0,3156,0.06312,1265,0.40082382762991126,0.50716,0.7903301278293068,application,time_bin
edge_aff409d1a7026e61fb,context_cooccurrence:context_value:application_browse:3d1bd585d2bd,context_cooccurrence:context_value:tower_load_moderate:ff95aa01d274,context_cooccurs,context_cooccurrence,False,3694.0,3694,0.07388,1637,0.4431510557661072,0.50716,0.8737894466560989,application,tower_load
edge_82d2317f072e02e20c,context_cooccurrence:context_value:application_browse:3d1bd585d2bd,context_cooccurrence:context_value:weather_clear:8bab34b7cb82,context_cooccurs,context_cooccurrence,False,8790.0,8790,0.1758,3755,0.4271899886234357,0.50716,0.8423179837200009,application,weather
