edge_id,source_node_id,target_node_id,edge_type,graph_view,is_directed,edge_weight,source_dataset,metric,non_missing_count,non_missing_fraction,comparison_status,recommended_use,claim_scope,source_column,source_value,row_count,reference_dataset,comparison_context,median_difference,wasserstein_distance,ks_statistic,comparison_scope
edge_438ba9cabbd6defa53,external_reference_evidence:source:synnetqos:a81eefc24311,external_reference_evidence:metric:signal_dbm:3a4d672c419a,source_provides_metric,external_reference_evidence,True,50000.0,synnetqos,signal_dbm,50000.0,1.0,available,not_reported,selected radio-strength plausibility comparison,,,,,,,,,
edge_78d42859ae742a53d3,external_reference_evidence:source:synnetqos:a81eefc24311,external_reference_evidence:metric:download_throughput_mbps:ae2d9e2813b2,source_provides_metric,external_reference_evidence,True,50000.0,synnetqos,download_throughput_mbps,50000.0,1.0,available,not_reported,selected throughput plausibility comparison,,,,,,,,,
edge_bbb2baf6e4d1faaa3c,external_reference_evidence:source:synnetqos:a81eefc24311,external_reference_evidence:metric:upload_throughput_mbps:599874e4d7f5,source_provides_metric,external_reference_evidence,True,50000.0,synnetqos,upload_throughput_mbps,50000.0,1.0,available,not_reported,selected upload-throughput plausibility comparison,,,,,,,,,
edge_aa64641e0f0ccaf770,external_reference_evidence:source:synnetqos:a81eefc24311,external_reference_evidence:metric:latency_ms:d96181fbcbbb,source_provides_metric,external_reference_evidence,True,50000.0,synnetqos,latency_ms,50000.0,1.0,available,not_reported,selected latency plausibility comparison,,,,,,,,,
edge_4b09cf3055d21d3c7d,external_reference_evidence:source:synnetqos:a81eefc24311,external_reference_evidence:metric:jitter_ms:5629abf68229,source_provides_metric,external_reference_evidence,True,50000.0,synnetqos,jitter_ms,50000.0,1.0,available,not_reported,selected jitter plausibility comparison,,,,,,,,,
edge_2bf59cf6d19f8c2c86,external_reference_evidence:source:synnetqos:a81eefc24311,external_reference_evidence:metric:offered_downlink_mbps:4a86974694c8,source_provides_metric,external_reference_evidence,True,50000.0,synnetqos,offered_downlink_mbps,50000.0,1.0,available,not_reported,selected traffic-demand plausibility comparison,,,,,,,,,
edge_45572a93fdacdc77c3,external_reference_evidence:source:vienna_4g5g:9718c68f019b,external_reference_evidence:metric:signal_dbm:3a4d672c419a,source_provides_metric,external_reference_evidence,True,3895125.0,vienna_4g5g,signal_dbm,3895125.0,0.9999948654029568,pairwise_comparable,main_text_candidate,selected radio-strength plausibility comparison,,,,,,,,,
edge_85053f2f929b1b8c53,external_reference_evidence:source:vienna_4g5g:9718c68f019b,external_reference_evidence:metric:download_throughput_mbps:ae2d9e2813b2,source_provides_metric,external_reference_evidence,True,1839718.0,vienna_4g5g,download_throughput_mbps,1839718.0,0.4723105301599812,pairwise_comparable,main_text_candidate,selected throughput plausibility comparison,,,,,,,,,
edge_ed2ce83f82034ced2c,external_reference_evidence:source:vienna_4g5g:9718c68f019b,external_reference_evidence:metric:upload_throughput_mbps:599874e4d7f5,source_provides_metric,external_reference_evidence,True,1838818.0,vienna_4g5g,upload_throughput_mbps,1838818.0,0.4720794732930353,pairwise_comparable,supplementary_or_table,selected upload-throughput plausibility comparison,,,,,,,,,
edge_c0902d7280d330a307,external_reference_evidence:source:campus_qos:7d40f1cbee10,external_reference_evidence:metric:download_throughput_mbps:ae2d9e2813b2,source_provides_metric,external_reference_evidence,True,302.0,campus_qos,download_throughput_mbps,302.0,1.0,pairwise_comparable,main_text_candidate,selected throughput plausibility comparison,,,,,,,,,
