edge_id,source_node_id,target_node_id,edge_type,graph_view,is_directed,edge_weight,session_id,source_measurement_id,target_measurement_id,source_service_degraded,target_service_degraded
edge_5755e7d8accf186bea,warehouse_measurement:measurement:synnetqos_m_00000001:5c701a54a3f4,warehouse_measurement:measurement:synnetqos_m_00000002:cf9a09e15ef9,next_measurement,warehouse_measurement,True,1.0,S042_00000,synnetqos_m_00000001,synnetqos_m_00000002,1,1
edge_29054c652238e94810,warehouse_measurement:measurement:synnetqos_m_00000002:cf9a09e15ef9,warehouse_measurement:measurement:synnetqos_m_00000003:1a4b394f3fbd,next_measurement,warehouse_measurement,True,1.0,S042_00000,synnetqos_m_00000002,synnetqos_m_00000003,1,1
edge_1102f56e3f35ef3018,warehouse_measurement:measurement:synnetqos_m_00000003:1a4b394f3fbd,warehouse_measurement:measurement:synnetqos_m_00000004:a367d3da8c90,next_measurement,warehouse_measurement,True,1.0,S042_00000,synnetqos_m_00000003,synnetqos_m_00000004,1,1
edge_d4581d73585619538c,warehouse_measurement:measurement:synnetqos_m_00000004:a367d3da8c90,warehouse_measurement:measurement:synnetqos_m_00000005:eba619fa9572,next_measurement,warehouse_measurement,True,1.0,S042_00000,synnetqos_m_00000004,synnetqos_m_00000005,1,1
edge_64bf1380bf1bfbc853,warehouse_measurement:measurement:synnetqos_m_00000005:eba619fa9572,warehouse_measurement:measurement:synnetqos_m_00000006:c0fd95830c72,next_measurement,warehouse_measurement,True,1.0,S042_00000,synnetqos_m_00000005,synnetqos_m_00000006,1,1
edge_9aeb02c9c8be97dfb4,warehouse_measurement:measurement:synnetqos_m_00000006:c0fd95830c72,warehouse_measurement:measurement:synnetqos_m_00000007:19a74df29293,next_measurement,warehouse_measurement,True,1.0,S042_00000,synnetqos_m_00000006,synnetqos_m_00000007,1,1
edge_dd27e71c233882a2fd,warehouse_measurement:measurement:synnetqos_m_00000007:19a74df29293,warehouse_measurement:measurement:synnetqos_m_00000008:aaf9f917cca2,next_measurement,warehouse_measurement,True,1.0,S042_00000,synnetqos_m_00000007,synnetqos_m_00000008,1,1
edge_6e840af96ad0d2e1b5,warehouse_measurement:measurement:synnetqos_m_00000008:aaf9f917cca2,warehouse_measurement:measurement:synnetqos_m_00000009:63f18b3b2382,next_measurement,warehouse_measurement,True,1.0,S042_00000,synnetqos_m_00000008,synnetqos_m_00000009,1,1
edge_a38f26298e8a6ccf2f,warehouse_measurement:measurement:synnetqos_m_00000009:63f18b3b2382,warehouse_measurement:measurement:synnetqos_m_00000010:9a7aa5984914,next_measurement,warehouse_measurement,True,1.0,S042_00000,synnetqos_m_00000009,synnetqos_m_00000010,1,1
edge_1474fa3fe14edfc458,warehouse_measurement:measurement:synnetqos_m_00000011:ea185f57817c,warehouse_measurement:measurement:synnetqos_m_00000012:efe6e9cd4dfc,next_measurement,warehouse_measurement,True,1.0,S042_00001,synnetqos_m_00000011,synnetqos_m_00000012,0,0
