node_id,node_type,graph_view,node_label,source_dataset,source_column,source_value,context_family,context_value,row_count,degraded_count,degradation_rate
context_cooccurrence:context_value:time_bin_night:908d2968c559,context_value,context_cooccurrence,time_bin=night,synnetqos,time_of_day_bin,night,time_bin,night,12616,5568,0.4413443246670894
context_cooccurrence:context_value:time_bin_morning:7b7f4189c4b9,context_value,context_cooccurrence,time_bin=morning,synnetqos,time_of_day_bin,morning,time_bin,morning,12754,6891,0.5403010820134859
context_cooccurrence:context_value:time_bin_evening:e2cb1b063e48,context_value,context_cooccurrence,time_bin=evening,synnetqos,time_of_day_bin,evening,time_bin,evening,12152,6550,0.5390059249506254
context_cooccurrence:context_value:time_bin_afternoon:e0d493798a7a,context_value,context_cooccurrence,time_bin=afternoon,synnetqos,time_of_day_bin,afternoon,time_bin,afternoon,12478,6349,0.5088155153069402
context_cooccurrence:context_value:area_type_urban:56fedb3ecc6c,context_value,context_cooccurrence,area_type=Urban,synnetqos,area_type,Urban,area_type,Urban,50000,25358,0.50716
context_cooccurrence:context_value:network_type_4g:3830d9ef62b5,context_value,context_cooccurrence,network_type=4G,synnetqos,network_type,4G,network_type,4G,12390,8558,0.6907183212267958
context_cooccurrence:context_value:network_type_5g_nsa:1e446c34aabc,context_value,context_cooccurrence,network_type=5G NSA,synnetqos,network_type,5G NSA,network_type,5G NSA,19650,9889,0.5032569974554707
context_cooccurrence:context_value:network_type_5g_sa:ca96e299bff5,context_value,context_cooccurrence,network_type=5G SA,synnetqos,network_type,5G SA,network_type,5G SA,17960,6911,0.3847995545657016
context_cooccurrence:context_value:infrastructure_nominal:86f0c6eb721b,context_value,context_cooccurrence,infrastructure=Nominal,synnetqos,infrastructure_profile,Nominal,infrastructure,Nominal,37600,19263,0.512313829787234
context_cooccurrence:context_value:infrastructure_moderately_degraded:76839948dcb8,context_value,context_cooccurrence,infrastructure=Moderately_Degraded,synnetqos,infrastructure_profile,Moderately_Degraded,infrastructure,Moderately_Degraded,9800,4763,0.4860204081632653
context_cooccurrence:context_value:infrastructure_severely_degraded:b1e30b31d54a,context_value,context_cooccurrence,infrastructure=Severely_Degraded,synnetqos,infrastructure_profile,Severely_Degraded,infrastructure,Severely_Degraded,2600,1332,0.5123076923076924
context_cooccurrence:context_value:radio_band_lte_anchor:34e50eb9270d,context_value,context_cooccurrence,radio_band=LTE_Anchor,synnetqos,band,LTE_Anchor,radio_band,LTE_Anchor,12390,8558,0.6907183212267958
context_cooccurrence:context_value:radio_band_n77:72cd438a800f,context_value,context_cooccurrence,radio_band=n77,synnetqos,band,n77,radio_band,n77,4060,1975,0.48645320197044334
context_cooccurrence:context_value:radio_band_n78:7ccd8ccc28c3,context_value,context_cooccurrence,radio_band=n78,synnetqos,band,n78,radio_band,n78,15460,7082,0.45808538163001294
context_cooccurrence:context_value:radio_band_n258:4f5199340e56,context_value,context_cooccurrence,radio_band=n258,synnetqos,band,n258,radio_band,n258,3160,1993,0.6306962025316456
context_cooccurrence:context_value:radio_band_n28:af4fa2f617a9,context_value,context_cooccurrence,radio_band=n28,synnetqos,band,n28,radio_band,n28,7420,1651,0.2225067385444744
context_cooccurrence:context_value:radio_band_n41:efc4ef114f74,context_value,context_cooccurrence,radio_band=n41,synnetqos,band,n41,radio_band,n41,2090,798,0.38181818181818183
context_cooccurrence:context_value:radio_band_n260:c860a51b140e,context_value,context_cooccurrence,radio_band=n260,synnetqos,band,n260,radio_band,n260,4100,2553,0.6226829268292683
context_cooccurrence:context_value:radio_band_n257:b9d330068dfa,context_value,context_cooccurrence,radio_band=n257,synnetqos,band,n257,radio_band,n257,670,425,0.6343283582089553
context_cooccurrence:context_value:radio_band_n79:b85c8ced654f,context_value,context_cooccurrence,radio_band=n79,synnetqos,band,n79,radio_band,n79,650,323,0.4969230769230769
context_cooccurrence:context_value:application_browse:3d1bd585d2bd,context_value,context_cooccurrence,application=Browse,synnetqos,app_type,Browse,application,Browse,12432,5691,0.4577702702702703
context_cooccurrence:context_value:application_streaming:ca9f33603ddd,context_value,context_cooccurrence,application=Streaming,synnetqos,app_type,Streaming,application,Streaming,12626,8301,0.6574528750198004
context_cooccurrence:context_value:application_call:285b8de10ee6,context_value,context_cooccurrence,application=Call,synnetqos,app_type,Call,application,Call,12373,4729,0.38220318435302675
context_cooccurrence:context_value:application_gaming:def3dd30caeb,context_value,context_cooccurrence,application=Gaming,synnetqos,app_type,Gaming,application,Gaming,12569,6637,0.5280451905481741
context_cooccurrence:context_value:mobility_static:d34206ea58e5,context_value,context_cooccurrence,mobility=Static,synnetqos,movement_speed,Static,mobility,Static,25236,11657,0.46191948010778255
context_cooccurrence:context_value:mobility_walking:f9c84a86faf4,context_value,context_cooccurrence,mobility=Walking,synnetqos,movement_speed,Walking,mobility,Walking,22774,12506,0.5491349784842364
context_cooccurrence:context_value:mobility_driving:c335cecd5415,context_value,context_cooccurrence,mobility=Driving,synnetqos,movement_speed,Driving,mobility,Driving,1990,1195,0.6005025125628141
context_cooccurrence:context_value:weather_clear:8bab34b7cb82,context_value,context_cooccurrence,weather=Clear,synnetqos,weather,Clear,weather,Clear,35160,16865,0.47966439135381117
context_cooccurrence:context_value:weather_foggy:086f7369c216,context_value,context_cooccurrence,weather=Foggy,synnetqos,weather,Foggy,weather,Foggy,5070,3179,0.6270216962524655
context_cooccurrence:context_value:weather_rainy:2c23bce4260d,context_value,context_cooccurrence,weather=Rainy,synnetqos,weather,Rainy,weather,Rainy,9770,5314,0.5439099283520983
context_cooccurrence:context_value:obstruction_medium:3ea6ce2a44a8,context_value,context_cooccurrence,obstruction=Medium,synnetqos,obstruction_level,Medium,obstruction,Medium,20620,10510,0.5096993210475267
context_cooccurrence:context_value:obstruction_low:6baf2e76a3c7,context_value,context_cooccurrence,obstruction=Low,synnetqos,obstruction_level,Low,obstruction,Low,21350,8569,0.4013583138173302
context_cooccurrence:context_value:obstruction_high:2b69b79ceadf,context_value,context_cooccurrence,obstruction=High,synnetqos,obstruction_level,High,obstruction,High,8030,6279,0.7819427148194271
context_cooccurrence:context_value:congestion_medium:1096e9812b9e,context_value,context_cooccurrence,congestion=Medium,synnetqos,congestion_level,Medium,congestion,Medium,21674,9439,0.4354987542677863
context_cooccurrence:context_value:congestion_high:9d9dddd17c8c,context_value,context_cooccurrence,congestion=High,synnetqos,congestion_level,High,congestion,High,19204,12968,0.6752759841699646
context_cooccurrence:context_value:congestion_low:dc6f30abc825,context_value,context_cooccurrence,congestion=Low,synnetqos,congestion_level,Low,congestion,Low,9122,2951,0.32350361762771324
context_cooccurrence:context_value:tower_load_moderate:ff95aa01d274,context_value,context_cooccurrence,tower_load=Moderate,synnetqos,tower_load,Moderate,tower_load,Moderate,14903,7316,0.4909078708984768
context_cooccurrence:context_value:tower_load_heavy:a49aed9efbc6,context_value,context_cooccurrence,tower_load=Heavy,synnetqos,tower_load,Heavy,tower_load,Heavy,10000,6725,0.6725
context_cooccurrence:context_value:tower_load_light:a96b7363a32b,context_value,context_cooccurrence,tower_load=Light,synnetqos,tower_load,Light,tower_load,Light,25097,11317,0.4509303900864645
