node_id,node_type,graph_view,node_label,metric,reference_dataset,comparison_context,recommended_use,comparison_scope,synnetqos_sample_count,reference_sample_count,median_difference,wasserstein_distance,ks_statistic
external_reference_evidence:comparison:download_throughput_mbps_vienna_4g5g_unfiltered:34bf2ac0be0d,comparison,external_reference_evidence,vienna_4g5g:download_throughput_mbps:unfiltered,download_throughput_mbps,vienna_4g5g,unfiltered,main_text_candidate,selected-variable plausibility comparison; not field validation,10000,10000,6.259999809265137,29.766393887503092,0.2884
external_reference_evidence:comparison:download_throughput_mbps_campus_qos_unfiltered:33e5e01a98e7,comparison,external_reference_evidence,campus_qos:download_throughput_mbps:unfiltered,download_throughput_mbps,campus_qos,unfiltered,main_text_candidate,selected-variable plausibility comparison; not field validation,10000,302,-48.445055249175695,51.06119800113255,0.6310662251655629
external_reference_evidence:comparison:download_throughput_mbps_ucc_5g_context_download_context:a8edabcebf15,comparison,external_reference_evidence,ucc_5g_context:download_throughput_mbps:Download context,download_throughput_mbps,ucc_5g_context,Download context,main_text_candidate,selected-variable plausibility comparison; not field validation,10000,10000,3.5275,13.697324899999998,0.1072
external_reference_evidence:comparison:jitter_ms_campus_qos_unfiltered:0388fd4853c1,comparison,external_reference_evidence,campus_qos:jitter_ms:unfiltered,jitter_ms,campus_qos,unfiltered,supplementary_or_table,selected-variable plausibility comparison; not field validation,10000,302,0.031104424873265,0.104044299936913,0.175451655629139
external_reference_evidence:comparison:jitter_ms_ucc_5g_context_unfiltered:a928f1613ee6,comparison,external_reference_evidence,ucc_5g_context:jitter_ms:unfiltered,jitter_ms,ucc_5g_context,unfiltered,supplementary_or_table,selected-variable plausibility comparison; not field validation,10000,3208,-2.78,8.431350029925186,0.9614483790523692
external_reference_evidence:comparison:latency_ms_ucc_5g_context_unfiltered:265d297896cd,comparison,external_reference_evidence,ucc_5g_context:latency_ms:unfiltered,latency_ms,ucc_5g_context,unfiltered,supplementary_or_table,selected-variable plausibility comparison; not field validation,10000,3208,46.02,60.06613276309227,0.4917553615960099
external_reference_evidence:comparison:offered_downlink_mbps_campus_qos_unfiltered:63c525e399ea,comparison,external_reference_evidence,campus_qos:offered_downlink_mbps:unfiltered,offered_downlink_mbps,campus_qos,unfiltered,supplementary_or_table,selected-variable plausibility comparison; not field validation,10000,302,-81.34,140.01166274172186,0.5192
external_reference_evidence:comparison:signal_dbm_vienna_4g5g_unfiltered:041543d3a3dc,comparison,external_reference_evidence,vienna_4g5g:signal_dbm:unfiltered,signal_dbm,vienna_4g5g,unfiltered,main_text_candidate,selected-variable plausibility comparison; not field validation,10000,10000,-2.984999999999999,4.17331195552063,0.0978
external_reference_evidence:comparison:signal_dbm_ucc_5g_context_unfiltered:87304fe9587c,comparison,external_reference_evidence,ucc_5g_context:signal_dbm:unfiltered,signal_dbm,ucc_5g_context,unfiltered,main_text_candidate,selected-variable plausibility comparison; not field validation,10000,10000,-5.484999999999999,7.943391999999999,0.3365
external_reference_evidence:comparison:upload_throughput_mbps_vienna_4g5g_unfiltered:2f0b5e096ec4,comparison,external_reference_evidence,vienna_4g5g:upload_throughput_mbps:unfiltered,upload_throughput_mbps,vienna_4g5g,unfiltered,supplementary_or_table,selected-variable plausibility comparison; not field validation,10000,10000,0.49,4.6147060022660185,0.1949
external_reference_evidence:comparison:upload_throughput_mbps_campus_qos_unfiltered:40ab23e47be5,comparison,external_reference_evidence,campus_qos:upload_throughput_mbps:unfiltered,upload_throughput_mbps,campus_qos,unfiltered,supplementary_or_table,selected-variable plausibility comparison; not field validation,10000,302,-8.167868687412895,7.112912179402203,0.4684331125827815
external_reference_evidence:comparison:upload_throughput_mbps_ucc_5g_context_download_context:ffaf9b134218,comparison,external_reference_evidence,ucc_5g_context:upload_throughput_mbps:Download context,upload_throughput_mbps,ucc_5g_context,Download context,supplementary_or_table,selected-variable plausibility comparison; not field validation,10000,10000,0.892,6.2483293999999985,0.7023
