node_id,node_type,graph_view,node_label,source_column,source_value,context_family,context_value,row_count
external_reference_evidence:reference_context:application_context_amazon_prime:fc9e4d120356,reference_context,external_reference_evidence,application_context=Amazon_Prime,application_context,Amazon_Prime,application_context,Amazon_Prime,72673
external_reference_evidence:reference_context:application_context_browse:6c311d98379b,reference_context,external_reference_evidence,application_context=Browse,application_context,Browse,application_context,Browse,3
external_reference_evidence:reference_context:application_context_call:bd76fdf40203,reference_context,external_reference_evidence,application_context=Call,application_context,Call,application_context,Call,3
external_reference_evidence:reference_context:application_context_download:0ac3bb5660de,reference_context,external_reference_evidence,application_context=Download,application_context,Download,application_context,Download,43210
external_reference_evidence:reference_context:application_context_gaming:220ae003d63c,reference_context,external_reference_evidence,application_context=Gaming,application_context,Gaming,application_context,Gaming,3
external_reference_evidence:reference_context:application_context_netflix:db7c7e327fc4,reference_context,external_reference_evidence,application_context=Netflix,application_context,Netflix,application_context,Netflix,72834
external_reference_evidence:reference_context:application_context_streaming:252c4bbfc167,reference_context,external_reference_evidence,application_context=Streaming,application_context,Streaming,application_context,Streaming,3
external_reference_evidence:reference_context:application_context_qos_reference:40081d029059,reference_context,external_reference_evidence,application_context=qos_reference,application_context,qos_reference,application_context,qos_reference,13
external_reference_evidence:reference_context:measurement_context_controlled_simulation:759bbb4ef790,reference_context,external_reference_evidence,measurement_context=controlled_simulation,measurement_context,controlled_simulation,measurement_context,controlled_simulation,13
external_reference_evidence:reference_context:measurement_context_controlled_testbed:cb0d3c8f605e,reference_context,external_reference_evidence,measurement_context=controlled_testbed,measurement_context,controlled_testbed,measurement_context,controlled_testbed,303
external_reference_evidence:reference_context:measurement_context_drive_test:4800083e5dc3,reference_context,external_reference_evidence,measurement_context=drive_test,measurement_context,drive_test,measurement_context,drive_test,3895146
external_reference_evidence:reference_context:measurement_context_production_trace:eb86b6caa648,reference_context,external_reference_evidence,measurement_context=production_trace,measurement_context,production_trace,measurement_context,production_trace,188717
external_reference_evidence:reference_context:measurement_context_synthetic_session_record:3c96002206db,reference_context,external_reference_evidence,measurement_context=synthetic_session_record,measurement_context,synthetic_session_record,measurement_context,synthetic_session_record,12
external_reference_evidence:reference_context:measurement_source_ntnu:6d4048c2bd4e,reference_context,external_reference_evidence,measurement_source=ntnu,measurement_source,ntnu,measurement_source,ntnu,142
external_reference_evidence:reference_context:measurement_source_phone:73d2dc1bfc3e,reference_context,external_reference_evidence,measurement_source=phone,measurement_source,phone,measurement_source,phone,2056612
external_reference_evidence:reference_context:measurement_source_scanner:538e7762eadc,reference_context,external_reference_evidence,measurement_source=scanner,measurement_source,scanner,measurement_source,scanner,2027244
external_reference_evidence:reference_context:measurement_source_simulator:5300fda58e1a,reference_context,external_reference_evidence,measurement_source=simulator,measurement_source,simulator,measurement_source,simulator,12
external_reference_evidence:reference_context:measurement_source_wue:9be4922f57e4,reference_context,external_reference_evidence,measurement_source=wue,measurement_source,wue,measurement_source,wue,160
external_reference_evidence:reference_context:mobility_context_driving:4e8a52f89a8c,reference_context,external_reference_evidence,mobility_context=Driving,mobility_context,Driving,mobility_context,Driving,103552
external_reference_evidence:reference_context:mobility_context_static:a19762848f5c,reference_context,external_reference_evidence,mobility_context=Static,mobility_context,Static,mobility_context,Static,85173
external_reference_evidence:reference_context:mobility_context_walking:84d791496687,reference_context,external_reference_evidence,mobility_context=Walking,mobility_context,Walking,mobility_context,Walking,4
external_reference_evidence:reference_context:mobility_context_controlled:c08c59309de8,reference_context,external_reference_evidence,mobility_context=controlled,mobility_context,controlled,mobility_context,controlled,316
