node_id,node_type,graph_view,node_label,source_dataset,source_column,source_value,context_family,context_value
warehouse_measurement:time_bin:night:adb97e8d5c5b,time_bin,warehouse_measurement,time_bin=night,synnetqos,time_of_day_bin,night,time_bin,night
warehouse_measurement:time_bin:morning:a7d256ba56ed,time_bin,warehouse_measurement,time_bin=morning,synnetqos,time_of_day_bin,morning,time_bin,morning
warehouse_measurement:time_bin:evening:88f72072a8ee,time_bin,warehouse_measurement,time_bin=evening,synnetqos,time_of_day_bin,evening,time_bin,evening
warehouse_measurement:time_bin:afternoon:c63cfe316a11,time_bin,warehouse_measurement,time_bin=afternoon,synnetqos,time_of_day_bin,afternoon,time_bin,afternoon
warehouse_measurement:area_type:urban:c3d998263984,area_type,warehouse_measurement,area_type=Urban,synnetqos,area_type,Urban,area_type,Urban
warehouse_measurement:network_type:4g:d80d68f8b179,network_type,warehouse_measurement,network_type=4G,synnetqos,network_type,4G,network_type,4G
warehouse_measurement:network_type:5g_nsa:1c8a91df2a7e,network_type,warehouse_measurement,network_type=5G NSA,synnetqos,network_type,5G NSA,network_type,5G NSA
warehouse_measurement:network_type:5g_sa:97c69c172294,network_type,warehouse_measurement,network_type=5G SA,synnetqos,network_type,5G SA,network_type,5G SA
warehouse_measurement:infrastructure:nominal:c7103e6c0e5f,infrastructure,warehouse_measurement,infrastructure=Nominal,synnetqos,infrastructure_profile,Nominal,infrastructure,Nominal
warehouse_measurement:infrastructure:moderately_degraded:1741834fe586,infrastructure,warehouse_measurement,infrastructure=Moderately_Degraded,synnetqos,infrastructure_profile,Moderately_Degraded,infrastructure,Moderately_Degraded
warehouse_measurement:infrastructure:severely_degraded:4cf20cd716fc,infrastructure,warehouse_measurement,infrastructure=Severely_Degraded,synnetqos,infrastructure_profile,Severely_Degraded,infrastructure,Severely_Degraded
warehouse_measurement:radio_band:lte_anchor:09a35e0e753a,radio_band,warehouse_measurement,radio_band=LTE_Anchor,synnetqos,band,LTE_Anchor,radio_band,LTE_Anchor
warehouse_measurement:radio_band:n77:2eee97e31ca2,radio_band,warehouse_measurement,radio_band=n77,synnetqos,band,n77,radio_band,n77
warehouse_measurement:radio_band:n78:ee6c7fefdcab,radio_band,warehouse_measurement,radio_band=n78,synnetqos,band,n78,radio_band,n78
warehouse_measurement:radio_band:n258:7a68d94ff198,radio_band,warehouse_measurement,radio_band=n258,synnetqos,band,n258,radio_band,n258
warehouse_measurement:radio_band:n28:0fa4df2ec7ad,radio_band,warehouse_measurement,radio_band=n28,synnetqos,band,n28,radio_band,n28
warehouse_measurement:radio_band:n41:d851aa195344,radio_band,warehouse_measurement,radio_band=n41,synnetqos,band,n41,radio_band,n41
warehouse_measurement:radio_band:n260:03941495e5b0,radio_band,warehouse_measurement,radio_band=n260,synnetqos,band,n260,radio_band,n260
warehouse_measurement:radio_band:n257:b24c95ef868c,radio_band,warehouse_measurement,radio_band=n257,synnetqos,band,n257,radio_band,n257
warehouse_measurement:radio_band:n79:fcc0f8901e3e,radio_band,warehouse_measurement,radio_band=n79,synnetqos,band,n79,radio_band,n79
warehouse_measurement:application:browse:8a591a636acd,application,warehouse_measurement,application=Browse,synnetqos,app_type,Browse,application,Browse
warehouse_measurement:application:streaming:da842c42d620,application,warehouse_measurement,application=Streaming,synnetqos,app_type,Streaming,application,Streaming
warehouse_measurement:application:call:10a6099538ce,application,warehouse_measurement,application=Call,synnetqos,app_type,Call,application,Call
warehouse_measurement:application:gaming:1713654f8e61,application,warehouse_measurement,application=Gaming,synnetqos,app_type,Gaming,application,Gaming
warehouse_measurement:mobility:static:c36ef63e34e8,mobility,warehouse_measurement,mobility=Static,synnetqos,movement_speed,Static,mobility,Static
warehouse_measurement:mobility:walking:1177b76e590d,mobility,warehouse_measurement,mobility=Walking,synnetqos,movement_speed,Walking,mobility,Walking
warehouse_measurement:mobility:driving:6383045e4799,mobility,warehouse_measurement,mobility=Driving,synnetqos,movement_speed,Driving,mobility,Driving
warehouse_measurement:weather:clear:fe5fe91e79b9,weather,warehouse_measurement,weather=Clear,synnetqos,weather,Clear,weather,Clear
warehouse_measurement:weather:foggy:ffaecf5ff631,weather,warehouse_measurement,weather=Foggy,synnetqos,weather,Foggy,weather,Foggy
warehouse_measurement:weather:rainy:6774539fd222,weather,warehouse_measurement,weather=Rainy,synnetqos,weather,Rainy,weather,Rainy
warehouse_measurement:obstruction:medium:184458a32a4f,obstruction,warehouse_measurement,obstruction=Medium,synnetqos,obstruction_level,Medium,obstruction,Medium
warehouse_measurement:obstruction:low:ea9abc1b3a4d,obstruction,warehouse_measurement,obstruction=Low,synnetqos,obstruction_level,Low,obstruction,Low
warehouse_measurement:obstruction:high:13c8042ce1f1,obstruction,warehouse_measurement,obstruction=High,synnetqos,obstruction_level,High,obstruction,High
warehouse_measurement:congestion:medium:98398bc11d8b,congestion,warehouse_measurement,congestion=Medium,synnetqos,congestion_level,Medium,congestion,Medium
warehouse_measurement:congestion:high:eebd913695d5,congestion,warehouse_measurement,congestion=High,synnetqos,congestion_level,High,congestion,High
warehouse_measurement:congestion:low:9f5f34161a9a,congestion,warehouse_measurement,congestion=Low,synnetqos,congestion_level,Low,congestion,Low
warehouse_measurement:tower_load:moderate:fab0bb873e09,tower_load,warehouse_measurement,tower_load=Moderate,synnetqos,tower_load,Moderate,tower_load,Moderate
warehouse_measurement:tower_load:heavy:76261d9d57d8,tower_load,warehouse_measurement,tower_load=Heavy,synnetqos,tower_load,Heavy,tower_load,Heavy
warehouse_measurement:tower_load:light:0d05a099f3b7,tower_load,warehouse_measurement,tower_load=Light,synnetqos,tower_load,Light,tower_load,Light
