node_id,node_type,graph_view,node_label,source_dataset,source_column,source_value,measurement_id,session_id,timestamp,service_degraded,high_latency,high_jitter,downlink_service_shortfall,poor_video_quality,dropped_connection,anomalous
warehouse_measurement:measurement:synnetqos_m_00000001:5c701a54a3f4,measurement,warehouse_measurement,synnetqos_m_00000001,synnetqos,measurement_id,synnetqos_m_00000001,synnetqos_m_00000001,S042_00000,2025-07-27 02:04:00.705217,1,True,False,True,False,False,False
warehouse_measurement:measurement:synnetqos_m_00000002:cf9a09e15ef9,measurement,warehouse_measurement,synnetqos_m_00000002,synnetqos,measurement_id,synnetqos_m_00000002,synnetqos_m_00000002,S042_00000,2025-07-27 02:05:00.705217,1,True,False,True,False,False,False
warehouse_measurement:measurement:synnetqos_m_00000003:1a4b394f3fbd,measurement,warehouse_measurement,synnetqos_m_00000003,synnetqos,measurement_id,synnetqos_m_00000003,synnetqos_m_00000003,S042_00000,2025-07-27 02:06:00.705217,1,False,False,True,False,False,False
warehouse_measurement:measurement:synnetqos_m_00000004:a367d3da8c90,measurement,warehouse_measurement,synnetqos_m_00000004,synnetqos,measurement_id,synnetqos_m_00000004,synnetqos_m_00000004,S042_00000,2025-07-27 02:07:00.705217,1,True,False,False,False,False,False
warehouse_measurement:measurement:synnetqos_m_00000005:eba619fa9572,measurement,warehouse_measurement,synnetqos_m_00000005,synnetqos,measurement_id,synnetqos_m_00000005,synnetqos_m_00000005,S042_00000,2025-07-27 02:08:00.705217,1,True,False,True,False,False,False
warehouse_measurement:measurement:synnetqos_m_00000006:c0fd95830c72,measurement,warehouse_measurement,synnetqos_m_00000006,synnetqos,measurement_id,synnetqos_m_00000006,synnetqos_m_00000006,S042_00000,2025-07-27 02:09:00.705217,1,True,False,True,False,False,False
warehouse_measurement:measurement:synnetqos_m_00000007:19a74df29293,measurement,warehouse_measurement,synnetqos_m_00000007,synnetqos,measurement_id,synnetqos_m_00000007,synnetqos_m_00000007,S042_00000,2025-07-27 02:10:00.705217,1,True,False,True,True,False,False
warehouse_measurement:measurement:synnetqos_m_00000008:aaf9f917cca2,measurement,warehouse_measurement,synnetqos_m_00000008,synnetqos,measurement_id,synnetqos_m_00000008,synnetqos_m_00000008,S042_00000,2025-07-27 02:11:00.705217,1,True,False,True,False,False,False
warehouse_measurement:measurement:synnetqos_m_00000009:63f18b3b2382,measurement,warehouse_measurement,synnetqos_m_00000009,synnetqos,measurement_id,synnetqos_m_00000009,synnetqos_m_00000009,S042_00000,2025-07-27 02:12:00.705217,1,True,False,True,False,False,False
warehouse_measurement:measurement:synnetqos_m_00000010:9a7aa5984914,measurement,warehouse_measurement,synnetqos_m_00000010,synnetqos,measurement_id,synnetqos_m_00000010,synnetqos_m_00000010,S042_00000,2025-07-27 02:13:00.705217,1,True,False,True,False,True,False
