node_id,node_type,graph_view,node_label,source_dataset,source_column,source_value,session_id,row_count,degraded_count,degradation_fraction
warehouse_measurement:session:s042_00000:1baf133b60e3,session,warehouse_measurement,S042_00000,synnetqos,session_id,S042_00000,S042_00000,10,10,1.0
warehouse_measurement:session:s042_00001:745b99c241d0,session,warehouse_measurement,S042_00001,synnetqos,session_id,S042_00001,S042_00001,10,0,0.0
warehouse_measurement:session:s042_00002:e5de734fa18c,session,warehouse_measurement,S042_00002,synnetqos,session_id,S042_00002,S042_00002,10,9,0.9
warehouse_measurement:session:s042_00003:b7e46b69fb4e,session,warehouse_measurement,S042_00003,synnetqos,session_id,S042_00003,S042_00003,10,1,0.1
warehouse_measurement:session:s042_00004:96072cfdfba0,session,warehouse_measurement,S042_00004,synnetqos,session_id,S042_00004,S042_00004,10,6,0.6
warehouse_measurement:session:s042_00005:b2117d4f4e2c,session,warehouse_measurement,S042_00005,synnetqos,session_id,S042_00005,S042_00005,10,0,0.0
warehouse_measurement:session:s042_00006:d3f0f58d8966,session,warehouse_measurement,S042_00006,synnetqos,session_id,S042_00006,S042_00006,10,0,0.0
warehouse_measurement:session:s042_00007:7f2b7ffcc2dd,session,warehouse_measurement,S042_00007,synnetqos,session_id,S042_00007,S042_00007,10,8,0.8
warehouse_measurement:session:s042_00008:54f9cf83c52f,session,warehouse_measurement,S042_00008,synnetqos,session_id,S042_00008,S042_00008,10,2,0.2
warehouse_measurement:session:s042_00009:19d72a43c43f,session,warehouse_measurement,S042_00009,synnetqos,session_id,S042_00009,S042_00009,10,2,0.2
warehouse_measurement:session:s042_00010:519275f5f2c4,session,warehouse_measurement,S042_00010,synnetqos,session_id,S042_00010,S042_00010,10,8,0.8
warehouse_measurement:session:s042_00011:59744b77071a,session,warehouse_measurement,S042_00011,synnetqos,session_id,S042_00011,S042_00011,10,8,0.8
warehouse_measurement:session:s042_00012:ee42786b2fdc,session,warehouse_measurement,S042_00012,synnetqos,session_id,S042_00012,S042_00012,10,9,0.9
warehouse_measurement:session:s042_00013:31ddcf2f432b,session,warehouse_measurement,S042_00013,synnetqos,session_id,S042_00013,S042_00013,10,10,1.0
warehouse_measurement:session:s042_00014:5f54f595c23f,session,warehouse_measurement,S042_00014,synnetqos,session_id,S042_00014,S042_00014,10,2,0.2
warehouse_measurement:session:s042_00015:c2c90f6ccb93,session,warehouse_measurement,S042_00015,synnetqos,session_id,S042_00015,S042_00015,10,1,0.1
warehouse_measurement:session:s042_00016:bc42b218b607,session,warehouse_measurement,S042_00016,synnetqos,session_id,S042_00016,S042_00016,10,10,1.0
warehouse_measurement:session:s042_00017:e31e7513c122,session,warehouse_measurement,S042_00017,synnetqos,session_id,S042_00017,S042_00017,10,1,0.1
warehouse_measurement:session:s042_00018:64fb40ca95d1,session,warehouse_measurement,S042_00018,synnetqos,session_id,S042_00018,S042_00018,10,3,0.3
warehouse_measurement:session:s042_00019:450a69ed7fb0,session,warehouse_measurement,S042_00019,synnetqos,session_id,S042_00019,S042_00019,10,7,0.7
warehouse_measurement:session:s042_00020:e7dd52440698,session,warehouse_measurement,S042_00020,synnetqos,session_id,S042_00020,S042_00020,10,9,0.9
warehouse_measurement:session:s042_00021:5d34bd3544e7,session,warehouse_measurement,S042_00021,synnetqos,session_id,S042_00021,S042_00021,10,2,0.2
warehouse_measurement:session:s042_00022:b32c4b40b98e,session,warehouse_measurement,S042_00022,synnetqos,session_id,S042_00022,S042_00022,10,10,1.0
warehouse_measurement:session:s042_00023:9030e8034a70,session,warehouse_measurement,S042_00023,synnetqos,session_id,S042_00023,S042_00023,10,5,0.5
warehouse_measurement:session:s042_00024:855162f7d356,session,warehouse_measurement,S042_00024,synnetqos,session_id,S042_00024,S042_00024,10,9,0.9
warehouse_measurement:session:s042_00025:d6e5e82a3aef,session,warehouse_measurement,S042_00025,synnetqos,session_id,S042_00025,S042_00025,10,10,1.0
warehouse_measurement:session:s042_00026:e5e29ba7ee29,session,warehouse_measurement,S042_00026,synnetqos,session_id,S042_00026,S042_00026,10,8,0.8
warehouse_measurement:session:s042_00027:5ba6454f8ab2,session,warehouse_measurement,S042_00027,synnetqos,session_id,S042_00027,S042_00027,10,3,0.3
warehouse_measurement:session:s042_00028:5e70285454b1,session,warehouse_measurement,S042_00028,synnetqos,session_id,S042_00028,S042_00028,10,5,0.5
warehouse_measurement:session:s042_00029:7b626847205e,session,warehouse_measurement,S042_00029,synnetqos,session_id,S042_00029,S042_00029,10,2,0.2
warehouse_measurement:session:s042_00030:9982d53795c8,session,warehouse_measurement,S042_00030,synnetqos,session_id,S042_00030,S042_00030,10,9,0.9
warehouse_measurement:session:s042_00031:d94a489cabac,session,warehouse_measurement,S042_00031,synnetqos,session_id,S042_00031,S042_00031,10,0,0.0
warehouse_measurement:session:s042_00032:1883d5d3fcf6,session,warehouse_measurement,S042_00032,synnetqos,session_id,S042_00032,S042_00032,10,5,0.5
warehouse_measurement:session:s042_00033:f3e3a065da23,session,warehouse_measurement,S042_00033,synnetqos,session_id,S042_00033,S042_00033,10,10,1.0
warehouse_measurement:session:s042_00034:b209a521332d,session,warehouse_measurement,S042_00034,synnetqos,session_id,S042_00034,S042_00034,10,10,1.0
warehouse_measurement:session:s042_00035:aebc11495068,session,warehouse_measurement,S042_00035,synnetqos,session_id,S042_00035,S042_00035,10,8,0.8
warehouse_measurement:session:s042_00036:b72b76635304,session,warehouse_measurement,S042_00036,synnetqos,session_id,S042_00036,S042_00036,10,8,0.8
warehouse_measurement:session:s042_00037:b87bb5b6b559,session,warehouse_measurement,S042_00037,synnetqos,session_id,S042_00037,S042_00037,10,0,0.0
warehouse_measurement:session:s042_00038:1cfd22514464,session,warehouse_measurement,S042_00038,synnetqos,session_id,S042_00038,S042_00038,10,1,0.1
warehouse_measurement:session:s042_00039:e7e752e6fd92,session,warehouse_measurement,S042_00039,synnetqos,session_id,S042_00039,S042_00039,10,7,0.7
warehouse_measurement:session:s042_00040:24089c8e2a7e,session,warehouse_measurement,S042_00040,synnetqos,session_id,S042_00040,S042_00040,10,0,0.0
warehouse_measurement:session:s042_00041:61d0bd365cc2,session,warehouse_measurement,S042_00041,synnetqos,session_id,S042_00041,S042_00041,10,10,1.0
warehouse_measurement:session:s042_00042:3c2644c9f3b9,session,warehouse_measurement,S042_00042,synnetqos,session_id,S042_00042,S042_00042,10,2,0.2
warehouse_measurement:session:s042_00043:7420f10fe6fa,session,warehouse_measurement,S042_00043,synnetqos,session_id,S042_00043,S042_00043,10,10,1.0
warehouse_measurement:session:s042_00044:686223047441,session,warehouse_measurement,S042_00044,synnetqos,session_id,S042_00044,S042_00044,10,7,0.7
warehouse_measurement:session:s042_00045:e599f103848e,session,warehouse_measurement,S042_00045,synnetqos,session_id,S042_00045,S042_00045,10,1,0.1
warehouse_measurement:session:s042_00046:d1cf25f1ada0,session,warehouse_measurement,S042_00046,synnetqos,session_id,S042_00046,S042_00046,10,3,0.3
warehouse_measurement:session:s042_00047:871d2d06d146,session,warehouse_measurement,S042_00047,synnetqos,session_id,S042_00047,S042_00047,10,9,0.9
warehouse_measurement:session:s042_00048:d30f4dc451a8,session,warehouse_measurement,S042_00048,synnetqos,session_id,S042_00048,S042_00048,10,0,0.0
warehouse_measurement:session:s042_00049:c1d1e086e57a,session,warehouse_measurement,S042_00049,synnetqos,session_id,S042_00049,S042_00049,10,3,0.3
warehouse_measurement:session:s042_00050:72c42f7162c0,session,warehouse_measurement,S042_00050,synnetqos,session_id,S042_00050,S042_00050,10,7,0.7
warehouse_measurement:session:s042_00051:6c998178a39e,session,warehouse_measurement,S042_00051,synnetqos,session_id,S042_00051,S042_00051,10,2,0.2
warehouse_measurement:session:s042_00052:0c572533c3b6,session,warehouse_measurement,S042_00052,synnetqos,session_id,S042_00052,S042_00052,10,1,0.1
warehouse_measurement:session:s042_00053:7af0558e4b19,session,warehouse_measurement,S042_00053,synnetqos,session_id,S042_00053,S042_00053,10,9,0.9
warehouse_measurement:session:s042_00054:6d0aaa822254,session,warehouse_measurement,S042_00054,synnetqos,session_id,S042_00054,S042_00054,10,10,1.0
warehouse_measurement:session:s042_00055:73002252d71d,session,warehouse_measurement,S042_00055,synnetqos,session_id,S042_00055,S042_00055,10,3,0.3
warehouse_measurement:session:s042_00056:99195d77e1a8,session,warehouse_measurement,S042_00056,synnetqos,session_id,S042_00056,S042_00056,10,5,0.5
warehouse_measurement:session:s042_00057:523193fda7a4,session,warehouse_measurement,S042_00057,synnetqos,session_id,S042_00057,S042_00057,10,6,0.6
warehouse_measurement:session:s042_00058:b2ad42dd9d78,session,warehouse_measurement,S042_00058,synnetqos,session_id,S042_00058,S042_00058,10,5,0.5
warehouse_measurement:session:s042_00059:a783bf7878b4,session,warehouse_measurement,S042_00059,synnetqos,session_id,S042_00059,S042_00059,10,4,0.4
warehouse_measurement:session:s042_00060:ba7d52563511,session,warehouse_measurement,S042_00060,synnetqos,session_id,S042_00060,S042_00060,10,5,0.5
warehouse_measurement:session:s042_00061:d7cbe9c463b3,session,warehouse_measurement,S042_00061,synnetqos,session_id,S042_00061,S042_00061,10,7,0.7
warehouse_measurement:session:s042_00062:41a98fc2102a,session,warehouse_measurement,S042_00062,synnetqos,session_id,S042_00062,S042_00062,10,6,0.6
warehouse_measurement:session:s042_00063:ba0f57de8255,session,warehouse_measurement,S042_00063,synnetqos,session_id,S042_00063,S042_00063,10,2,0.2
warehouse_measurement:session:s042_00064:6f8b3198f914,session,warehouse_measurement,S042_00064,synnetqos,session_id,S042_00064,S042_00064,10,10,1.0
warehouse_measurement:session:s042_00065:2fb0e6b6b793,session,warehouse_measurement,S042_00065,synnetqos,session_id,S042_00065,S042_00065,10,5,0.5
warehouse_measurement:session:s042_00066:7f16077b7cb1,session,warehouse_measurement,S042_00066,synnetqos,session_id,S042_00066,S042_00066,10,9,0.9
warehouse_measurement:session:s042_00067:15e58f13ba05,session,warehouse_measurement,S042_00067,synnetqos,session_id,S042_00067,S042_00067,10,6,0.6
warehouse_measurement:session:s042_00068:9758543f1162,session,warehouse_measurement,S042_00068,synnetqos,session_id,S042_00068,S042_00068,10,1,0.1
warehouse_measurement:session:s042_00069:65a0238781e6,session,warehouse_measurement,S042_00069,synnetqos,session_id,S042_00069,S042_00069,10,9,0.9
warehouse_measurement:session:s042_00070:3448bee43b7a,session,warehouse_measurement,S042_00070,synnetqos,session_id,S042_00070,S042_00070,10,7,0.7
warehouse_measurement:session:s042_00071:13472bfd45e2,session,warehouse_measurement,S042_00071,synnetqos,session_id,S042_00071,S042_00071,10,9,0.9
warehouse_measurement:session:s042_00072:495d910dd412,session,warehouse_measurement,S042_00072,synnetqos,session_id,S042_00072,S042_00072,10,9,0.9
warehouse_measurement:session:s042_00073:446e53705b73,session,warehouse_measurement,S042_00073,synnetqos,session_id,S042_00073,S042_00073,10,3,0.3
warehouse_measurement:session:s042_00074:3758efa72b63,session,warehouse_measurement,S042_00074,synnetqos,session_id,S042_00074,S042_00074,10,9,0.9
warehouse_measurement:session:s042_00075:5b413697f35a,session,warehouse_measurement,S042_00075,synnetqos,session_id,S042_00075,S042_00075,10,1,0.1
warehouse_measurement:session:s042_00076:1e8b187ca0fb,session,warehouse_measurement,S042_00076,synnetqos,session_id,S042_00076,S042_00076,10,0,0.0
warehouse_measurement:session:s042_00077:03412581b7bd,session,warehouse_measurement,S042_00077,synnetqos,session_id,S042_00077,S042_00077,10,7,0.7
warehouse_measurement:session:s042_00078:fc0f48060f56,session,warehouse_measurement,S042_00078,synnetqos,session_id,S042_00078,S042_00078,10,2,0.2
warehouse_measurement:session:s042_00079:0d57bdde89f1,session,warehouse_measurement,S042_00079,synnetqos,session_id,S042_00079,S042_00079,10,4,0.4
warehouse_measurement:session:s042_00080:7ebc2911da8a,session,warehouse_measurement,S042_00080,synnetqos,session_id,S042_00080,S042_00080,10,10,1.0
warehouse_measurement:session:s042_00081:62041920ed58,session,warehouse_measurement,S042_00081,synnetqos,session_id,S042_00081,S042_00081,10,10,1.0
warehouse_measurement:session:s042_00082:b33f6f86de62,session,warehouse_measurement,S042_00082,synnetqos,session_id,S042_00082,S042_00082,10,2,0.2
warehouse_measurement:session:s042_00083:617de0c10287,session,warehouse_measurement,S042_00083,synnetqos,session_id,S042_00083,S042_00083,10,3,0.3
warehouse_measurement:session:s042_00084:f2c975877a2a,session,warehouse_measurement,S042_00084,synnetqos,session_id,S042_00084,S042_00084,10,4,0.4
warehouse_measurement:session:s042_00085:fb6b4d8aa356,session,warehouse_measurement,S042_00085,synnetqos,session_id,S042_00085,S042_00085,10,10,1.0
warehouse_measurement:session:s042_00086:b2eb11b27393,session,warehouse_measurement,S042_00086,synnetqos,session_id,S042_00086,S042_00086,10,2,0.2
warehouse_measurement:session:s042_00087:d6d94b270f10,session,warehouse_measurement,S042_00087,synnetqos,session_id,S042_00087,S042_00087,10,9,0.9
warehouse_measurement:session:s042_00088:410ba8692cca,session,warehouse_measurement,S042_00088,synnetqos,session_id,S042_00088,S042_00088,10,8,0.8
warehouse_measurement:session:s042_00089:d6aa84e8e96a,session,warehouse_measurement,S042_00089,synnetqos,session_id,S042_00089,S042_00089,10,3,0.3
warehouse_measurement:session:s042_00090:6250c185643e,session,warehouse_measurement,S042_00090,synnetqos,session_id,S042_00090,S042_00090,10,4,0.4
warehouse_measurement:session:s042_00091:46fad3ec5df1,session,warehouse_measurement,S042_00091,synnetqos,session_id,S042_00091,S042_00091,10,3,0.3
warehouse_measurement:session:s042_00092:6b82ec92c56c,session,warehouse_measurement,S042_00092,synnetqos,session_id,S042_00092,S042_00092,10,3,0.3
warehouse_measurement:session:s042_00093:4888637a1872,session,warehouse_measurement,S042_00093,synnetqos,session_id,S042_00093,S042_00093,10,2,0.2
warehouse_measurement:session:s042_00094:01f1934131d6,session,warehouse_measurement,S042_00094,synnetqos,session_id,S042_00094,S042_00094,10,9,0.9
warehouse_measurement:session:s042_00095:81169a40e22d,session,warehouse_measurement,S042_00095,synnetqos,session_id,S042_00095,S042_00095,10,10,1.0
warehouse_measurement:session:s042_00096:8b252cb13f2e,session,warehouse_measurement,S042_00096,synnetqos,session_id,S042_00096,S042_00096,10,5,0.5
warehouse_measurement:session:s042_00097:c6380f9b7ae5,session,warehouse_measurement,S042_00097,synnetqos,session_id,S042_00097,S042_00097,10,2,0.2
warehouse_measurement:session:s042_00098:06ed93a6769e,session,warehouse_measurement,S042_00098,synnetqos,session_id,S042_00098,S042_00098,10,5,0.5
warehouse_measurement:session:s042_00099:ff7e7f2e86b4,session,warehouse_measurement,S042_00099,synnetqos,session_id,S042_00099,S042_00099,10,7,0.7
warehouse_measurement:session:s042_00100:6a4ce4ff712d,session,warehouse_measurement,S042_00100,synnetqos,session_id,S042_00100,S042_00100,10,10,1.0
warehouse_measurement:session:s042_00101:a43080a827dd,session,warehouse_measurement,S042_00101,synnetqos,session_id,S042_00101,S042_00101,10,6,0.6
warehouse_measurement:session:s042_00102:da1cc62e7450,session,warehouse_measurement,S042_00102,synnetqos,session_id,S042_00102,S042_00102,10,8,0.8
warehouse_measurement:session:s042_00103:db3eefc8c443,session,warehouse_measurement,S042_00103,synnetqos,session_id,S042_00103,S042_00103,10,9,0.9
warehouse_measurement:session:s042_00104:bae766423549,session,warehouse_measurement,S042_00104,synnetqos,session_id,S042_00104,S042_00104,10,6,0.6
warehouse_measurement:session:s042_00105:5dbd5b871fa8,session,warehouse_measurement,S042_00105,synnetqos,session_id,S042_00105,S042_00105,10,7,0.7
