measurement_id,session_id,service_degraded,items
synnetqos_m_00000001,S042_00000,1,app_type=Browse;band=LTE_Anchor;congestion_level=Medium;downlink_shortfall_fraction=shortfall_extreme;infrastructure_profile=Nominal;jitter_ms=jitter_moderate;latency_ms=latency_high;movement_speed=Static;network_type=4G;obstruction_level=Medium;offered_downlink_mbps=offered_moderate;service_degraded=1;signal_strength_dbm=signal_very_weak;time_of_day=night;tower_load=Moderate;weather=Clear
synnetqos_m_00000002,S042_00000,1,app_type=Browse;band=LTE_Anchor;congestion_level=High;downlink_shortfall_fraction=shortfall_extreme;infrastructure_profile=Nominal;jitter_ms=jitter_moderate;latency_ms=latency_high;movement_speed=Static;network_type=4G;obstruction_level=Medium;offered_downlink_mbps=offered_very_high;service_degraded=1;signal_strength_dbm=signal_weak;time_of_day=night;tower_load=Heavy;weather=Clear
synnetqos_m_00000003,S042_00000,1,app_type=Streaming;band=LTE_Anchor;congestion_level=Low;downlink_shortfall_fraction=shortfall_extreme;infrastructure_profile=Nominal;jitter_ms=jitter_low;latency_ms=latency_moderate;movement_speed=Static;network_type=4G;obstruction_level=Medium;offered_downlink_mbps=offered_high;service_degraded=1;signal_strength_dbm=signal_weak;time_of_day=night;tower_load=Light;weather=Clear
synnetqos_m_00000004,S042_00000,1,app_type=Call;band=LTE_Anchor;congestion_level=Low;downlink_shortfall_fraction=shortfall_low;infrastructure_profile=Nominal;jitter_ms=jitter_low;latency_ms=latency_high;movement_speed=Static;network_type=4G;obstruction_level=Medium;offered_downlink_mbps=offered_low;service_degraded=1;signal_strength_dbm=signal_weak;time_of_day=night;tower_load=Light;weather=Clear
synnetqos_m_00000005,S042_00000,1,app_type=Streaming;band=LTE_Anchor;congestion_level=Low;downlink_shortfall_fraction=shortfall_extreme;infrastructure_profile=Nominal;jitter_ms=jitter_low;latency_ms=latency_high;movement_speed=Static;network_type=4G;obstruction_level=Medium;offered_downlink_mbps=offered_high;service_degraded=1;signal_strength_dbm=signal_weak;time_of_day=night;tower_load=Light;weather=Clear
synnetqos_m_00000006,S042_00000,1,app_type=Gaming;band=LTE_Anchor;congestion_level=Low;downlink_shortfall_fraction=shortfall_extreme;infrastructure_profile=Nominal;jitter_ms=jitter_low;latency_ms=latency_high;movement_speed=Static;network_type=4G;obstruction_level=Medium;offered_downlink_mbps=offered_very_high;service_degraded=1;signal_strength_dbm=signal_weak;time_of_day=night;tower_load=Light;weather=Clear
synnetqos_m_00000007,S042_00000,1,app_type=Streaming;band=LTE_Anchor;congestion_level=Medium;downlink_shortfall_fraction=shortfall_extreme;infrastructure_profile=Nominal;jitter_ms=jitter_moderate;latency_ms=latency_high;movement_speed=Static;network_type=4G;obstruction_level=Medium;offered_downlink_mbps=offered_high;service_degraded=1;signal_strength_dbm=signal_very_weak;time_of_day=night;tower_load=Moderate;weather=Clear
synnetqos_m_00000008,S042_00000,1,app_type=Browse;band=LTE_Anchor;congestion_level=High;downlink_shortfall_fraction=shortfall_extreme;infrastructure_profile=Nominal;jitter_ms=jitter_moderate;latency_ms=latency_extreme;movement_speed=Static;network_type=4G;obstruction_level=Medium;offered_downlink_mbps=offered_moderate;service_degraded=1;signal_strength_dbm=signal_weak;time_of_day=night;tower_load=Heavy;weather=Clear
synnetqos_m_00000009,S042_00000,1,app_type=Browse;band=LTE_Anchor;congestion_level=Medium;downlink_shortfall_fraction=shortfall_extreme;infrastructure_profile=Nominal;jitter_ms=jitter_moderate;latency_ms=latency_high;movement_speed=Static;network_type=4G;obstruction_level=Medium;offered_downlink_mbps=offered_high;service_degraded=1;signal_strength_dbm=signal_weak;time_of_day=night;tower_load=Light;weather=Clear
synnetqos_m_00000010,S042_00000,1,app_type=Call;band=LTE_Anchor;congestion_level=High;downlink_shortfall_fraction=shortfall_extreme;infrastructure_profile=Nominal;jitter_ms=jitter_moderate;latency_ms=latency_extreme;movement_speed=Static;network_type=4G;obstruction_level=Medium;offered_downlink_mbps=offered_moderate;service_degraded=1;signal_strength_dbm=signal_very_weak;time_of_day=night;tower_load=Heavy;weather=Clear
synnetqos_m_00000011,S042_00001,0,app_type=Call;band=n77;congestion_level=Medium;downlink_shortfall_fraction=shortfall_low;infrastructure_profile=Moderately_Degraded;jitter_ms=jitter_low;latency_ms=latency_moderate;movement_speed=Static;network_type=5G_NSA;obstruction_level=Low;offered_downlink_mbps=offered_low;service_degraded=0;signal_strength_dbm=signal_moderate;time_of_day=night;tower_load=Moderate;weather=Clear
synnetqos_m_00000012,S042_00001,0,app_type=Streaming;band=n77;congestion_level=Low;downlink_shortfall_fraction=shortfall_high;infrastructure_profile=Moderately_Degraded;jitter_ms=jitter_low;latency_ms=latency_low;movement_speed=Static;network_type=5G_NSA;obstruction_level=Low;offered_downlink_mbps=offered_very_high;service_degraded=0;signal_strength_dbm=signal_strong;time_of_day=night;tower_load=Light;weather=Clear
synnetqos_m_00000013,S042_00001,0,app_type=Gaming;band=n77;congestion_level=High;downlink_shortfall_fraction=shortfall_low;infrastructure_profile=Moderately_Degraded;jitter_ms=jitter_low;latency_ms=latency_moderate;movement_speed=Static;network_type=5G_NSA;obstruction_level=Low;offered_downlink_mbps=offered_high;service_degraded=0;signal_strength_dbm=signal_strong;time_of_day=night;tower_load=Light;weather=Clear
synnetqos_m_00000014,S042_00001,0,app_type=Browse;band=n77;congestion_level=High;downlink_shortfall_fraction=shortfall_low;infrastructure_profile=Moderately_Degraded;jitter_ms=jitter_low;latency_ms=latency_moderate;movement_speed=Static;network_type=5G_NSA;obstruction_level=Low;offered_downlink_mbps=offered_high;service_degraded=0;signal_strength_dbm=signal_strong;time_of_day=night;tower_load=Heavy;weather=Clear
synnetqos_m_00000015,S042_00001,0,app_type=Gaming;band=n77;congestion_level=Low;downlink_shortfall_fraction=shortfall_low;infrastructure_profile=Moderately_Degraded;jitter_ms=jitter_low;latency_ms=latency_low;movement_speed=Static;network_type=5G_NSA;obstruction_level=Low;offered_downlink_mbps=offered_very_high;service_degraded=0;signal_strength_dbm=signal_strong;time_of_day=night;tower_load=Light;weather=Clear
synnetqos_m_00000016,S042_00001,0,app_type=Browse;band=n77;congestion_level=Medium;downlink_shortfall_fraction=shortfall_low;infrastructure_profile=Moderately_Degraded;jitter_ms=jitter_low;latency_ms=latency_moderate;movement_speed=Static;network_type=5G_NSA;obstruction_level=Low;offered_downlink_mbps=offered_moderate;service_degraded=0;signal_strength_dbm=signal_strong;time_of_day=night;tower_load=Light;weather=Clear
synnetqos_m_00000017,S042_00001,0,app_type=Browse;band=n77;congestion_level=Medium;downlink_shortfall_fraction=shortfall_low;infrastructure_profile=Moderately_Degraded;jitter_ms=jitter_moderate;latency_ms=latency_moderate;movement_speed=Walking;network_type=5G_NSA;obstruction_level=Low;offered_downlink_mbps=offered_very_high;service_degraded=0;signal_strength_dbm=signal_moderate;time_of_day=night;tower_load=Moderate;weather=Clear
synnetqos_m_00000018,S042_00001,0,app_type=Browse;band=n77;congestion_level=Medium;downlink_shortfall_fraction=shortfall_low;infrastructure_profile=Moderately_Degraded;jitter_ms=jitter_low;latency_ms=latency_moderate;movement_speed=Walking;network_type=5G_NSA;obstruction_level=Low;offered_downlink_mbps=offered_high;service_degraded=0;signal_strength_dbm=signal_strong;time_of_day=night;tower_load=Moderate;weather=Clear
synnetqos_m_00000019,S042_00001,0,app_type=Browse;band=n77;congestion_level=Low;downlink_shortfall_fraction=shortfall_low;infrastructure_profile=Moderately_Degraded;jitter_ms=jitter_low;latency_ms=latency_low;movement_speed=Walking;network_type=5G_NSA;obstruction_level=Low;offered_downlink_mbps=offered_high;service_degraded=0;signal_strength_dbm=signal_strong;time_of_day=night;tower_load=Light;weather=Clear
synnetqos_m_00000020,S042_00001,0,app_type=Streaming;band=n77;congestion_level=Medium;downlink_shortfall_fraction=shortfall_low;infrastructure_profile=Moderately_Degraded;jitter_ms=jitter_low;latency_ms=latency_low;movement_speed=Walking;network_type=5G_NSA;obstruction_level=Low;offered_downlink_mbps=offered_high;service_degraded=0;signal_strength_dbm=signal_strong;time_of_day=night;tower_load=Light;weather=Clear
synnetqos_m_00000021,S042_00002,1,app_type=Streaming;band=n78;congestion_level=High;downlink_shortfall_fraction=shortfall_extreme;infrastructure_profile=Nominal;jitter_ms=jitter_moderate;latency_ms=latency_high;movement_speed=Static;network_type=5G_SA;obstruction_level=High;offered_downlink_mbps=offered_high;service_degraded=1;signal_strength_dbm=signal_very_weak;time_of_day=morning;tower_load=Heavy;weather=Clear
synnetqos_m_00000022,S042_00002,1,app_type=Browse;band=n78;congestion_level=High;downlink_shortfall_fraction=shortfall_extreme;infrastructure_profile=Nominal;jitter_ms=jitter_moderate;latency_ms=latency_high;movement_speed=Static;network_type=5G_SA;obstruction_level=High;offered_downlink_mbps=offered_high;service_degraded=1;signal_strength_dbm=signal_very_weak;time_of_day=morning;tower_load=Heavy;weather=Clear
synnetqos_m_00000023,S042_00002,1,app_type=Streaming;band=n78;congestion_level=High;downlink_shortfall_fraction=shortfall_extreme;infrastructure_profile=Nominal;jitter_ms=jitter_moderate;latency_ms=latency_high;movement_speed=Static;network_type=5G_SA;obstruction_level=High;offered_downlink_mbps=offered_very_high;service_degraded=1;signal_strength_dbm=signal_weak;time_of_day=morning;tower_load=Heavy;weather=Clear
synnetqos_m_00000024,S042_00002,1,app_type=Streaming;band=n78;congestion_level=High;downlink_shortfall_fraction=shortfall_extreme;infrastructure_profile=Nominal;jitter_ms=jitter_moderate;latency_ms=latency_high;movement_speed=Static;network_type=5G_SA;obstruction_level=High;offered_downlink_mbps=offered_very_high;service_degraded=1;signal_strength_dbm=signal_very_weak;time_of_day=morning;tower_load=Heavy;weather=Clear
