measurement_id,session_id,timestamp,service_degraded,signal_strength_dbm,los_probability,distance_2d_m,path_loss_db,contextual_penalty_db,link_capacity_downlink_mbps,offered_downlink_mbps,download_speed_mbps,offered_upload_mbps,upload_speed_mbps,latency_ms,jitter_ms,ping_ms,interval_handover_count,activity_factor,data_usage_mb,distance_to_tower_km,throughput_satisfaction_ratio,downlink_shortfall_fraction,network_type,infrastructure_profile,band,app_type,movement_speed,weather,obstruction_level,congestion_level,tower_load,time_of_day_bin
synnetqos_m_00000001,S042_00000,2025-07-27 02:04:00.705217,1,-121.38,0.0194,930.0,147.94,18,0.0,14.95,0.0,0.44,0.0,249.06,0.32,247.3,0,0.12,0.0,0.93,0.0,1.0,4G,Nominal,LTE_Anchor,Browse,Static,Clear,Medium,Medium,Moderate,night
synnetqos_m_00000002,S042_00000,2025-07-27 02:05:00.705217,1,-105.63,0.0194,930.0,130.22,18,3.03,250.24,2.75,1.43,0.45,277.65,0.5,278.8,0,0.085,1.75,0.93,0.010989450127877238,0.9890105498721228,4G,Nominal,LTE_Anchor,Browse,Static,Clear,Medium,High,Heavy,night
synnetqos_m_00000003,S042_00000,2025-07-27 02:06:00.705217,1,-107.1,0.0194,930.0,131.06,18,8.91,97.61,8.9,28.39,1.27,141.62,0.14,144.6,0,0.169,11.31,0.93,0.09117918246081344,0.9088208175391865,4G,Nominal,LTE_Anchor,Streaming,Static,Clear,Medium,Low,Light,night
synnetqos_m_00000004,S042_00000,2025-07-27 02:07:00.705217,1,-111.6,0.0194,930.0,137.37,18,2.55,2.64,2.4,1.29,0.37,153.83,0.11,151.1,0,0.108,1.95,0.93,0.9090909090909091,0.09090909090909094,4G,Nominal,LTE_Anchor,Call,Static,Clear,Medium,Low,Light,night
synnetqos_m_00000005,S042_00000,2025-07-27 02:08:00.705217,1,-112.75,0.0194,930.0,140.81,18,2.31,161.68,2.19,48.12,0.32,164.56,0.14,167.9,0,0.072,1.19,0.93,0.013545274616526472,0.9864547253834736,4G,Nominal,LTE_Anchor,Streaming,Static,Clear,Medium,Low,Light,night
synnetqos_m_00000006,S042_00000,2025-07-27 02:09:00.705217,1,-114.42,0.0194,930.0,138.35,18,3.21,211.29,3.13,8.13,0.47,163.36,0.24,157.7,0,0.09,2.11,0.93,0.014813763074447442,0.9851862369255525,4G,Nominal,LTE_Anchor,Gaming,Static,Clear,Medium,Low,Light,night
synnetqos_m_00000007,S042_00000,2025-07-27 02:10:00.705217,1,-116.37,0.0194,930.0,144.18,18,0.0,58.98,0.0,39.06,0.0,228.9,0.3,226.8,0,0.113,0.0,0.93,0.0,1.0,4G,Nominal,LTE_Anchor,Streaming,Static,Clear,Medium,Medium,Moderate,night
synnetqos_m_00000008,S042_00000,2025-07-27 02:11:00.705217,1,-113.85,0.0194,930.0,140.04,18,0.0,17.57,0.0,0.27,0.0,346.36,0.61,340.7,0,0.1,0.0,0.93,0.0,1.0,4G,Nominal,LTE_Anchor,Browse,Static,Clear,Medium,High,Heavy,night
synnetqos_m_00000009,S042_00000,2025-07-27 02:12:00.705217,1,-107.42,0.0194,930.0,132.74,18,4.79,136.52,4.57,1.17,0.72,188.94,0.27,189.2,0,0.052,1.78,0.93,0.03347494872546147,0.9665250512745385,4G,Nominal,LTE_Anchor,Browse,Static,Clear,Medium,Medium,Light,night
synnetqos_m_00000010,S042_00000,2025-07-27 02:13:00.705217,1,-129.67,0.0194,930.0,155.29,18,0.0,11.19,0.0,0.98,0.0,379.81,0.81,382.2,0,0.135,0.0,0.93,0.0,1.0,4G,Nominal,LTE_Anchor,Call,Static,Clear,Medium,High,Heavy,night
synnetqos_m_00000011,S042_00001,2025-08-21 01:12:38.741856,0,-94.34,0.05,360.0,138.09,2,183.4,2.66,2.46,0.13,0.14,97.94,0.13,94.4,0,0.139,2.56,0.36,0.9248120300751879,0.07518796992481214,5G NSA,Moderately_Degraded,n77,Call,Static,Clear,Low,Medium,Moderate,night
synnetqos_m_00000012,S042_00001,2025-08-21 01:13:38.741856,0,-78.84,0.05,360.0,121.95,2,575.86,1500.0,539.16,44.22,42.05,41.98,0.05,38.5,0,0.12,483.41,0.36,0.35944,0.64056,5G NSA,Moderately_Degraded,n77,Streaming,Static,Clear,Low,Low,Light,night
synnetqos_m_00000013,S042_00001,2025-08-21 01:14:38.741856,0,-84.01,0.05,360.0,126.7,2,127.19,73.61,66.3,7.02,7.05,100.98,0.23,103.6,0,0.07,34.6,0.36,0.9006928406466512,0.09930715935334877,5G NSA,Moderately_Degraded,n77,Gaming,Static,Clear,Low,High,Light,night
synnetqos_m_00000014,S042_00001,2025-08-21 01:15:38.741856,0,-73.55,0.05,360.0,117.12,2,150.77,86.99,86.87,0.27,0.26,59.13,0.1,55.9,0,0.104,67.53,0.36,0.9986205310955283,0.0013794689044717146,5G NSA,Moderately_Degraded,n77,Browse,Static,Clear,Low,High,Heavy,night
synnetqos_m_00000015,S042_00001,2025-08-21 01:16:38.741856,0,-81.46,0.05,360.0,124.14,2,551.41,517.92,510.95,1.69,1.7,44.78,0.06,46.7,0,0.099,379.9,0.36,0.9865423231387087,0.01345767686129129,5G NSA,Moderately_Degraded,n77,Gaming,Static,Clear,Low,Low,Light,night
synnetqos_m_00000016,S042_00001,2025-08-21 01:17:38.741856,0,-79.57,0.05,360.0,123.0,2,329.93,15.35,15.77,0.26,0.26,55.13,0.08,56.7,0,0.087,10.31,0.36,1.0273615635179154,0.0,5G NSA,Moderately_Degraded,n77,Browse,Static,Clear,Low,Medium,Light,night
synnetqos_m_00000017,S042_00001,2025-08-21 01:18:38.741856,0,-90.9,0.0571,315.81,131.01,4,201.57,208.13,190.29,0.95,0.98,101.49,0.28,105.0,2,0.113,161.05,0.316,0.9142843415173209,0.08571565848267915,5G NSA,Moderately_Degraded,n77,Browse,Walking,Clear,Low,Medium,Moderate,night
synnetqos_m_00000018,S042_00001,2025-08-21 01:19:38.741856,0,-81.9,0.0465,387.67,123.41,4,289.56,64.59,62.64,0.12,0.12,64.43,0.12,68.8,2,0.109,51.18,0.388,0.969809568044589,0.030190431955411046,5G NSA,Moderately_Degraded,n77,Browse,Walking,Clear,Low,Medium,Moderate,night
synnetqos_m_00000019,S042_00001,2025-08-21 01:20:38.741856,0,-79.86,0.0461,390.89,120.29,4,519.78,106.15,107.1,0.61,0.58,45.08,0.06,48.5,1,0.111,89.2,0.391,1.0089495996231745,0.0,5G NSA,Moderately_Degraded,n77,Browse,Walking,Clear,Low,Low,Light,night
synnetqos_m_00000020,S042_00001,2025-08-21 01:21:38.741856,0,-75.01,0.0513,351.26,118.33,4,314.28,82.02,82.61,11.25,11.74,42.85,0.08,49.5,0,0.123,76.17,0.351,1.0071933674713485,0.0,5G NSA,Moderately_Degraded,n77,Streaming,Walking,Clear,Low,Medium,Light,night
synnetqos_m_00000021,S042_00002,2025-08-15 06:33:03.286742,1,-123.54,0.0132,1360.0,139.07,28,0.0,130.95,0.0,36.39,0.0,205.12,0.44,210.9,0,0.139,0.0,1.36,0.0,1.0,5G SA,Nominal,n78,Streaming,Static,Clear,High,High,Heavy,morning
synnetqos_m_00000022,S042_00002,2025-08-15 06:34:03.286742,1,-115.05,0.0132,1360.0,133.37,28,6.67,83.73,6.03,0.58,0.57,181.86,0.3,188.2,0,0.103,4.65,1.36,0.07201719813686851,0.9279828018631315,5G SA,Nominal,n78,Browse,Static,Clear,High,High,Heavy,morning
synnetqos_m_00000023,S042_00002,2025-08-15 06:35:03.286742,1,-114.66,0.0132,1360.0,134.92,28,8.08,540.85,7.36,22.84,2.68,174.58,0.36,178.4,0,0.085,4.71,1.36,0.01360820930017565,0.9863917906998243,5G SA,Nominal,n78,Streaming,Static,Clear,High,High,Heavy,morning
synnetqos_m_00000024,S042_00002,2025-08-15 06:36:03.286742,1,-135.0,0.0132,1360.0,155.96,28,7.94,690.09,7.94,21.11,2.78,201.24,0.36,203.4,0,0.055,3.29,1.36,0.011505745627381936,0.9884942543726181,5G SA,Nominal,n78,Streaming,Static,Clear,High,High,Heavy,morning
synnetqos_m_00000025,S042_00002,2025-08-15 06:37:03.286742,1,-108.12,0.0132,1360.0,123.69,28,59.82,1359.93,56.71,40.76,20.94,78.1,0.11,85.7,0,0.108,45.98,1.36,0.0417006757700764,0.9582993242299236,5G SA,Nominal,n78,Streaming,Static,Clear,High,Low,Light,morning
synnetqos_m_00000026,S042_00002,2025-08-15 06:38:03.286742,1,-135.0,0.0132,1360.0,152.93,28,0.0,16.01,0.0,0.73,0.0,93.66,0.15,85.3,0,0.083,0.0,1.36,0.0,1.0,5G SA,Nominal,n78,Call,Static,Clear,High,Low,Light,morning
synnetqos_m_00000027,S042_00002,2025-08-15 06:39:03.286742,0,-135.0,0.0132,1360.0,158.45,28,12.37,5.42,5.55,0.48,0.48,115.27,0.21,112.6,0,0.129,5.36,1.36,1.0239852398523985,0.0,5G SA,Nominal,n78,Call,Static,Clear,High,Medium,Light,morning
synnetqos_m_00000028,S042_00002,2025-08-15 06:40:03.286742,1,-135.0,0.0126,1428.01,157.63,30,0.0,219.76,0.0,2.0,0.0,143.63,0.24,142.3,1,0.064,0.0,1.428,0.0,1.0,5G SA,Nominal,n78,Browse,Walking,Clear,High,Medium,Moderate,morning
synnetqos_m_00000029,S042_00002,2025-08-15 06:41:03.286742,1,-135.0,0.0124,1450.89,153.29,30,3.78,115.24,3.76,42.67,1.3,143.8,0.55,138.0,1,0.097,2.74,1.451,0.032627559875043385,0.9673724401249566,5G SA,Nominal,n78,Gaming,Walking,Clear,High,Medium,Moderate,morning
synnetqos_m_00000030,S042_00002,2025-08-15 06:42:03.286742,1,-122.93,0.0121,1490.09,135.41,30,19.38,987.95,19.38,23.8,6.27,106.85,0.18,106.6,0,0.067,9.74,1.49,0.01961637734703173,0.9803836226529683,5G SA,Nominal,n78,Streaming,Walking,Clear,High,Low,Light,morning
synnetqos_m_00000031,S042_00003,2025-08-16 23:24:55.485826,0,-78.6,0.0884,210.0,115.08,10,247.37,177.34,180.06,6.04,5.55,46.92,0.09,49.0,0,0.06,81.06,0.21,1.0153377692567949,0.0,5G SA,Nominal,n78,Gaming,Static,Foggy,Low,High,Light,evening
synnetqos_m_00000032,S042_00003,2025-08-16 23:25:55.485826,0,-89.79,0.0884,210.0,121.54,10,456.75,35.69,34.91,1.11,1.14,54.32,0.12,61.3,0,0.139,36.34,0.21,0.9781451386943121,0.021854861305687923,5G SA,Nominal,n78,Browse,Static,Foggy,Low,Medium,Moderate,evening
synnetqos_m_00000033,S042_00003,2025-08-16 23:26:55.485826,0,-55.12,0.0884,210.0,91.06,10,249.62,14.83,13.65,0.08,0.08,22.94,0.07,25.8,0,0.136,13.93,0.21,0.9204315576534052,0.07956844234659477,5G SA,Nominal,n78,Call,Static,Foggy,Low,High,Light,evening
synnetqos_m_00000034,S042_00003,2025-08-16 23:27:55.485826,0,-93.58,0.0884,210.0,127.72,10,568.15,161.71,156.68,7.96,7.56,54.97,0.04,57.6,0,0.11,129.35,0.21,0.9688949353781461,0.031105064621853917,5G SA,Nominal,n78,Gaming,Static,Foggy,Low,Low,Light,evening
synnetqos_m_00000035,S042_00003,2025-08-16 23:28:55.485826,0,-91.68,0.0805,228.33,123.1,12,354.59,45.62,41.34,0.62,0.57,77.01,0.14,76.2,0,0.08,24.86,0.228,0.9061814993423938,0.09381850065760622,5G SA,Nominal,n78,Browse,Walking,Foggy,Low,Medium,Moderate,evening
synnetqos_m_00000036,S042_00003,2025-08-16 23:29:55.485826,1,-88.27,0.0805,228.33,117.71,10,202.12,1241.94,184.39,36.15,36.91,85.92,0.19,88.2,0,0.094,130.65,0.228,0.1484693302413965,0.8515306697586035,5G SA,Nominal,n78,Streaming,Static,Foggy,Low,High,Heavy,evening
synnetqos_m_00000037,S042_00003,2025-08-16 23:30:55.485826,0,-85.71,0.0805,228.33,115.11,10,234.88,6.39,5.79,0.86,0.89,63.29,0.2,67.8,0,0.075,3.27,0.228,0.9061032863849766,0.09389671361502339,5G SA,Nominal,n78,Call,Static,Foggy,Low,High,Heavy,evening
synnetqos_m_00000038,S042_00003,2025-08-16 23:31:55.485826,0,-84.17,0.0805,228.33,116.26,10,546.95,2.22,2.0,0.15,0.14,41.2,0.07,44.7,0,0.084,1.25,0.228,0.9009009009009008,0.0990990990990992,5G SA,Nominal,n78,Call,Static,Foggy,Low,Medium,Light,evening
synnetqos_m_00000039,S042_00003,2025-08-16 23:32:55.485826,0,-80.23,0.0805,228.33,117.19,10,256.34,276.12,247.3,5.64,5.38,57.75,0.1,65.4,0,0.083,154.48,0.228,0.8956250905403448,0.10437490945965522,5G SA,Nominal,n78,Gaming,Static,Foggy,Low,High,Heavy,evening
synnetqos_m_00000040,S042_00003,2025-08-16 23:33:55.485826,0,-71.19,0.0805,228.33,106.32,10,250.99,3.68,3.41,0.04,0.04,20.27,0.04,16.6,0,0.117,3.0,0.228,0.9266304347826086,0.07336956521739135,5G SA,Nominal,n78,Call,Static,Foggy,Low,High,Light,evening
synnetqos_m_00000041,S042_00004,2025-08-04 23:21:40.458412,0,-94.62,0.0515,350.0,134.7,8,475.21,102.28,98.58,3.25,3.17,56.71,0.08,50.6,0,0.089,65.46,0.35,0.963824794681267,0.03617520531873297,5G SA,Moderately_Degraded,n258,Gaming,Static,Clear,Medium,Low,Light,evening
synnetqos_m_00000042,S042_00004,2025-08-04 23:22:40.458412,1,-114.87,0.0515,350.0,148.59,8,0.0,367.44,0.0,27.72,0.0,181.99,0.86,184.1,0,0.085,0.0,0.35,0.0,1.0,5G SA,Moderately_Degraded,n258,Streaming,Static,Clear,Medium,High,Heavy,evening
synnetqos_m_00000043,S042_00004,2025-08-04 23:23:40.458412,0,-101.78,0.0515,350.0,136.12,10,112.66,62.84,64.05,1.11,1.03,97.08,0.23,99.3,0,0.092,44.21,0.35,1.0192552514322086,0.0,5G SA,Moderately_Degraded,n258,Browse,Walking,Clear,Medium,Medium,Moderate,evening
synnetqos_m_00000044,S042_00004,2025-08-04 23:24:40.458412,1,-111.67,0.0515,350.0,145.17,10,0.0,438.01,0.0,3.74,0.0,194.04,0.47,197.6,1,0.094,0.0,0.35,0.0,1.0,5G SA,Moderately_Degraded,n258,Gaming,Walking,Clear,Medium,High,Heavy,evening
synnetqos_m_00000045,S042_00004,2025-08-04 23:25:40.458412,0,-109.92,0.0515,350.0,144.59,10,42.59,82.45,39.3,1.25,1.18,116.48,0.28,116.8,2,0.121,35.59,0.35,0.4766525166767738,0.5233474833232262,5G SA,Moderately_Degraded,n258,Browse,Walking,Clear,Medium,Medium,Light,evening
synnetqos_m_00000046,S042_00004,2025-08-04 23:26:40.458412,1,-107.79,0.0536,336.63,144.36,10,28.58,404.75,28.47,19.21,10.0,110.92,0.2,106.7,0,0.059,12.64,0.337,0.07033971587399629,0.9296602841260038,5G SA,Moderately_Degraded,n258,Gaming,Walking,Clear,Medium,Medium,Moderate,evening
