source_dataset,metric,column_name,value
vienna_4g5g,row_count,,3895145.0
vienna_4g5g,non_missing_count,frequency_ghz,3893486.0
vienna_4g5g,missing_fraction,frequency_ghz,0.00042591482473694817
vienna_4g5g,mean,frequency_ghz,2.722016508142066
vienna_4g5g,std,frequency_ghz,0.9378706017433299
vienna_4g5g,min,frequency_ghz,0.801
vienna_4g5g,q25,frequency_ghz,1.855
vienna_4g5g,median,frequency_ghz,3.54
vienna_4g5g,q75,frequency_ghz,3.54
vienna_4g5g,max,frequency_ghz,3.7488
vienna_4g5g,non_missing_count,rsrp_dbm,3895125.0
vienna_4g5g,missing_fraction,rsrp_dbm,5.134597043242292e-06
vienna_4g5g,mean,rsrp_dbm,-95.30287270603904
vienna_4g5g,std,rsrp_dbm,14.234119950994728
vienna_4g5g,min,rsrp_dbm,-150.0
vienna_4g5g,q25,rsrp_dbm,-105.3
vienna_4g5g,median,rsrp_dbm,-95.4
vienna_4g5g,q75,rsrp_dbm,-85.2
vienna_4g5g,max,rsrp_dbm,-34.0
vienna_4g5g,non_missing_count,rsrq_db,3895083.0
vienna_4g5g,missing_fraction,rsrq_db,1.5917250834051108e-05
vienna_4g5g,mean,rsrq_db,-16.18966823301596
vienna_4g5g,std,rsrq_db,5.645319838076049
vienna_4g5g,min,rsrq_db,-39.8
vienna_4g5g,q25,rsrq_db,-20.5
vienna_4g5g,median,rsrq_db,-14.7
vienna_4g5g,q75,rsrq_db,-11.699999809265137
vienna_4g5g,max,rsrq_db,0.0
vienna_4g5g,non_missing_count,rssi_dbm,3411054.0
vienna_4g5g,missing_fraction,rssi_dbm,0.12428061086301023
vienna_4g5g,mean,rssi_dbm,-57.943445109430236
vienna_4g5g,std,rssi_dbm,12.309069018923195
vienna_4g5g,min,rssi_dbm,-105.3
vienna_4g5g,q25,rssi_dbm,-66.5999984741211
vienna_4g5g,median,rssi_dbm,-57.9
vienna_4g5g,q75,rssi_dbm,-49.2
vienna_4g5g,max,rssi_dbm,-3.1
vienna_4g5g,non_missing_count,sinr_db,3410027.0
vienna_4g5g,missing_fraction,sinr_db,0.12454427242118073
vienna_4g5g,mean,sinr_db,1.4288334379361027
vienna_4g5g,std,sinr_db,12.11034480549292
vienna_4g5g,min,sinr_db,-30.0
vienna_4g5g,q25,sinr_db,-9.7
vienna_4g5g,median,sinr_db,1.3
vienna_4g5g,q75,sinr_db,10.699999809265137
vienna_4g5g,max,sinr_db,45.2
vienna_4g5g,non_missing_count,cqi,0.0
vienna_4g5g,missing_fraction,cqi,1.0
vienna_4g5g,non_missing_count,download_throughput_mbps,1839718.0
vienna_4g5g,missing_fraction,download_throughput_mbps,0.5276894698400187
vienna_4g5g,mean,download_throughput_mbps,83.78637066110882
vienna_4g5g,std,download_throughput_mbps,167.77665160226684
vienna_4g5g,min,download_throughput_mbps,0.0
vienna_4g5g,q25,download_throughput_mbps,0.6000000238418579
vienna_4g5g,median,download_throughput_mbps,9.699999809265137
vienna_4g5g,q75,download_throughput_mbps,73.5999984741211
vienna_4g5g,max,download_throughput_mbps,1291.5999755859375
vienna_4g5g,non_missing_count,upload_throughput_mbps,1838818.0
vienna_4g5g,missing_fraction,upload_throughput_mbps,0.5279205267069647
vienna_4g5g,mean,upload_throughput_mbps,10.117382686832986
vienna_4g5g,std,upload_throughput_mbps,19.346436886551835
vienna_4g5g,min,upload_throughput_mbps,0.0
vienna_4g5g,q25,upload_throughput_mbps,0.20000000298023224
vienna_4g5g,median,upload_throughput_mbps,0.5
vienna_4g5g,q75,upload_throughput_mbps,8.0
vienna_4g5g,max,upload_throughput_mbps,120.0
vienna_4g5g,non_missing_count,download_bitrate_raw,0.0
vienna_4g5g,missing_fraction,download_bitrate_raw,1.0
vienna_4g5g,non_missing_count,upload_bitrate_raw,0.0
