measurement_id,session_id,timestamp,service_degraded,high_latency,high_jitter,downlink_service_shortfall,poor_video_quality,hour,is_weekend,signal_strength_dbm,los_probability,distance_2d_m,distance_3d_m,breakpoint_distance_m,path_loss_db,deterministic_path_loss_db,shadow_fading_db,fast_fading_db,obstruction_penalty_db,weather_penalty_db,mobility_penalty_db,indoor_penalty_db,contextual_penalty_db,effective_tx_power_dbm,signal_strength_unclipped_dbm,rsrp_clipped,link_capacity_downlink_mbps,link_capacity_upload_mbps,offered_downlink_mbps,offered_upload_mbps,battery_level_percent,temperature_c,connected_duration_min,interval_handover_count,cumulative_handover_count,activity_factor,data_usage_mb,distance_to_tower_km,carrier_frequency_ghz,day_of_week,time_of_day_bin,deployment_area,area_type,ue_profile,ue_capability_class,network_type,operator_profile,infrastructure_profile,propagation_model,propagation_scenario,los_state,band,app_type,movement_speed,weather,obstruction_level,congestion_level,tower_load
synnetqos_m_00000001,S042_00000,2025-07-27 02:04:00.705217,1,1,0,1,0,2,True,-121.38,0.0194,930.0,930.04,156,147.94,136.03,11.91,0.56,8,0,0,10,18,44,-121.38,False,0.0,0.0,14.95,0.44,91.71,27.2,1,0,0,0.12,0.0,0.93,2.6,Sunday,night,Area_F,Urban,UE-Advanced,Advanced,4G,Operator_E,Nominal,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,LTE_Anchor,Browse,Static,Clear,Medium,Medium,Moderate
synnetqos_m_00000002,S042_00000,2025-07-27 02:05:00.705217,1,1,0,1,0,2,True,-105.63,0.0194,930.0,930.04,156,130.22,136.03,-5.81,-1.41,8,0,0,10,18,44,-105.63,False,3.03,0.45,250.24,1.43,91.64,30.9,2,0,0,0.085,1.75,0.93,2.6,Sunday,night,Area_F,Urban,UE-Advanced,Advanced,4G,Operator_E,Nominal,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,LTE_Anchor,Browse,Static,Clear,Medium,High,Heavy
synnetqos_m_00000003,S042_00000,2025-07-27 02:06:00.705217,1,0,0,1,0,2,True,-107.1,0.0194,930.0,930.04,156,131.06,136.03,-4.97,-2.04,8,0,0,10,18,44,-107.1,False,8.91,1.34,97.61,28.39,91.55,31.3,3,0,0,0.169,11.31,0.93,2.6,Sunday,night,Area_F,Urban,UE-Advanced,Advanced,4G,Operator_E,Nominal,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,LTE_Anchor,Streaming,Static,Clear,Medium,Low,Light
synnetqos_m_00000004,S042_00000,2025-07-27 02:07:00.705217,1,1,0,0,0,2,True,-111.6,0.0194,930.0,930.04,156,137.37,136.03,1.34,-0.23,8,0,0,10,18,44,-111.6,False,2.55,0.38,2.64,1.29,91.47,28.9,4,0,0,0.108,1.95,0.93,2.6,Sunday,night,Area_F,Urban,UE-Advanced,Advanced,4G,Operator_E,Nominal,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,LTE_Anchor,Call,Static,Clear,Medium,Low,Light
synnetqos_m_00000005,S042_00000,2025-07-27 02:08:00.705217,1,1,0,1,0,2,True,-112.75,0.0194,930.0,930.04,156,140.81,136.03,4.78,2.06,8,0,0,10,18,44,-112.75,False,2.31,0.35,161.68,48.12,91.38,27.7,5,0,0,0.072,1.19,0.93,2.6,Sunday,night,Area_F,Urban,UE-Advanced,Advanced,4G,Operator_E,Nominal,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,LTE_Anchor,Streaming,Static,Clear,Medium,Low,Light
synnetqos_m_00000006,S042_00000,2025-07-27 02:09:00.705217,1,1,0,1,0,2,True,-114.42,0.0194,930.0,930.04,156,138.35,136.03,2.32,-2.08,8,0,0,10,18,44,-114.42,False,3.21,0.48,211.29,8.13,91.3,29.5,6,0,0,0.09,2.11,0.93,2.6,Sunday,night,Area_F,Urban,UE-Advanced,Advanced,4G,Operator_E,Nominal,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,LTE_Anchor,Gaming,Static,Clear,Medium,Low,Light
synnetqos_m_00000007,S042_00000,2025-07-27 02:10:00.705217,1,1,0,1,1,2,True,-116.37,0.0194,930.0,930.04,156,144.18,136.03,8.15,1.81,8,0,0,10,18,44,-116.37,False,0.0,0.0,58.98,39.06,91.21,31.3,7,0,0,0.113,0.0,0.93,2.6,Sunday,night,Area_F,Urban,UE-Advanced,Advanced,4G,Operator_E,Nominal,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,LTE_Anchor,Streaming,Static,Clear,Medium,Medium,Moderate
synnetqos_m_00000008,S042_00000,2025-07-27 02:11:00.705217,1,1,0,1,0,2,True,-113.85,0.0194,930.0,930.04,156,140.04,136.03,4.01,0.19,8,0,0,10,18,44,-113.85,False,0.0,0.0,17.57,0.27,91.12,29.2,8,0,0,0.1,0.0,0.93,2.6,Sunday,night,Area_F,Urban,UE-Advanced,Advanced,4G,Operator_E,Nominal,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,LTE_Anchor,Browse,Static,Clear,Medium,High,Heavy
synnetqos_m_00000009,S042_00000,2025-07-27 02:12:00.705217,1,1,0,1,0,2,True,-107.42,0.0194,930.0,930.04,156,132.74,136.03,-3.29,-0.69,8,0,0,10,18,44,-107.42,False,4.79,0.72,136.52,1.17,91.04,29.6,9,0,0,0.052,1.78,0.93,2.6,Sunday,night,Area_F,Urban,UE-Advanced,Advanced,4G,Operator_E,Nominal,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,LTE_Anchor,Browse,Static,Clear,Medium,Medium,Light
synnetqos_m_00000010,S042_00000,2025-07-27 02:13:00.705217,1,1,0,1,0,2,True,-129.67,0.0194,930.0,930.04,156,155.29,136.03,19.26,-0.38,8,0,0,10,18,44,-129.67,False,0.0,0.0,11.19,0.98,90.95,27.5,10,0,0,0.135,0.0,0.93,2.6,Sunday,night,Area_F,Urban,UE-Advanced,Advanced,4G,Operator_E,Nominal,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,LTE_Anchor,Call,Static,Clear,Medium,High,Heavy
