network_id,network_type,operator_profile,infrastructure_profile
network_2bb5450854eb,4G,Operator_A,Moderately_Degraded
network_62ec98d7b1eb,4G,Operator_A,Nominal
network_7c3efd374bb2,4G,Operator_A,Severely_Degraded
network_08f6583af1c1,4G,Operator_B,Moderately_Degraded
network_98a871740457,4G,Operator_B,Nominal
network_bb94d81ea844,4G,Operator_B,Severely_Degraded
network_8b402a4586c5,4G,Operator_C,Moderately_Degraded
network_813757838c4f,4G,Operator_C,Nominal
network_56f338a4594a,4G,Operator_C,Severely_Degraded
network_dad1fb1bff7b,4G,Operator_D,Moderately_Degraded
network_07ca5eeb8636,4G,Operator_D,Nominal
network_4ebc2511dd8a,4G,Operator_D,Severely_Degraded
network_458ebe784b32,4G,Operator_E,Moderately_Degraded
network_0629452e7a55,4G,Operator_E,Nominal
network_f73c615d9339,4G,Operator_E,Severely_Degraded
network_f7a1201031e2,4G,Operator_F,Moderately_Degraded
network_814bfbf32c0e,4G,Operator_F,Nominal
network_e1424a644b9f,4G,Operator_F,Severely_Degraded
network_a2ee958b261b,4G,Operator_G,Moderately_Degraded
network_e37d221758c2,4G,Operator_G,Nominal
network_b970e4e8e92e,4G,Operator_G,Severely_Degraded
network_4cd9f0261d3d,4G,Operator_H,Moderately_Degraded
network_5c8898fe040a,4G,Operator_H,Nominal
network_cd8dfd8b4dee,4G,Operator_H,Severely_Degraded
network_b1326286e9a5,4G,Operator_I,Moderately_Degraded
network_d36cf433711a,4G,Operator_I,Nominal
network_7c6c9be02ea5,4G,Operator_I,Severely_Degraded
network_66402c27598f,4G,Operator_J,Moderately_Degraded
network_973f8c979499,4G,Operator_J,Nominal
network_73794dfe2ab0,4G,Operator_J,Severely_Degraded
network_b8258bd83f70,4G,Operator_K,Moderately_Degraded
network_c0724af3dec7,4G,Operator_K,Nominal
network_c4c3300ff2a5,4G,Operator_K,Severely_Degraded
network_acdfeb2d53b7,4G,Operator_L,Moderately_Degraded
network_318a6ebc4fee,4G,Operator_L,Nominal
network_a17d6ec636a3,4G,Operator_L,Severely_Degraded
network_e3f20812f591,4G,Operator_M,Moderately_Degraded
network_b94ff28c842f,4G,Operator_M,Nominal
network_0f6ca630277a,4G,Operator_M,Severely_Degraded
network_13feea37798a,5G NSA,Operator_A,Moderately_Degraded
network_b64266e24a0d,5G NSA,Operator_A,Nominal
network_14b38fbe49da,5G NSA,Operator_A,Severely_Degraded
