radio_id,propagation_model,propagation_scenario,los_state,carrier_frequency_ghz,band
radio_166afdb04e20,tr38901_umi_street_canyon,UMi_Street_Canyon,LOS,0.7,n28
radio_b3c33ecd7dac,tr38901_umi_street_canyon,UMi_Street_Canyon,LOS,2.5,n41
radio_3933cd787d15,tr38901_umi_street_canyon,UMi_Street_Canyon,LOS,2.6,LTE_Anchor
radio_05d64d0b128b,tr38901_umi_street_canyon,UMi_Street_Canyon,LOS,3.5,n78
radio_133437562089,tr38901_umi_street_canyon,UMi_Street_Canyon,LOS,3.7,n77
radio_db47e79f137a,tr38901_umi_street_canyon,UMi_Street_Canyon,LOS,4.7,n79
radio_ee22115a33c3,tr38901_umi_street_canyon,UMi_Street_Canyon,LOS,26.0,n258
radio_17235f8a7181,tr38901_umi_street_canyon,UMi_Street_Canyon,LOS,28.0,n257
radio_30716c967c23,tr38901_umi_street_canyon,UMi_Street_Canyon,LOS,39.0,n260
radio_8bf736b02ec8,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,0.7,n28
radio_e8d7b4631c51,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,2.5,n41
radio_07d1d9326449,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,2.6,LTE_Anchor
radio_12d6927246d1,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,3.5,n78
radio_c3d79fc6e7e0,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,3.7,n77
radio_2c0c60ea377f,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,4.7,n79
radio_6f386e84df5a,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,26.0,n258
radio_189c2b2f3c0d,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,28.0,n257
radio_eaca30d8da8a,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,39.0,n260
