service_state_id,congestion_level,tower_load,video_quality_label,vonr_enabled,anomalous,dropped_connection
service_state_6ec24ffc66b8,High,Heavy,Bad,False,False,False
service_state_7e3ab1f34b8c,High,Heavy,Bad,False,False,True
service_state_466760810bc7,High,Heavy,Bad,False,True,False
service_state_58f2c2cc77bd,High,Heavy,Bad,False,True,True
service_state_30cddeecf1f4,High,Heavy,Fair,False,False,False
service_state_fb0cbfb1c129,High,Heavy,Fair,False,True,False
service_state_212ba9a3b828,High,Heavy,Fair,False,True,True
service_state_03714ca912e5,High,Heavy,Good,False,False,False
service_state_be0de0831d12,High,Heavy,Good,False,True,False
service_state_22179c7dd41d,High,Heavy,Poor,False,False,False
service_state_864bed2e945e,High,Heavy,Poor,False,True,False
service_state_7c9373513daa,High,Heavy,,False,False,False
service_state_dc3d34ef147d,High,Heavy,,False,False,True
service_state_8f2203ee6ad8,High,Heavy,,False,True,False
service_state_ef13f7fdc058,High,Heavy,,False,True,True
service_state_7b8ece015b9a,High,Heavy,,True,False,False
service_state_1ef935b572d3,High,Heavy,,True,False,True
service_state_36f842503f5b,High,Heavy,,True,True,False
service_state_675199b876aa,High,Heavy,,True,True,True
service_state_0df4f2c5d1d7,High,Light,Bad,False,False,False
service_state_d86fd4eb2bb6,High,Light,Bad,False,False,True
service_state_b8e7fa0d30a1,High,Light,Bad,False,True,False
service_state_6d212db979a4,High,Light,Bad,False,True,True
service_state_e333ec0768dc,High,Light,Fair,False,False,False
service_state_29732d74d645,High,Light,Fair,False,True,False
service_state_c4d7f097fb09,High,Light,Good,False,False,False
service_state_df8d259a6ef7,High,Light,Good,False,True,False
service_state_0f23a7399ad9,High,Light,Poor,False,False,False
service_state_4ff5dc8c7250,High,Light,Poor,False,True,False
service_state_6c44aaf335f6,High,Light,,False,False,False
service_state_439f50ce3ec6,High,Light,,False,False,True
service_state_82e237c265fd,High,Light,,False,True,False
service_state_88d3d7895f2c,High,Light,,False,True,True
service_state_71d5b0b8bdc9,High,Light,,True,False,False
service_state_08ddfd25e283,High,Light,,True,False,True
service_state_79fb9d21b4e1,High,Light,,True,True,False
service_state_9b9491710aca,High,Light,,True,True,True
service_state_cde92835b0d6,High,Moderate,Bad,False,False,False
service_state_76228c1c07bf,High,Moderate,Bad,False,False,True
service_state_d25d4b6add39,High,Moderate,Bad,False,True,True
service_state_140d840b7c18,High,Moderate,Fair,False,False,False
service_state_28d9b694605b,High,Moderate,Good,False,False,False
service_state_9e214df0c55e,High,Moderate,Poor,False,False,False
service_state_d0c3621bb58f,High,Moderate,Poor,False,True,False
service_state_2e59964cdb3d,High,Moderate,,False,False,False
service_state_4a59fcb80e4f,High,Moderate,,False,False,True
service_state_cf19dfd87b35,High,Moderate,,False,True,False
service_state_940ba0be605b,High,Moderate,,False,True,True
service_state_6de9d2b91395,High,Moderate,,True,False,False
service_state_4c82d81489ae,High,Moderate,,True,True,False
service_state_52723c1a7731,Low,Light,Excellent,False,False,False
service_state_7227a0dae2c5,Low,Light,Excellent,False,True,False
service_state_0c8d9abdc2a5,Low,Light,Fair,False,False,False
service_state_ce2b92c5e0aa,Low,Light,Good,False,False,False
service_state_700fb9a3e480,Low,Light,Good,False,True,False
service_state_c203dede53d0,Low,Light,Poor,False,False,False
service_state_40388f1af23f,Low,Light,Poor,False,False,True
service_state_00462843d048,Low,Light,Poor,False,True,False
service_state_51773b890306,Low,Light,,False,False,False
service_state_5ccca9d52a6c,Low,Light,,False,False,True
service_state_1908c77286bb,Low,Light,,False,True,False
service_state_bbd76722af93,Low,Light,,False,True,True
service_state_9f0557043461,Low,Light,,True,False,False
service_state_770b3eb138bf,Low,Light,,True,True,False
service_state_3cf8a4a17d5c,Low,Light,,True,True,True
service_state_53f39777bc49,Medium,Light,Bad,False,False,False
service_state_6912ce92e5d2,Medium,Light,Bad,False,False,True
service_state_63705ad50119,Medium,Light,Bad,False,True,False
service_state_bdcad17edbdc,Medium,Light,Bad,False,True,True
service_state_27a7cc4c7bb8,Medium,Light,Excellent,False,False,False
service_state_23e3ed6f693a,Medium,Light,Fair,False,False,False
service_state_b3e27ee81961,Medium,Light,Fair,False,True,False
service_state_472574aec2f5,Medium,Light,Good,False,False,False
