time_id,hour,day_of_week,is_weekend,time_of_day_bin
time_264f88247c0f,0,Friday,False,night
time_59df1863076d,0,Monday,False,night
time_52fae1493e7c,0,Saturday,True,night
time_6a07ed3a9e43,0,Sunday,True,night
time_6d1d8cb6df41,0,Thursday,False,night
time_8d12f06ebe82,0,Tuesday,False,night
time_838e62400d3a,0,Wednesday,False,night
time_4d443eb73fb2,1,Friday,False,night
time_5f1b1967d95f,1,Monday,False,night
time_fb7f47b661d1,1,Saturday,True,night
time_7affd2ba5b01,1,Sunday,True,night
time_d6854ede0c53,1,Thursday,False,night
time_2e91966b289f,1,Tuesday,False,night
time_00806d4082c4,1,Wednesday,False,night
time_9aac3fe6b49f,2,Friday,False,night
time_380de7eaaaa7,2,Monday,False,night
time_dc5da3d5f1e5,2,Saturday,True,night
time_db090828cd89,2,Sunday,True,night
time_2cd44ea79aec,2,Thursday,False,night
time_11fdfaacf39b,2,Tuesday,False,night
time_bcbe26d70dc0,2,Wednesday,False,night
time_0a5d69ece389,3,Friday,False,night
time_43d58263622e,3,Monday,False,night
time_8f86de498bf2,3,Saturday,True,night
time_0e34dc560e22,3,Sunday,True,night
time_c1efe31dd2f2,3,Thursday,False,night
time_10016e431542,3,Tuesday,False,night
time_491b25702520,3,Wednesday,False,night
time_be64b1d85e9a,4,Friday,False,night
time_9ea14f5fb42e,4,Monday,False,night
time_dfaa37a17387,4,Saturday,True,night
time_24adbabf6c01,4,Sunday,True,night
time_ee6cb4ec69a3,4,Thursday,False,night
time_4c6dff8d5541,4,Tuesday,False,night
time_5b5c44bc618d,4,Wednesday,False,night
time_f8585abda671,5,Friday,False,night
time_706ede55bfad,5,Monday,False,night
time_cb9f8433c81a,5,Saturday,True,night
time_52c370eb6825,5,Sunday,True,night
time_b730c86aa46a,5,Thursday,False,night
time_47f9fbe59586,5,Tuesday,False,night
time_e60499e7e31d,5,Wednesday,False,night
time_42a5743cd870,6,Friday,False,morning
time_c81e9bf6039c,6,Monday,False,morning
time_6c41bc73edb2,6,Saturday,True,morning
time_f7c472ad99cd,6,Sunday,True,morning
time_33d130419f3b,6,Thursday,False,morning
time_97760509fbf7,6,Tuesday,False,morning
time_5cf35dfe4bc3,6,Wednesday,False,morning
time_908bf868a604,7,Friday,False,morning
time_3a37e749519f,7,Monday,False,morning
time_0622513741fe,7,Saturday,True,morning
time_1e6e72a86f0d,7,Sunday,True,morning
time_91dd5543fbec,7,Thursday,False,morning
time_46505d724076,7,Tuesday,False,morning
time_de6252dc35d6,7,Wednesday,False,morning
time_14fb42d1555e,8,Friday,False,morning
time_58bf75e86687,8,Monday,False,morning
time_845420e87f34,8,Saturday,True,morning
time_2fff3b38908a,8,Sunday,True,morning
time_01fad6efe1bb,8,Thursday,False,morning
time_9fed939d9529,8,Tuesday,False,morning
time_7156aa9743e9,8,Wednesday,False,morning
time_b0a9e320c852,9,Friday,False,morning
time_d42637e56871,9,Monday,False,morning
time_ebb7edfb8bce,9,Saturday,True,morning
time_fea9d2c35527,9,Sunday,True,morning
time_f5a12528c7b3,9,Thursday,False,morning
time_4b7466151603,9,Tuesday,False,morning
time_c35cd02b2504,9,Wednesday,False,morning
time_d9514d13b6fd,10,Friday,False,morning
time_bcf769038376,10,Monday,False,morning
time_6305eda93bb1,10,Saturday,True,morning
time_08fb3c0f242c,10,Sunday,True,morning
time_7302b351dc1d,10,Thursday,False,morning
time_f9c694788678,10,Tuesday,False,morning
time_ef496878b172,10,Wednesday,False,morning
time_1d9294430939,11,Friday,False,morning
time_34f5d5eec492,11,Monday,False,morning
time_c8ee8288fab6,11,Saturday,True,morning
time_e9fe0a376119,11,Sunday,True,morning
time_01aef6e2aefa,11,Thursday,False,morning
time_5e8132483928,11,Tuesday,False,morning
time_8ef5d51e1a30,11,Wednesday,False,morning
time_ff82b202c309,12,Friday,False,afternoon
time_78993682f015,12,Monday,False,afternoon
time_59bbee05aa7a,12,Saturday,True,afternoon
time_a984716fe38d,12,Sunday,True,afternoon
time_afb0ed076761,12,Thursday,False,afternoon
time_32362f491bcc,12,Tuesday,False,afternoon
time_324e9c0e32b9,12,Wednesday,False,afternoon
time_33e33eda4357,13,Friday,False,afternoon
time_ecc74dc5476c,13,Monday,False,afternoon
time_2f09e62b6e21,13,Saturday,True,afternoon
time_82b0b9439d8c,13,Sunday,True,afternoon
time_0850c4eb75c9,13,Thursday,False,afternoon
time_3c37e2bda5a1,13,Tuesday,False,afternoon
time_bdc186c18e91,13,Wednesday,False,afternoon
time_5fa35bbbe482,14,Friday,False,afternoon
time_2073aef0cfd0,14,Monday,False,afternoon
time_2243412a6d45,14,Saturday,True,afternoon
time_95ad65bd4725,14,Sunday,True,afternoon
time_394662238ef8,14,Thursday,False,afternoon
time_7aee40a02905,14,Tuesday,False,afternoon
time_8857e09a0824,14,Wednesday,False,afternoon
time_339fa940238e,15,Friday,False,afternoon
time_af331551fd14,15,Monday,False,afternoon
time_37468d66c4b1,15,Saturday,True,afternoon
time_574336abdf18,15,Sunday,True,afternoon
time_4d5ff2ba26fe,15,Thursday,False,afternoon
time_1c2ed76cd834,15,Tuesday,False,afternoon
time_093701a6c970,15,Wednesday,False,afternoon
time_4bbcd66f3567,16,Friday,False,afternoon
time_0aa4cede3e7b,16,Monday,False,afternoon
time_f07e259495f9,16,Saturday,True,afternoon
time_cd7613e71fb9,16,Sunday,True,afternoon
time_5dbd30c45eb0,16,Thursday,False,afternoon
time_dac1db556baf,16,Tuesday,False,afternoon
time_9abfe3b52161,16,Wednesday,False,afternoon
time_003d495a5391,17,Friday,False,afternoon
time_2029e5812ca0,17,Monday,False,afternoon
time_c4c0b9318f36,17,Saturday,True,afternoon
time_fc0ae4a64889,17,Sunday,True,afternoon
time_719883f58c84,17,Thursday,False,afternoon
time_7f165a5b39a9,17,Tuesday,False,afternoon
time_449807a328c3,17,Wednesday,False,afternoon
time_c1698b629658,18,Friday,False,evening
time_31022a2fa61e,18,Monday,False,evening
time_7bf5dcb7e75b,18,Saturday,True,evening
time_0caa836659be,18,Sunday,True,evening
time_83b07d98ca44,18,Thursday,False,evening
time_ae011ebb18e1,18,Tuesday,False,evening
time_5a2baa4835e9,18,Wednesday,False,evening
time_e590a8475992,19,Friday,False,evening
time_d2d1471c9752,19,Monday,False,evening
time_53c26de302ae,19,Saturday,True,evening
time_5a715ce75926,19,Sunday,True,evening
time_c5ee4196e463,19,Thursday,False,evening
time_8a1344b68c0f,19,Tuesday,False,evening
time_567467b17d76,19,Wednesday,False,evening
time_7e68a0749229,20,Friday,False,evening
time_8253fb2abbc2,20,Monday,False,evening
time_1087ab35e0c4,20,Saturday,True,evening
time_7c8bb088f521,20,Sunday,True,evening
time_d3e85941f3d8,20,Thursday,False,evening
time_dcfb86dcf1fc,20,Tuesday,False,evening
time_d5fac6aaa06c,20,Wednesday,False,evening
time_7fb0a1446074,21,Friday,False,evening
time_ccf30a5e4f51,21,Monday,False,evening
time_334ebfd68b7e,21,Saturday,True,evening
time_29ab2843af3c,21,Sunday,True,evening
time_1032e6b86a4b,21,Thursday,False,evening
time_077d12066c0a,21,Tuesday,False,evening
time_e983b8e8293a,21,Wednesday,False,evening
time_ef55c6be1808,22,Friday,False,evening
time_07def6013a64,22,Monday,False,evening
time_dd1ca2cda51a,22,Saturday,True,evening
time_ee45f1932cee,22,Sunday,True,evening
time_fdea3cebcbe4,22,Thursday,False,evening
time_1cae9c056fc3,22,Tuesday,False,evening
time_f53392dfc6a3,22,Wednesday,False,evening
time_5447cd25c272,23,Friday,False,evening
time_c9e377098cf2,23,Monday,False,evening
time_1f31373e390f,23,Saturday,True,evening
time_b18c07a415da,23,Sunday,True,evening
time_923bf46b179b,23,Thursday,False,evening
time_e2a7f90b9803,23,Tuesday,False,evening
time_79e53b85bfe7,23,Wednesday,False,evening
