algorithm,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedent_text,consequent_text,antecedent_count,consequent_count
apriori,network_type=5G_SA;signal_strength_dbm=signal_strong,latency_ms=latency_low,0.08796,0.14888,0.07394,0.8406093678944976,5.646220902031821,1.0,0.060844515200000004,5.339837032810274,0.9022525183107191,0.4538980969920197,0.8127283672037993,0.6686254792186083,network_type=5G_SA;signal_strength_dbm=signal_strong,latency_ms=latency_low,2,1
apriori,band=n28;signal_strength_dbm=signal_strong,latency_ms=latency_low,0.0736,0.14888,0.05394,0.7328804347826088,4.922625166460295,1.0,0.042982432,3.1862885045778238,0.860164463425427,0.32004271982912064,0.6861552246247401,0.5475928235170432,band=n28;signal_strength_dbm=signal_strong,latency_ms=latency_low,2,1
apriori,app_type=Call;band=LTE_Anchor,offered_downlink_mbps=offered_low,0.06206,0.178,0.05262,0.8478891395423784,4.763422132260553,1.0,0.04157332,5.403953389830512,0.8423426815327607,0.280729833546735,0.8149502914140857,0.5717535585352341,app_type=Call;band=LTE_Anchor,offered_downlink_mbps=offered_low,2,1
apriori,app_type=Call;network_type=4G,offered_downlink_mbps=offered_low,0.06206,0.178,0.05262,0.8478891395423784,4.763422132260553,1.0,0.04157332,5.403953389830512,0.8423426815327607,0.280729833546735,0.8149502914140857,0.5717535585352341,app_type=Call;network_type=4G,offered_downlink_mbps=offered_low,2,1
apriori,signal_strength_dbm=signal_strong;tower_load=Light,latency_ms=latency_low,0.12036,0.14888,0.07626,0.6335992023928215,4.25577110688354,1.0,0.05834080319999999,2.322920707482993,0.8697023290516422,0.39517048398797794,0.5695074753181942,0.5729119064086622,signal_strength_dbm=signal_strong;tower_load=Light,latency_ms=latency_low,2,1
apriori,latency_ms=latency_low,jitter_ms=jitter_low;signal_strength_dbm=signal_strong,0.14888,0.21904,0.13756,0.9239656098871573,4.218250592983734,1.0,0.1049493248,10.271141766784428,0.8963893454273658,0.5971522833825316,0.9026398405643787,0.7759893790852879,latency_ms=latency_low,jitter_ms=jitter_low;signal_strength_dbm=signal_strong,1,2
apriori,jitter_ms=jitter_low;signal_strength_dbm=signal_strong,latency_ms=latency_low,0.21904,0.14888,0.13756,0.6280131482834185,4.218250592983734,1.0,0.1049493248,2.2880378595974467,0.9769193040362371,0.5971522833825316,0.5629442949095527,0.7759893790852879,jitter_ms=jitter_low;signal_strength_dbm=signal_strong,latency_ms=latency_low,2,1
apriori,downlink_shortfall_fraction=shortfall_extreme;obstruction_level=High,signal_strength_dbm=signal_very_weak,0.10334,0.17222,0.07482,0.7240178053028836,4.204028598901891,1.0,0.057022785199999995,2.9993963955119205,0.8499686856542006,0.37272093254956656,0.6665995860045949,0.5792310603567025,downlink_shortfall_fraction=shortfall_extreme;obstruction_level=High,signal_strength_dbm=signal_very_weak,2,1
apriori,congestion_level=Medium;signal_strength_dbm=signal_strong,latency_ms=latency_low,0.10716,0.14888,0.06688,0.6241134751773049,4.192057194903982,1.0,0.05092601919999999,2.2643003773584898,0.8528444473406616,0.3535631211672657,0.5583624814095601,0.5366671620916078,congestion_level=Medium;signal_strength_dbm=signal_strong,latency_ms=latency_low,2,1
apriori,downlink_shortfall_fraction=shortfall_low;signal_strength_dbm=signal_strong,latency_ms=latency_low,0.18972,0.14888,0.11716,0.6175416403120388,4.147915370177585,1.0,0.08891448639999999,2.2253925909592063,0.9366083855910073,0.5290823699421965,0.550641085055032,0.702242072171065,downlink_shortfall_fraction=shortfall_low;signal_strength_dbm=signal_strong,latency_ms=latency_low,2,1
