item,item_family,item_value,support_count,support,is_target_item,is_label_definition_item,rule_use
app_type=Browse,app_type,Browse,12432,0.24864,False,False,eligible_context_antecedent
app_type=Call,app_type,Call,12373,0.24746,False,False,eligible_context_antecedent
app_type=Gaming,app_type,Gaming,12569,0.25138,False,False,eligible_context_antecedent
app_type=Streaming,app_type,Streaming,12626,0.25252,False,False,eligible_context_antecedent
band=LTE_Anchor,band,LTE_Anchor,12390,0.2478,False,False,eligible_context_antecedent
band=n257,band,n257,670,0.0134,False,False,eligible_context_antecedent
band=n258,band,n258,3160,0.0632,False,False,eligible_context_antecedent
band=n260,band,n260,4100,0.082,False,False,eligible_context_antecedent
band=n28,band,n28,7420,0.1484,False,False,eligible_context_antecedent
band=n41,band,n41,2090,0.0418,False,False,eligible_context_antecedent
band=n77,band,n77,4060,0.0812,False,False,eligible_context_antecedent
band=n78,band,n78,15460,0.3092,False,False,eligible_context_antecedent
band=n79,band,n79,650,0.013,False,False,eligible_context_antecedent
congestion_level=High,congestion_level,High,19204,0.38408,False,False,eligible_context_antecedent
congestion_level=Low,congestion_level,Low,9122,0.18244,False,False,eligible_context_antecedent
congestion_level=Medium,congestion_level,Medium,21674,0.43348,False,False,eligible_context_antecedent
downlink_shortfall_fraction=shortfall_extreme,downlink_shortfall_fraction,shortfall_extreme,17138,0.34276,False,True,excluded_from_target_rule_antecedent
downlink_shortfall_fraction=shortfall_high,downlink_shortfall_fraction,shortfall_high,6234,0.12468,False,True,excluded_from_target_rule_antecedent
downlink_shortfall_fraction=shortfall_low,downlink_shortfall_fraction,shortfall_low,23009,0.46018,False,True,excluded_from_target_rule_antecedent
downlink_shortfall_fraction=shortfall_moderate,downlink_shortfall_fraction,shortfall_moderate,3619,0.07238,False,True,excluded_from_target_rule_antecedent
infrastructure_profile=Moderately_Degraded,infrastructure_profile,Moderately_Degraded,9800,0.196,False,False,eligible_context_antecedent
infrastructure_profile=Nominal,infrastructure_profile,Nominal,37600,0.752,False,False,eligible_context_antecedent
infrastructure_profile=Severely_Degraded,infrastructure_profile,Severely_Degraded,2600,0.052,False,False,eligible_context_antecedent
jitter_ms=jitter_extreme,jitter_ms,jitter_extreme,7,0.00014,False,True,excluded_from_target_rule_antecedent
jitter_ms=jitter_high,jitter_ms,jitter_high,1396,0.02792,False,True,excluded_from_target_rule_antecedent
jitter_ms=jitter_low,jitter_ms,jitter_low,28563,0.57126,False,True,excluded_from_target_rule_antecedent
jitter_ms=jitter_moderate,jitter_ms,jitter_moderate,20034,0.40068,False,True,excluded_from_target_rule_antecedent
latency_ms=latency_extreme,latency_ms,latency_extreme,2243,0.04486,False,True,excluded_from_target_rule_antecedent
latency_ms=latency_high,latency_ms,latency_high,15445,0.3089,False,True,excluded_from_target_rule_antecedent
latency_ms=latency_low,latency_ms,latency_low,7444,0.14888,False,True,excluded_from_target_rule_antecedent
latency_ms=latency_moderate,latency_ms,latency_moderate,24868,0.49736,False,True,excluded_from_target_rule_antecedent
movement_speed=Driving,movement_speed,Driving,1990,0.0398,False,False,eligible_context_antecedent
movement_speed=Static,movement_speed,Static,25236,0.50472,False,False,eligible_context_antecedent
movement_speed=Walking,movement_speed,Walking,22774,0.45548,False,False,eligible_context_antecedent
network_type=4G,network_type,4G,12390,0.2478,False,False,eligible_context_antecedent
network_type=5G_NSA,network_type,5G_NSA,19650,0.393,False,False,eligible_context_antecedent
network_type=5G_SA,network_type,5G_SA,17960,0.3592,False,False,eligible_context_antecedent
obstruction_level=High,obstruction_level,High,8030,0.1606,False,False,eligible_context_antecedent
obstruction_level=Low,obstruction_level,Low,21350,0.427,False,False,eligible_context_antecedent
obstruction_level=Medium,obstruction_level,Medium,20620,0.4124,False,False,eligible_context_antecedent
offered_downlink_mbps=offered_high,offered_downlink_mbps,offered_high,15738,0.31476,False,False,eligible_context_antecedent
offered_downlink_mbps=offered_low,offered_downlink_mbps,offered_low,8900,0.178,False,False,eligible_context_antecedent
offered_downlink_mbps=offered_moderate,offered_downlink_mbps,offered_moderate,12289,0.24578,False,False,eligible_context_antecedent
offered_downlink_mbps=offered_very_high,offered_downlink_mbps,offered_very_high,13073,0.26146,False,False,eligible_context_antecedent
service_degraded=0,service_degraded,0,24642,0.49284,True,False,target_item
service_degraded=1,service_degraded,1,25358,0.50716,True,False,target_item
signal_strength_dbm=signal_moderate,signal_strength_dbm,signal_moderate,14579,0.29158,False,False,eligible_context_antecedent
signal_strength_dbm=signal_strong,signal_strength_dbm,signal_strong,12193,0.24386,False,False,eligible_context_antecedent
signal_strength_dbm=signal_very_weak,signal_strength_dbm,signal_very_weak,8611,0.17222,False,False,eligible_context_antecedent
signal_strength_dbm=signal_weak,signal_strength_dbm,signal_weak,14617,0.29234,False,False,eligible_context_antecedent
time_of_day=afternoon,time_of_day,afternoon,12478,0.24956,False,False,eligible_context_antecedent
time_of_day=evening,time_of_day,evening,12152,0.24304,False,False,eligible_context_antecedent
time_of_day=morning,time_of_day,morning,12754,0.25508,False,False,eligible_context_antecedent
time_of_day=night,time_of_day,night,12616,0.25232,False,False,eligible_context_antecedent
tower_load=Heavy,tower_load,Heavy,10000,0.2,False,False,eligible_context_antecedent
tower_load=Light,tower_load,Light,25097,0.50194,False,False,eligible_context_antecedent
tower_load=Moderate,tower_load,Moderate,14903,0.29806,False,False,eligible_context_antecedent
weather=Clear,weather,Clear,35160,0.7032,False,False,eligible_context_antecedent
