item,support_count,support,item_family
infrastructure_profile=Nominal,37600,0.752,infrastructure_profile
weather=Clear,35160,0.7032,weather
jitter_ms=jitter_low,28563,0.57126,jitter_ms
service_degraded=1,25358,0.50716,service_degraded
movement_speed=Static,25236,0.50472,movement_speed
tower_load=Light,25097,0.50194,tower_load
latency_ms=latency_moderate,24868,0.49736,latency_ms
service_degraded=0,24642,0.49284,service_degraded
downlink_shortfall_fraction=shortfall_low,23009,0.46018,downlink_shortfall_fraction
movement_speed=Walking,22774,0.45548,movement_speed
congestion_level=Medium,21674,0.43348,congestion_level
obstruction_level=Low,21350,0.427,obstruction_level
obstruction_level=Medium,20620,0.4124,obstruction_level
jitter_ms=jitter_moderate,20034,0.40068,jitter_ms
network_type=5G_NSA,19650,0.393,network_type
congestion_level=High,19204,0.38408,congestion_level
network_type=5G_SA,17960,0.3592,network_type
downlink_shortfall_fraction=shortfall_extreme,17138,0.34276,downlink_shortfall_fraction
offered_downlink_mbps=offered_high,15738,0.31476,offered_downlink_mbps
band=n78,15460,0.3092,band
latency_ms=latency_high,15445,0.3089,latency_ms
tower_load=Moderate,14903,0.29806,tower_load
signal_strength_dbm=signal_weak,14617,0.29234,signal_strength_dbm
signal_strength_dbm=signal_moderate,14579,0.29158,signal_strength_dbm
offered_downlink_mbps=offered_very_high,13073,0.26146,offered_downlink_mbps
time_of_day=morning,12754,0.25508,time_of_day
app_type=Streaming,12626,0.25252,app_type
time_of_day=night,12616,0.25232,time_of_day
app_type=Gaming,12569,0.25138,app_type
time_of_day=afternoon,12478,0.24956,time_of_day
app_type=Browse,12432,0.24864,app_type
band=LTE_Anchor,12390,0.2478,band
network_type=4G,12390,0.2478,network_type
app_type=Call,12373,0.24746,app_type
offered_downlink_mbps=offered_moderate,12289,0.24578,offered_downlink_mbps
signal_strength_dbm=signal_strong,12193,0.24386,signal_strength_dbm
time_of_day=evening,12152,0.24304,time_of_day
tower_load=Heavy,10000,0.2,tower_load
infrastructure_profile=Moderately_Degraded,9800,0.196,infrastructure_profile
weather=Rainy,9770,0.1954,weather
congestion_level=Low,9122,0.18244,congestion_level
offered_downlink_mbps=offered_low,8900,0.178,offered_downlink_mbps
signal_strength_dbm=signal_very_weak,8611,0.17222,signal_strength_dbm
obstruction_level=High,8030,0.1606,obstruction_level
latency_ms=latency_low,7444,0.14888,latency_ms
band=n28,7420,0.1484,band
downlink_shortfall_fraction=shortfall_high,6234,0.12468,downlink_shortfall_fraction
weather=Foggy,5070,0.1014,weather
band=n260,4100,0.082,band
band=n77,4060,0.0812,band
downlink_shortfall_fraction=shortfall_moderate,3619,0.07238,downlink_shortfall_fraction
band=n258,3160,0.0632,band
infrastructure_profile=Severely_Degraded,2600,0.052,infrastructure_profile
latency_ms=latency_extreme,2243,0.04486,latency_ms
band=n41,2090,0.0418,band
movement_speed=Driving,1990,0.0398,movement_speed
jitter_ms=jitter_high,1396,0.02792,jitter_ms
band=n257,670,0.0134,band
band=n79,650,0.013,band
jitter_ms=jitter_extreme,7,0.00014,jitter_ms
