algorithm,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedent_text,consequent_text,antecedent_count,consequent_count
apriori,congestion_level=High;signal_strength_dbm=signal_very_weak,service_degraded=1,0.06514,0.50716,0.06514,1.0,1.9717643347267133,1.0,0.0321035976,inf,0.5271805404017713,0.1284407287640981,1.0,0.564220364382049,congestion_level=High;signal_strength_dbm=signal_very_weak,service_degraded=1,2,1
fp_growth,congestion_level=High;signal_strength_dbm=signal_very_weak,service_degraded=1,0.06514,0.50716,0.06514,1.0,1.9717643347267133,1.0,0.0321035976,inf,0.5271805404017713,0.1284407287640981,1.0,0.564220364382049,congestion_level=High;signal_strength_dbm=signal_very_weak,service_degraded=1,2,1
apriori,offered_downlink_mbps=offered_high;signal_strength_dbm=signal_very_weak,service_degraded=1,0.05454,0.50716,0.05444,0.9981664833149982,1.9681490719201005,1.0,0.0267794936,268.7949360000112,0.5202847350328192,0.10732168907463628,0.9962796918168133,0.5527546668487603,offered_downlink_mbps=offered_high;signal_strength_dbm=signal_very_weak,service_degraded=1,2,1
fp_growth,offered_downlink_mbps=offered_high;signal_strength_dbm=signal_very_weak,service_degraded=1,0.05454,0.50716,0.05444,0.9981664833149982,1.9681490719201005,1.0,0.0267794936,268.7949360000112,0.5202847350328192,0.10732168907463628,0.9962796918168133,0.5527546668487603,offered_downlink_mbps=offered_high;signal_strength_dbm=signal_very_weak,service_degraded=1,2,1
apriori,network_type=5G_NSA;signal_strength_dbm=signal_very_weak,service_degraded=1,0.07076,0.50716,0.06944,0.9813453928773318,1.9349818457238972,1.0,0.0335533584,26.41921090909087,0.5199940658110775,0.13656387665198236,0.9621487559397204,0.5591323541403774,network_type=5G_NSA;signal_strength_dbm=signal_very_weak,service_degraded=1,2,1
fp_growth,network_type=5G_NSA;signal_strength_dbm=signal_very_weak,service_degraded=1,0.07076,0.50716,0.06944,0.9813453928773318,1.9349818457238972,1.0,0.0335533584,26.41921090909087,0.5199940658110775,0.13656387665198236,0.9621487559397204,0.5591323541403774,network_type=5G_NSA;signal_strength_dbm=signal_very_weak,service_degraded=1,2,1
apriori,signal_strength_dbm=signal_very_weak;tower_load=Moderate,service_degraded=1,0.05218,0.50716,0.05056,0.9689536220774244,1.9105481940165319,1.0,0.0240963912,15.874315555555611,0.5028275577881717,0.09937497543142419,0.9370051580176617,0.5343230134206035,signal_strength_dbm=signal_very_weak;tower_load=Moderate,service_degraded=1,2,1
fp_growth,signal_strength_dbm=signal_very_weak;tower_load=Moderate,service_degraded=1,0.05218,0.50716,0.05056,0.9689536220774244,1.9105481940165319,1.0,0.0240963912,15.874315555555611,0.5028275577881717,0.09937497543142419,0.9370051580176617,0.5343230134206035,signal_strength_dbm=signal_very_weak;tower_load=Moderate,service_degraded=1,2,1
apriori,obstruction_level=High;signal_strength_dbm=signal_very_weak,service_degraded=1,0.08558,0.50716,0.0827,0.9663472774012619,1.9054090965400698,1.0,0.03929724719999999,14.644877499999973,0.5196499657099561,0.16214414555721118,0.9317167384978124,0.5647060939415806,obstruction_level=High;signal_strength_dbm=signal_very_weak,service_degraded=1,2,1
fp_growth,obstruction_level=High;signal_strength_dbm=signal_very_weak,service_degraded=1,0.08558,0.50716,0.0827,0.9663472774012619,1.9054090965400698,1.0,0.03929724719999999,14.644877499999973,0.5196499657099561,0.16214414555721118,0.9317167384978124,0.5647060939415806,obstruction_level=High;signal_strength_dbm=signal_very_weak,service_degraded=1,2,1
apriori,movement_speed=Walking;signal_strength_dbm=signal_very_weak,service_degraded=1,0.08838,0.50716,0.08536,0.9658293731613488,1.9043879114310054,1.0,0.0405371992,14.42291364238412,0.5209373399491275,0.16731349719706767,0.9306658817493482,0.5670695883868105,movement_speed=Walking;signal_strength_dbm=signal_very_weak,service_degraded=1,2,1
fp_growth,movement_speed=Walking;signal_strength_dbm=signal_very_weak,service_degraded=1,0.08838,0.50716,0.08536,0.9658293731613488,1.9043879114310054,1.0,0.0405371992,14.42291364238412,0.5209373399491275,0.16731349719706767,0.9306658817493482,0.5670695883868105,movement_speed=Walking;signal_strength_dbm=signal_very_weak,service_degraded=1,2,1
apriori,infrastructure_profile=Nominal;signal_strength_dbm=signal_very_weak,service_degraded=1,0.13092,0.50716,0.1261,0.9631836235869232,1.8991711167815346,1.0,0.059702612799999985,13.386434190871334,0.5447766635701833,0.2462986835423258,0.925297507480974,0.6059115530979808,infrastructure_profile=Nominal;signal_strength_dbm=signal_very_weak,service_degraded=1,2,1
fp_growth,infrastructure_profile=Nominal;signal_strength_dbm=signal_very_weak,service_degraded=1,0.13092,0.50716,0.1261,0.9631836235869232,1.8991711167815346,1.0,0.059702612799999985,13.386434190871334,0.5447766635701833,0.2462986835423258,0.925297507480974,0.6059115530979808,infrastructure_profile=Nominal;signal_strength_dbm=signal_very_weak,service_degraded=1,2,1
apriori,signal_strength_dbm=signal_very_weak;weather=Clear,service_degraded=1,0.09988,0.50716,0.0962,0.9631557869443331,1.899116229482477,1.0,0.04554485919999999,13.37632043478258,0.525973520000983,0.18831728134053713,0.9252410253719932,0.5764197579725214,signal_strength_dbm=signal_very_weak;weather=Clear,service_degraded=1,2,1
