algorithm,support,itemsets,item_count,itemset_text
apriori,0.752,infrastructure_profile=Nominal,1,infrastructure_profile=Nominal
apriori,0.7032,weather=Clear,1,weather=Clear
apriori,0.57126,jitter_ms=jitter_low,1,jitter_ms=jitter_low
apriori,0.5244,infrastructure_profile=Nominal;weather=Clear,2,infrastructure_profile=Nominal;weather=Clear
apriori,0.50716,service_degraded=1,1,service_degraded=1
apriori,0.50472,movement_speed=Static,1,movement_speed=Static
apriori,0.50194,tower_load=Light,1,tower_load=Light
apriori,0.49736,latency_ms=latency_moderate,1,latency_ms=latency_moderate
apriori,0.49284,service_degraded=0,1,service_degraded=0
apriori,0.46018,downlink_shortfall_fraction=shortfall_low,1,downlink_shortfall_fraction=shortfall_low
apriori,0.45548,movement_speed=Walking,1,movement_speed=Walking
apriori,0.43348,congestion_level=Medium,1,congestion_level=Medium
apriori,0.42716,infrastructure_profile=Nominal;jitter_ms=jitter_low,2,infrastructure_profile=Nominal;jitter_ms=jitter_low
apriori,0.427,obstruction_level=Low,1,obstruction_level=Low
apriori,0.42244,jitter_ms=jitter_low;service_degraded=0,2,jitter_ms=jitter_low;service_degraded=0
apriori,0.41378,jitter_ms=jitter_low;weather=Clear,2,jitter_ms=jitter_low;weather=Clear
apriori,0.4124,obstruction_level=Medium,1,obstruction_level=Medium
apriori,0.40306,downlink_shortfall_fraction=shortfall_low;service_degraded=0,2,downlink_shortfall_fraction=shortfall_low;service_degraded=0
apriori,0.40068,jitter_ms=jitter_moderate,1,jitter_ms=jitter_moderate
apriori,0.393,network_type=5G_NSA,1,network_type=5G_NSA
apriori,0.38526,infrastructure_profile=Nominal;service_degraded=1,2,infrastructure_profile=Nominal;service_degraded=1
apriori,0.38502,jitter_ms=jitter_low;latency_ms=latency_moderate,2,jitter_ms=jitter_low;latency_ms=latency_moderate
apriori,0.38408,congestion_level=High,1,congestion_level=High
apriori,0.37856,infrastructure_profile=Nominal;movement_speed=Static,2,infrastructure_profile=Nominal;movement_speed=Static
apriori,0.37628,infrastructure_profile=Nominal;tower_load=Light,2,infrastructure_profile=Nominal;tower_load=Light
apriori,0.37262,infrastructure_profile=Nominal;latency_ms=latency_moderate,2,infrastructure_profile=Nominal;latency_ms=latency_moderate
apriori,0.36674,infrastructure_profile=Nominal;service_degraded=0,2,infrastructure_profile=Nominal;service_degraded=0
apriori,0.3659,service_degraded=0;weather=Clear,2,service_degraded=0;weather=Clear
apriori,0.3594,downlink_shortfall_fraction=shortfall_low;jitter_ms=jitter_low,2,downlink_shortfall_fraction=shortfall_low;jitter_ms=jitter_low
apriori,0.3592,network_type=5G_SA,1,network_type=5G_SA
apriori,0.35556,latency_ms=latency_moderate;weather=Clear,2,latency_ms=latency_moderate;weather=Clear
apriori,0.3552,movement_speed=Static;weather=Clear,2,movement_speed=Static;weather=Clear
apriori,0.35328,tower_load=Light;weather=Clear,2,tower_load=Light;weather=Clear
apriori,0.35192,downlink_shortfall_fraction=shortfall_low;jitter_ms=jitter_low;service_degraded=0,3,downlink_shortfall_fraction=shortfall_low;jitter_ms=jitter_low;service_degraded=0
apriori,0.35068,latency_ms=latency_moderate;service_degraded=0,2,latency_ms=latency_moderate;service_degraded=0
apriori,0.34566,jitter_ms=jitter_low;movement_speed=Static,2,jitter_ms=jitter_low;movement_speed=Static
apriori,0.34276,downlink_shortfall_fraction=shortfall_extreme;service_degraded=1,2,downlink_shortfall_fraction=shortfall_extreme;service_degraded=1
apriori,0.34276,downlink_shortfall_fraction=shortfall_extreme,1,downlink_shortfall_fraction=shortfall_extreme
apriori,0.34222,downlink_shortfall_fraction=shortfall_low;infrastructure_profile=Nominal,2,downlink_shortfall_fraction=shortfall_low;infrastructure_profile=Nominal
apriori,0.3416,infrastructure_profile=Nominal;movement_speed=Walking,2,infrastructure_profile=Nominal;movement_speed=Walking
apriori,0.34056,jitter_ms=jitter_low;tower_load=Light,2,jitter_ms=jitter_low;tower_load=Light
apriori,0.34002,downlink_shortfall_fraction=shortfall_low;weather=Clear,2,downlink_shortfall_fraction=shortfall_low;weather=Clear
apriori,0.3373,service_degraded=1;weather=Clear,2,service_degraded=1;weather=Clear
apriori,0.33028,jitter_ms=jitter_moderate;service_degraded=1,2,jitter_ms=jitter_moderate;service_degraded=1
apriori,0.3262,congestion_level=Medium;infrastructure_profile=Nominal,2,congestion_level=Medium;infrastructure_profile=Nominal
apriori,0.32014,movement_speed=Walking;weather=Clear,2,movement_speed=Walking;weather=Clear
apriori,0.3188,infrastructure_profile=Nominal;obstruction_level=Low,2,infrastructure_profile=Nominal;obstruction_level=Low
apriori,0.31476,offered_downlink_mbps=offered_high,1,offered_downlink_mbps=offered_high
apriori,0.3142,jitter_ms=jitter_low;service_degraded=0;weather=Clear,3,jitter_ms=jitter_low;service_degraded=0;weather=Clear
apriori,0.31392,infrastructure_profile=Nominal;jitter_ms=jitter_low;service_degraded=0,3,infrastructure_profile=Nominal;jitter_ms=jitter_low;service_degraded=0
apriori,0.3092,band=n78,1,band=n78
apriori,0.3089,latency_ms=latency_high;service_degraded=1,2,latency_ms=latency_high;service_degraded=1
apriori,0.3089,latency_ms=latency_high,1,latency_ms=latency_high
apriori,0.3088,infrastructure_profile=Nominal;obstruction_level=Medium,2,infrastructure_profile=Nominal;obstruction_level=Medium
apriori,0.30616,infrastructure_profile=Nominal;jitter_ms=jitter_low;weather=Clear,3,infrastructure_profile=Nominal;jitter_ms=jitter_low;weather=Clear
apriori,0.30564,congestion_level=Medium;weather=Clear,2,congestion_level=Medium;weather=Clear
apriori,0.30292,infrastructure_profile=Nominal;jitter_ms=jitter_moderate,2,infrastructure_profile=Nominal;jitter_ms=jitter_moderate
apriori,0.3006,obstruction_level=Low;weather=Clear,2,obstruction_level=Low;weather=Clear
apriori,0.29918,downlink_shortfall_fraction=shortfall_low;service_degraded=0;weather=Clear,3,downlink_shortfall_fraction=shortfall_low;service_degraded=0;weather=Clear
apriori,0.29874,downlink_shortfall_fraction=shortfall_low;infrastructure_profile=Nominal;service_degraded=0,3,downlink_shortfall_fraction=shortfall_low;infrastructure_profile=Nominal;service_degraded=0
apriori,0.29806,tower_load=Moderate,1,tower_load=Moderate
apriori,0.29708,congestion_level=Medium;jitter_ms=jitter_low,2,congestion_level=Medium;jitter_ms=jitter_low
apriori,0.2946,infrastructure_profile=Nominal;network_type=5G_NSA,2,infrastructure_profile=Nominal;network_type=5G_NSA
apriori,0.29234,signal_strength_dbm=signal_weak,1,signal_strength_dbm=signal_weak
apriori,0.29158,signal_strength_dbm=signal_moderate,1,signal_strength_dbm=signal_moderate
apriori,0.28894,infrastructure_profile=Nominal;jitter_ms=jitter_low;latency_ms=latency_moderate,3,infrastructure_profile=Nominal;jitter_ms=jitter_low;latency_ms=latency_moderate
apriori,0.2888,obstruction_level=Medium;weather=Clear,2,obstruction_level=Medium;weather=Clear
apriori,0.28858,congestion_level=High;infrastructure_profile=Nominal,2,congestion_level=High;infrastructure_profile=Nominal
apriori,0.28032,jitter_ms=jitter_low;latency_ms=latency_moderate;service_degraded=0,3,jitter_ms=jitter_low;latency_ms=latency_moderate;service_degraded=0
apriori,0.27792,latency_ms=latency_moderate;tower_load=Light,2,latency_ms=latency_moderate;tower_load=Light
apriori,0.27696,downlink_shortfall_fraction=shortfall_low;latency_ms=latency_moderate,2,downlink_shortfall_fraction=shortfall_low;latency_ms=latency_moderate
apriori,0.27572,downlink_shortfall_fraction=shortfall_low;latency_ms=latency_moderate;service_degraded=0,3,downlink_shortfall_fraction=shortfall_low;latency_ms=latency_moderate;service_degraded=0
apriori,0.2756,service_degraded=0;tower_load=Light,2,service_degraded=0;tower_load=Light
apriori,0.2748,network_type=5G_NSA;weather=Clear,2,network_type=5G_NSA;weather=Clear
apriori,0.27472,jitter_ms=jitter_low;latency_ms=latency_moderate;weather=Clear,3,jitter_ms=jitter_low;latency_ms=latency_moderate;weather=Clear
apriori,0.27222,jitter_ms=jitter_low;obstruction_level=Low,2,jitter_ms=jitter_low;obstruction_level=Low
apriori,0.27158,movement_speed=Static;service_degraded=0,2,movement_speed=Static;service_degraded=0
apriori,0.27094,jitter_ms=jitter_moderate;weather=Clear,2,jitter_ms=jitter_moderate;weather=Clear
apriori,0.2701,infrastructure_profile=Nominal;service_degraded=0;weather=Clear,3,infrastructure_profile=Nominal;service_degraded=0;weather=Clear
apriori,0.26892,congestion_level=High;weather=Clear,2,congestion_level=High;weather=Clear
apriori,0.26788,latency_ms=latency_moderate;movement_speed=Static,2,latency_ms=latency_moderate;movement_speed=Static
apriori,0.26734,downlink_shortfall_fraction=shortfall_low;jitter_ms=jitter_low;weather=Clear,3,downlink_shortfall_fraction=shortfall_low;jitter_ms=jitter_low;weather=Clear
apriori,0.2668,infrastructure_profile=Nominal;network_type=5G_SA,2,infrastructure_profile=Nominal;network_type=5G_SA
apriori,0.2663,downlink_shortfall_fraction=shortfall_low;infrastructure_profile=Nominal;jitter_ms=jitter_low,3,downlink_shortfall_fraction=shortfall_low;infrastructure_profile=Nominal;jitter_ms=jitter_low
