rule_id,plot_rank,is_labeled_in_bubble_plot,algorithm,antecedent_text,antecedent_display,consequent_text,consequent_display,support,support_count,confidence,lift,leverage,conviction,antecedent_count,consequent_count,bubble_size
R1,1,True,apriori;fp_growth,congestion_level=High;signal_strength_dbm=signal_very_weak,Congestion Level: High + Signal Strength (dBm): Signal Very Weak,service_degraded=1,Service Degraded: 1,0.06514,3257,1.0,1.9717643347267133,0.0321035976,inf,2,1,560.0
R2,2,True,apriori;fp_growth,offered_downlink_mbps=offered_high;signal_strength_dbm=signal_very_weak,Offered Downlink (Mbps): Offered High + Signal Strength (dBm): Signal Very Weak,service_degraded=1,Service Degraded: 1,0.05444,2722,0.9981664833149982,1.9681490719201005,0.0267794936,268.7949360000112,2,1,557.3127083700738
R3,3,True,apriori;fp_growth,network_type=5G_NSA;signal_strength_dbm=signal_very_weak,Network Type: 5G NSA + Signal Strength (dBm): Signal Very Weak,service_degraded=1,Service Degraded: 1,0.06944,3472,0.9813453928773318,1.9349818457238972,0.0335533584,26.41921090909087,2,1,532.6588964308985
R4,4,True,apriori;fp_growth,signal_strength_dbm=signal_very_weak;tower_load=Moderate,Signal Strength (dBm): Signal Very Weak + Tower Load: Moderate,service_degraded=1,Service Degraded: 1,0.05056,2528,0.9689536220774244,1.9105481940165319,0.0240963912,15.874315555555611,2,1,514.4969117470647
R5,5,True,apriori;fp_growth,obstruction_level=High;signal_strength_dbm=signal_very_weak,Obstruction Level: High + Signal Strength (dBm): Signal Very Weak,service_degraded=1,Service Degraded: 1,0.0827,4135,0.9663472774012619,1.9054090965400698,0.03929724719999999,14.644877499999973,2,1,510.6769256568113
R6,6,True,apriori;fp_growth,movement_speed=Walking;signal_strength_dbm=signal_very_weak,Mobility State: Walking + Signal Strength (dBm): Signal Very Weak,service_degraded=1,Service Degraded: 1,0.08536,4268,0.9658293731613488,1.9043879114310054,0.0405371992,14.42291364238412,2,1,509.91785990060276
R7,7,True,apriori;fp_growth,infrastructure_profile=Nominal;signal_strength_dbm=signal_very_weak,Infrastructure Profile: Nominal + Signal Strength (dBm): Signal Very Weak,service_degraded=1,Service Degraded: 1,0.1261,6305,0.9631836235869232,1.8991711167815346,0.059702612799999985,13.386434190871334,2,1,506.04012006633013
R8,8,True,apriori;fp_growth,signal_strength_dbm=signal_very_weak;weather=Clear,Signal Strength (dBm): Signal Very Weak + Weather: Clear,service_degraded=1,Service Degraded: 1,0.0962,4810,0.9631557869443331,1.899116229482477,0.04554485919999999,13.37632043478258,2,1,505.9993213229921
R9,9,True,apriori;fp_growth,signal_strength_dbm=signal_very_weak,Signal Strength (dBm): Signal Very Weak,service_degraded=1,Service Degraded: 1,0.16584,8292,0.9629543607014283,1.898719064400639,0.07849690479999998,13.303590094043832,1,1,505.7041011807192
R10,10,True,apriori;fp_growth,band=n78;signal_strength_dbm=signal_very_weak,Radio Band: N78 + Signal Strength (dBm): Signal Very Weak,service_degraded=1,Service Degraded: 1,0.05428,2714,0.9620701878766396,1.8969756839589862,0.0256660328,12.99347327102806,2,1,504.4082142924793
