dataset_id,dataset_name,file_path,column_name,dtype_in_sample,sample_size,sample_missing_count,sample_missing_fraction,example_values,sample_row_limit
D0,SynNetQoS dataset,data/raw/synnetqos/synnetqos-dataset.csv,Timestamp,object,1000,0,0.0,"[""2025-07-27 02:04:00.705217"", ""2025-07-27 02:05:00.705217"", ""2025-07-27 02:06:00.705217""]",1000
D0,SynNetQoS dataset,data/raw/synnetqos/synnetqos-dataset.csv,Hour,int64,1000,0,0.0,"[""2"", ""2"", ""2""]",1000
D0,SynNetQoS dataset,data/raw/synnetqos/synnetqos-dataset.csv,Day_of_Week,object,1000,0,0.0,"[""Sunday"", ""Sunday"", ""Sunday""]",1000
D0,SynNetQoS dataset,data/raw/synnetqos/synnetqos-dataset.csv,Is_Weekend,bool,1000,0,0.0,"[""True"", ""True"", ""True""]",1000
D0,SynNetQoS dataset,data/raw/synnetqos/synnetqos-dataset.csv,User_ID,object,1000,0,0.0,"[""U042_00000"", ""U042_00000"", ""U042_00000""]",1000
D0,SynNetQoS dataset,data/raw/synnetqos/synnetqos-dataset.csv,Session_ID,object,1000,0,0.0,"[""S042_00000"", ""S042_00000"", ""S042_00000""]",1000
D0,SynNetQoS dataset,data/raw/synnetqos/synnetqos-dataset.csv,Deployment_Area,object,1000,0,0.0,"[""Area_F"", ""Area_F"", ""Area_F""]",1000
D0,SynNetQoS dataset,data/raw/synnetqos/synnetqos-dataset.csv,Synthetic_Latitude,float64,1000,0,0.0,"[""37.77738357076506"", ""37.77738357076506"", ""37.77738357076506""]",1000
D0,SynNetQoS dataset,data/raw/synnetqos/synnetqos-dataset.csv,Synthetic_Longitude,float64,1000,0,0.0,"[""-122.42009132150584"", ""-122.42009132150584"", ""-122.42009132150584""]",1000
D0,SynNetQoS dataset,data/raw/synnetqos/synnetqos-dataset.csv,Area_Type,object,1000,0,0.0,"[""Urban"", ""Urban"", ""Urban""]",1000
D0,SynNetQoS dataset,data/raw/synnetqos/synnetqos-dataset.csv,Signal_Strength_dBm,float64,1000,0,0.0,"[""-121.38"", ""-105.63"", ""-107.1""]",1000
D0,SynNetQoS dataset,data/raw/synnetqos/synnetqos-dataset.csv,Propagation_Model,object,1000,0,0.0,"[""tr38901_umi_street_canyon"", ""tr38901_umi_street_canyon"", ""tr38901_umi_street_canyon""]",1000
D0,SynNetQoS dataset,data/raw/synnetqos/synnetqos-dataset.csv,Propagation_Scenario,object,1000,0,0.0,"[""UMi_Street_Canyon"", ""UMi_Street_Canyon"", ""UMi_Street_Canyon""]",1000
D0,SynNetQoS dataset,data/raw/synnetqos/synnetqos-dataset.csv,LOS_State,object,1000,0,0.0,"[""NLOS"", ""NLOS"", ""NLOS""]",1000
D0,SynNetQoS dataset,data/raw/synnetqos/synnetqos-dataset.csv,LOS_Probability,float64,1000,0,0.0,"[""0.0194"", ""0.0194"", ""0.0194""]",1000
D0,SynNetQoS dataset,data/raw/synnetqos/synnetqos-dataset.csv,Carrier_Frequency_GHz,float64,1000,0,0.0,"[""2.6"", ""2.6"", ""2.6""]",1000
D0,SynNetQoS dataset,data/raw/synnetqos/synnetqos-dataset.csv,Distance_2D_m,float64,1000,0,0.0,"[""930.0"", ""930.0"", ""930.0""]",1000
D0,SynNetQoS dataset,data/raw/synnetqos/synnetqos-dataset.csv,Distance_3D_m,float64,1000,0,0.0,"[""930.04"", ""930.04"", ""930.04""]",1000
D0,SynNetQoS dataset,data/raw/synnetqos/synnetqos-dataset.csv,Breakpoint_Distance_m,float64,1000,0,0.0,"[""156.0"", ""156.0"", ""156.0""]",1000
D0,SynNetQoS dataset,data/raw/synnetqos/synnetqos-dataset.csv,Path_Loss_dB,float64,1000,0,0.0,"[""147.94"", ""130.22"", ""131.06""]",1000
