source_column,standard_column,base_standard_column,duplicate_base_name
Timestamp,timestamp,timestamp,False
Hour,hour,hour,False
Day_of_Week,day_of_week,day_of_week,False
Is_Weekend,is_weekend,is_weekend,False
User_ID,user_id,user_id,False
Session_ID,session_id,session_id,False
Deployment_Area,deployment_area,deployment_area,False
Synthetic_Latitude,synthetic_latitude,synthetic_latitude,False
Synthetic_Longitude,synthetic_longitude,synthetic_longitude,False
Area_Type,area_type,area_type,False
Signal_Strength_dBm,signal_strength_dbm,signal_strength_dbm,False
Propagation_Model,propagation_model,propagation_model,False
Propagation_Scenario,propagation_scenario,propagation_scenario,False
LOS_State,los_state,los_state,False
LOS_Probability,los_probability,los_probability,False
Carrier_Frequency_GHz,carrier_frequency_ghz,carrier_frequency_ghz,False
Distance_2D_m,distance_2d_m,distance_2d_m,False
Distance_3D_m,distance_3d_m,distance_3d_m,False
Breakpoint_Distance_m,breakpoint_distance_m,breakpoint_distance_m,False
Path_Loss_dB,path_loss_db,path_loss_db,False
Deterministic_Path_Loss_dB,deterministic_path_loss_db,deterministic_path_loss_db,False
Shadow_Fading_dB,shadow_fading_db,shadow_fading_db,False
Fast_Fading_dB,fast_fading_db,fast_fading_db,False
Obstruction_Penalty_dB,obstruction_penalty_db,obstruction_penalty_db,False
Weather_Penalty_dB,weather_penalty_db,weather_penalty_db,False
Mobility_Penalty_dB,mobility_penalty_db,mobility_penalty_db,False
Indoor_Penalty_dB,indoor_penalty_db,indoor_penalty_db,False
Contextual_Penalty_dB,contextual_penalty_db,contextual_penalty_db,False
Effective_TX_Power_dBm,effective_tx_power_dbm,effective_tx_power_dbm,False
Signal_Strength_Unclipped_dBm,signal_strength_unclipped_dbm,signal_strength_unclipped_dbm,False
RSRP_Clipped,rsrp_clipped,rsrp_clipped,False
Link_Capacity_Downlink_Mbps,link_capacity_downlink_mbps,link_capacity_downlink_mbps,False
Offered_Downlink_Mbps,offered_downlink_mbps,offered_downlink_mbps,False
Download_Speed_Mbps,download_speed_mbps,download_speed_mbps,False
Link_Capacity_Upload_Mbps,link_capacity_upload_mbps,link_capacity_upload_mbps,False
Offered_Upload_Mbps,offered_upload_mbps,offered_upload_mbps,False
Upload_Speed_Mbps,upload_speed_mbps,upload_speed_mbps,False
Latency_ms,latency_ms,latency_ms,False
Jitter_ms,jitter_ms,jitter_ms,False
Ping_ms,ping_ms,ping_ms,False
Network_Type,network_type,network_type,False
UE_Profile,ue_profile,ue_profile,False
UE_Capability_Class,ue_capability_class,ue_capability_class,False
Operator_Profile,operator_profile,operator_profile,False
Infrastructure_Profile,infrastructure_profile,infrastructure_profile,False
Band,band,band,False
Battery_Level_percent,battery_level_percent,battery_level_percent,False
Temperature_C,temperature_c,temperature_c,False
Connected_Duration_min,connected_duration_min,connected_duration_min,False
Interval_Handover_Count,interval_handover_count,interval_handover_count,False
Cumulative_Handover_Count,cumulative_handover_count,cumulative_handover_count,False
Activity_Factor,activity_factor,activity_factor,False
Data_Usage_MB,data_usage_mb,data_usage_mb,False
Congestion_Level,congestion_level,congestion_level,False
Movement_Speed,movement_speed,movement_speed,False
App_Type,app_type,app_type,False
Weather,weather,weather,False
Obstruction_Level,obstruction_level,obstruction_level,False
Is_Indoor,is_indoor,is_indoor,False
Tower_ID,tower_id,tower_id,False
Distance_to_Tower_km,distance_to_tower_km,distance_to_tower_km,False
Tower_Load,tower_load,tower_load,False
Video_Quality,video_quality,video_quality,False
Video_Quality_Label,video_quality_label,video_quality_label,False
VoNR_Enabled,vonr_enabled,vonr_enabled,False
Anomalous,anomalous,anomalous,False
Dropped_Connection,dropped_connection,dropped_connection,False
