column_name,dtype,missing_count,missing_fraction,non_missing_count
video_quality,Float64,37374,0.74748,12626
video_quality_label,string,37374,0.74748,12626
activity_factor,Float64,0,0.0,50000
anomalous,boolean,0,0.0,50000
app_type,string,0,0.0,50000
area_type,string,0,0.0,50000
band,string,0,0.0,50000
battery_level_percent,Float64,0,0.0,50000
breakpoint_distance_m,Int64,0,0.0,50000
carrier_frequency_ghz,Float64,0,0.0,50000
congestion_level,string,0,0.0,50000
connected_duration_min,Int64,0,0.0,50000
contextual_penalty_db,Int64,0,0.0,50000
cumulative_handover_count,Int64,0,0.0,50000
data_usage_mb,Float64,0,0.0,50000
day_of_week,string,0,0.0,50000
deployment_area,string,0,0.0,50000
deterministic_path_loss_db,Float64,0,0.0,50000
distance_2d_m,Float64,0,0.0,50000
distance_3d_m,Float64,0,0.0,50000
distance_to_tower_km,Float64,0,0.0,50000
download_speed_mbps,Float64,0,0.0,50000
dropped_connection,boolean,0,0.0,50000
effective_tx_power_dbm,Int64,0,0.0,50000
fast_fading_db,Float64,0,0.0,50000
hour,Int64,0,0.0,50000
indoor_penalty_db,Int64,0,0.0,50000
infrastructure_profile,string,0,0.0,50000
interval_handover_count,Int64,0,0.0,50000
is_indoor,boolean,0,0.0,50000
is_weekend,boolean,0,0.0,50000
jitter_ms,Float64,0,0.0,50000
latency_ms,Float64,0,0.0,50000
link_capacity_downlink_mbps,Float64,0,0.0,50000
link_capacity_upload_mbps,Float64,0,0.0,50000
los_probability,Float64,0,0.0,50000
los_state,string,0,0.0,50000
measurement_id,object,0,0.0,50000
mobility_penalty_db,Int64,0,0.0,50000
movement_speed,string,0,0.0,50000
network_type,string,0,0.0,50000
obstruction_level,string,0,0.0,50000
obstruction_penalty_db,Int64,0,0.0,50000
offered_downlink_mbps,Float64,0,0.0,50000
offered_upload_mbps,Float64,0,0.0,50000
operator_profile,string,0,0.0,50000
path_loss_db,Float64,0,0.0,50000
ping_ms,Float64,0,0.0,50000
propagation_model,string,0,0.0,50000
propagation_scenario,string,0,0.0,50000
rsrp_clipped,boolean,0,0.0,50000
session_id,string,0,0.0,50000
session_record_count,int64,0,0.0,50000
session_step_index,int64,0,0.0,50000
shadow_fading_db,Float64,0,0.0,50000
signal_strength_dbm,Float64,0,0.0,50000
signal_strength_unclipped_dbm,Float64,0,0.0,50000
source_row_number,int64,0,0.0,50000
synthetic_latitude,Float64,0,0.0,50000
synthetic_longitude,Float64,0,0.0,50000
temperature_c,Float64,0,0.0,50000
timestamp,datetime64[ns],0,0.0,50000
timestamp_parse_failed,boolean,0,0.0,50000
tower_id,string,0,0.0,50000
tower_load,string,0,0.0,50000
ue_capability_class,string,0,0.0,50000
ue_profile,string,0,0.0,50000
upload_speed_mbps,Float64,0,0.0,50000
user_id,string,0,0.0,50000
vonr_enabled,boolean,0,0.0,50000
weather,string,0,0.0,50000
weather_penalty_db,Int64,0,0.0,50000
