column_name,value,count,fraction,unique_count
hour,18,2410,0.0482,24
hour,8,2341,0.04682,24
hour,17,2317,0.04634,24
hour,0,2269,0.04538,24
hour,7,2213,0.04426,24
hour,3,2174,0.04348,24
hour,10,2164,0.04328,24
hour,2,2144,0.04288,24
hour,14,2119,0.04238,24
hour,1,2091,0.04182,24
hour,15,2080,0.0416,24
hour,11,2054,0.04108,24
hour,16,2048,0.04096,24
hour,23,2045,0.0409,24
hour,5,2021,0.04042,24
hour,21,2007,0.04014,24
hour,13,2006,0.04012,24
hour,6,2006,0.04012,24
hour,9,1976,0.03952,24
hour,19,1928,0.03856,24
hour,4,1917,0.03834,24
hour,12,1908,0.03816,24
hour,20,1902,0.03804,24
hour,22,1860,0.0372,24
day_of_week,Sunday,8105,0.1621,7
day_of_week,Saturday,7537,0.15074,7
day_of_week,Monday,7509,0.15018,7
day_of_week,Friday,7101,0.14202,7
day_of_week,Thursday,6640,0.1328,7
day_of_week,Tuesday,6582,0.13164,7
day_of_week,Wednesday,6526,0.13052,7
is_weekend,False,34358,0.68716,2
is_weekend,True,15642,0.31284,2
deployment_area,Area_D,8510,0.1702,6
deployment_area,Area_C,8480,0.1696,6
deployment_area,Area_A,8460,0.1692,6
deployment_area,Area_E,8330,0.1666,6
deployment_area,Area_B,8320,0.1664,6
deployment_area,Area_F,7900,0.158,6
area_type,Urban,50000,1.0,1
propagation_model,tr38901_umi_street_canyon,50000,1.0,1
propagation_scenario,UMi_Street_Canyon,50000,1.0,1
los_state,NLOS,46933,0.93866,2
los_state,LOS,3067,0.06134,2
carrier_frequency_ghz,3.5,15460,0.3092,9
carrier_frequency_ghz,2.6,12390,0.2478,9
carrier_frequency_ghz,0.7,7420,0.1484,9
carrier_frequency_ghz,39.0,4100,0.082,9
carrier_frequency_ghz,3.7,4060,0.0812,9
carrier_frequency_ghz,26.0,3160,0.0632,9
carrier_frequency_ghz,2.5,2090,0.0418,9
carrier_frequency_ghz,28.0,670,0.0134,9
carrier_frequency_ghz,4.7,650,0.013,9
breakpoint_distance_m,210,15460,0.3092,9
breakpoint_distance_m,156,12390,0.2478,9
breakpoint_distance_m,42,7420,0.1484,9
breakpoint_distance_m,2340,4100,0.082,9
breakpoint_distance_m,222,4060,0.0812,9
breakpoint_distance_m,1560,3160,0.0632,9
breakpoint_distance_m,150,2090,0.0418,9
breakpoint_distance_m,1680,670,0.0134,9
breakpoint_distance_m,282,650,0.013,9
obstruction_penalty_db,2,21350,0.427,3
