feature_block,feature_name,feature_type,feature_role
full_context,signal_strength_dbm,numeric,sensitivity_clustering_input
full_context,los_probability,numeric,sensitivity_clustering_input
full_context,distance_2d_m,numeric,sensitivity_clustering_input
full_context,path_loss_db,numeric,sensitivity_clustering_input
full_context,contextual_penalty_db,numeric,sensitivity_clustering_input
full_context,link_capacity_downlink_mbps,numeric,sensitivity_clustering_input
full_context,offered_downlink_mbps,numeric,sensitivity_clustering_input
full_context,offered_upload_mbps,numeric,sensitivity_clustering_input
full_context,interval_handover_count,numeric,sensitivity_clustering_input
full_context,activity_factor,numeric,sensitivity_clustering_input
full_context,data_usage_mb,numeric,sensitivity_clustering_input
full_context,distance_to_tower_km,numeric,sensitivity_clustering_input
full_context,network_type,categorical,sensitivity_clustering_input
full_context,infrastructure_profile,categorical,sensitivity_clustering_input
full_context,band,categorical,sensitivity_clustering_input
full_context,app_type,categorical,sensitivity_clustering_input
full_context,movement_speed,categorical,sensitivity_clustering_input
full_context,weather,categorical,sensitivity_clustering_input
full_context,obstruction_level,categorical,sensitivity_clustering_input
full_context,congestion_level,categorical,sensitivity_clustering_input
full_context,tower_load,categorical,sensitivity_clustering_input
full_context,time_of_day_bin,categorical,sensitivity_clustering_input
reduced_context,signal_strength_dbm,numeric,primary_clustering_input
reduced_context,los_probability,numeric,primary_clustering_input
reduced_context,path_loss_db,numeric,primary_clustering_input
reduced_context,contextual_penalty_db,numeric,primary_clustering_input
reduced_context,link_capacity_downlink_mbps,numeric,primary_clustering_input
reduced_context,offered_downlink_mbps,numeric,primary_clustering_input
reduced_context,offered_upload_mbps,numeric,primary_clustering_input
reduced_context,interval_handover_count,numeric,primary_clustering_input
reduced_context,activity_factor,numeric,primary_clustering_input
reduced_context,data_usage_mb,numeric,primary_clustering_input
reduced_context,distance_to_tower_km,numeric,primary_clustering_input
reduced_context,network_type,categorical,primary_clustering_input
reduced_context,band,categorical,primary_clustering_input
reduced_context,app_type,categorical,primary_clustering_input
reduced_context,movement_speed,categorical,primary_clustering_input
reduced_context,weather,categorical,primary_clustering_input
reduced_context,obstruction_level,categorical,primary_clustering_input
reduced_context,congestion_level,categorical,primary_clustering_input
reduced_context,tower_load,categorical,primary_clustering_input
reduced_context,time_of_day_bin,categorical,primary_clustering_input
radio_capacity_context,signal_strength_dbm,numeric,sensitivity_clustering_input
radio_capacity_context,los_probability,numeric,sensitivity_clustering_input
radio_capacity_context,path_loss_db,numeric,sensitivity_clustering_input
radio_capacity_context,contextual_penalty_db,numeric,sensitivity_clustering_input
radio_capacity_context,link_capacity_downlink_mbps,numeric,sensitivity_clustering_input
radio_capacity_context,distance_to_tower_km,numeric,sensitivity_clustering_input
radio_capacity_context,network_type,categorical,sensitivity_clustering_input
radio_capacity_context,infrastructure_profile,categorical,sensitivity_clustering_input
radio_capacity_context,band,categorical,sensitivity_clustering_input
radio_capacity_context,weather,categorical,sensitivity_clustering_input
radio_capacity_context,obstruction_level,categorical,sensitivity_clustering_input
load_application_context,offered_downlink_mbps,numeric,sensitivity_clustering_input
load_application_context,offered_upload_mbps,numeric,sensitivity_clustering_input
load_application_context,interval_handover_count,numeric,sensitivity_clustering_input
load_application_context,activity_factor,numeric,sensitivity_clustering_input
load_application_context,data_usage_mb,numeric,sensitivity_clustering_input
load_application_context,app_type,categorical,sensitivity_clustering_input
load_application_context,movement_speed,categorical,sensitivity_clustering_input
load_application_context,congestion_level,categorical,sensitivity_clustering_input
load_application_context,tower_load,categorical,sensitivity_clustering_input
load_application_context,time_of_day_bin,categorical,sensitivity_clustering_input
numeric_context_only,signal_strength_dbm,numeric,sensitivity_clustering_input
numeric_context_only,los_probability,numeric,sensitivity_clustering_input
numeric_context_only,distance_2d_m,numeric,sensitivity_clustering_input
numeric_context_only,path_loss_db,numeric,sensitivity_clustering_input
numeric_context_only,contextual_penalty_db,numeric,sensitivity_clustering_input
numeric_context_only,link_capacity_downlink_mbps,numeric,sensitivity_clustering_input
numeric_context_only,offered_downlink_mbps,numeric,sensitivity_clustering_input
numeric_context_only,offered_upload_mbps,numeric,sensitivity_clustering_input
numeric_context_only,interval_handover_count,numeric,sensitivity_clustering_input
numeric_context_only,activity_factor,numeric,sensitivity_clustering_input
numeric_context_only,data_usage_mb,numeric,sensitivity_clustering_input
numeric_context_only,distance_to_tower_km,numeric,sensitivity_clustering_input
post_hoc_profile,downlink_shortfall_fraction,profile_only,post_hoc_profile
post_hoc_profile,download_speed_mbps,profile_only,post_hoc_profile
post_hoc_profile,jitter_ms,profile_only,post_hoc_profile
post_hoc_profile,latency_ms,profile_only,post_hoc_profile
post_hoc_profile,ping_ms,profile_only,post_hoc_profile
post_hoc_profile,service_degraded,profile_only,post_hoc_profile
post_hoc_profile,throughput_satisfaction_ratio,profile_only,post_hoc_profile
post_hoc_profile,upload_speed_mbps,profile_only,post_hoc_profile
