feature_block,method,k,row_count,cluster_count,noise_fraction,minimum_cluster_fraction,inertia,eps,min_samples,fit_scope,silhouette_score,davies_bouldin_score,calinski_harabasz_score,min_cluster_size
reduced_context,dbscan,,4000,1,0.141,1.0,,3.0709,10,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.1975,1.0,,3.0709,25,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.28925,1.0,,3.0709,50,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.52325,1.0,,3.0709,100,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.0985,1.0,,3.2669,10,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.13075,1.0,,3.2669,25,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.169,1.0,,3.2669,50,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.25175,1.0,,3.2669,100,bounded_sample,,,,
reduced_context,dbscan,,4000,2,0.0865,0.0024630541871921183,,3.3306,10,bounded_sample,0.2201862050372392,1.1912917885381629,16.454511466321186,
reduced_context,dbscan,,4000,1,0.11875,1.0,,3.3306,25,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.1455,1.0,,3.3306,50,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.20825,1.0,,3.3306,100,bounded_sample,,,,
reduced_context,dbscan,,4000,3,0.07425,0.0016203078584931137,,3.3978,10,bounded_sample,0.21003177504985154,1.0566704277500205,17.482767706895903,
reduced_context,dbscan,,4000,1,0.10475,1.0,,3.3978,25,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.1295,1.0,,3.3978,50,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.177,1.0,,3.3978,100,bounded_sample,,,,
reduced_context,dbscan,,4000,2,0.05225,0.0013189132155104195,,3.544,10,bounded_sample,0.35705382493304605,0.8781768838422565,17.174573477773485,
reduced_context,dbscan,,4000,1,0.0805,1.0,,3.544,25,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.1025,1.0,,3.544,50,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.1275,1.0,,3.544,100,bounded_sample,,,,
reduced_context,dbscan,,4000,2,0.05225,0.0013189132155104195,,3.5453,10,bounded_sample,0.35705382493304605,0.8781768838422565,17.174573477773485,
reduced_context,dbscan,,4000,1,0.08,1.0,,3.5453,25,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.1025,1.0,,3.5453,50,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.1275,1.0,,3.5453,100,bounded_sample,,,,
reduced_context,dbscan,,4000,2,0.044,0.0023535564853556486,,3.6149,10,bounded_sample,0.3397505509350086,0.9739596341921319,26.994587548682365,
reduced_context,dbscan,,4000,1,0.07375,1.0,,3.6149,25,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.09225,1.0,,3.6149,50,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.11525,1.0,,3.6149,100,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.03425,1.0,,3.7118,10,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.06425,1.0,,3.7118,25,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.08,1.0,,3.7118,50,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.10075,1.0,,3.7118,100,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.02925,1.0,,3.7751,10,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.058,1.0,,3.7751,25,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.07175,1.0,,3.7751,50,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.0915,1.0,,3.7751,100,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.02875,1.0,,3.7801,10,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.058,1.0,,3.7801,25,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.0715,1.0,,3.7801,50,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.09075,1.0,,3.7801,100,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.01675,1.0,,3.9671,10,bounded_sample,,,,
