feature_block,method,cluster_label,row_count,row_fraction,service_degraded_mean,service_degraded_median,signal_strength_dbm_mean,signal_strength_dbm_median,download_speed_mbps_mean,download_speed_mbps_median,upload_speed_mbps_mean,upload_speed_mbps_median,latency_ms_mean,latency_ms_median,jitter_ms_mean,jitter_ms_median,ping_ms_mean,ping_ms_median,throughput_satisfaction_ratio_mean,throughput_satisfaction_ratio_median,downlink_shortfall_fraction_mean,downlink_shortfall_fraction_median,offered_downlink_mbps_mean,offered_downlink_mbps_median,offered_upload_mbps_mean,offered_upload_mbps_median,link_capacity_downlink_mbps_mean,link_capacity_downlink_mbps_median,distance_to_tower_km_mean,distance_to_tower_km_median,distance_2d_m_mean,distance_2d_m_median,path_loss_db_mean,path_loss_db_median,contextual_penalty_db_mean,contextual_penalty_db_median,interval_handover_count_mean,interval_handover_count_median,activity_factor_mean,activity_factor_median,data_usage_mb_mean,data_usage_mb_median,network_type_mode,network_type_mode_fraction,infrastructure_profile_mode,infrastructure_profile_mode_fraction,band_mode,band_mode_fraction,app_type_mode,app_type_mode_fraction,movement_speed_mode,movement_speed_mode_fraction,weather_mode,weather_mode_fraction,obstruction_level_mode,obstruction_level_mode_fraction,congestion_level_mode,congestion_level_mode_fraction,tower_load_mode,tower_load_mode_fraction,time_of_day_bin_mode,time_of_day_bin_mode_fraction
full_context,kmeans,0,2962,0.37025,0.1350438892640108,0.0,-78.72571910871034,-80.66,112.2477042538825,64.95,11.592265361242404,2.72,64.78246455097907,58.675,0.13728561782579338,0.1,64.80874409182985,58.6,0.8325241529726909,0.9466527434211038,0.17363790697857007,0.0533472565788963,201.27592505064146,81.11,16.064361917623227,2.89,300.7503308575287,245.225,0.3294118838622553,0.2975,329.4144159351789,297.6,111.85385887913571,114.125,10.542538825118163,9.0,0.537812288993923,0.0,0.09985347738014853,0.1,84.46724848075624,47.04,5G SA,0.4098582039162728,Nominal,0.7349763673193788,n78,0.3102633355840648,Streaming,0.26198514517218097,Static,0.5357866306549629,Clear,0.7373396353814989,Low,0.537474679270763,Medium,0.4574611748818366,Light,0.5270087778528022,night,0.2738014854827819
full_context,kmeans,1,5038,0.62975,0.7235013894402541,1.0,-107.98220127034539,-106.91499999999999,21.943946010321557,8.19,3.0502322350138944,0.675,171.6049583167924,156.105,0.38860063517268756,0.31,171.60071456927352,156.8,0.3887960597603511,0.18313207418548916,0.6134873717195782,0.8168679258145107,168.43816990869394,67.995,14.33475784041286,2.41,42.403735609368795,13.48,0.812520841603811,0.711,812.5222330289797,710.91,136.89273124255658,137.06,15.177649861055974,13.0,0.6061929337038507,0.0,0.09971814211988884,0.1,16.230246129416436,5.97,5G NSA,0.39182215164747913,Nominal,0.75764192139738,n78,0.3019055180627233,Browse,0.2538705835649067,Static,0.4910678840809845,Clear,0.6812227074235808,Medium,0.4148471615720524,Medium,0.42695514092894005,Light,0.48670107185391026,morning,0.2635966653433902
reduced_context,kmeans,0,2630,0.32875,0.10570342205323194,0.0,-77.03132699619772,-79.04,121.49871102661596,72.295,12.41384410646388,2.995,56.920159695817496,53.379999999999995,0.11887072243346007,0.09,56.97479087452472,53.4,0.8456207073394,0.9489569894092509,0.1606519755196836,0.05104301059074915,209.47168060836503,89.225,16.650015209125474,3.16,330.2129239543726,305.595,0.34444904942965776,0.295,344.4516615969582,294.565,110.43826615969583,112.95,10.255893536121674,8.0,0.5490494296577947,0.0,0.10030874524714829,0.101,91.70596577946768,53.754999999999995,5G SA,0.43041825095057035,Nominal,0.7307984790874524,n78,0.3224334600760456,Streaming,0.27110266159695817,Static,0.5361216730038023,Clear,0.74106463878327,Low,0.5467680608365019,Medium,0.4650190114068441,Light,0.5410646387832699,night,0.27566539923954375
reduced_context,kmeans,1,5370,0.67125,0.7014897579143389,1.0,-107.0032625698324,-105.82499999999999,22.996217877094974,8.92,3.1759683426443197,0.7,168.85128864059593,152.35500000000002,0.3820819366852886,0.3,168.83504655493482,152.35000000000002,0.40981538731380585,0.21551855672028244,0.592653661746181,0.7844814432797175,166.45442644320298,65.875,14.154862197392921,2.32,43.94646368715083,15.684999999999999,0.7752880819366854,0.672,775.2895046554935,672.2,136.0380018621974,136.385,15.031471135940409,12.0,0.596461824953445,0.0,0.09950353817504656,0.1,16.90377653631285,6.42,5G NSA,0.3865921787709497,Nominal,0.7582867783985102,n78,0.2964618249534451,Browse,0.25512104283054005,Static,0.4936685288640596,Clear,0.6828677839851024,Medium,0.4132216014897579,Medium,0.4251396648044693,Light,0.4823091247672253,morning,0.26424581005586595
radio_capacity_context,kmeans,0,2720,0.34,0.10294117647058823,0.0,-77.08716911764705,-79.255,110.95960661764705,58.045,11.052198529411767,2.285,59.780165441176464,54.805,0.12632720588235294,0.1,59.821838235294116,54.3,0.8609363531684961,0.9524271530239479,0.14560632489489592,0.0475728469760522,182.35580147058823,70.775,14.703511029411766,2.39,318.6825073529412,286.56,0.33696875,0.293,336.9716213235294,292.83500000000004,110.44830514705883,113.11500000000001,10.290441176470589,8.0,0.5452205882352941,0.0,0.09951580882352941,0.1,83.28349264705882,41.97,5G SA,0.4128676470588235,Nominal,0.7360294117647059,n78,0.3088235294117647,Call,0.2713235294117647,Static,0.5352941176470588,Clear,0.7378676470588236,Low,0.5455882352941176,Medium,0.4577205882352941,Light,0.53125,night,0.26875
radio_capacity_context,kmeans,1,5280,0.66,0.7130681818181818,1.0,-107.48538068181817,-106.10499999999999,26.74643371212121,9.22,3.719958333333333,0.74,169.2858693181818,152.75,0.38272727272727275,0.3,169.2750946969697,153.14999999999998,0.3944970093862595,0.20076257026622918,0.6077681165681142,0.7992374297337708,179.6899640151515,73.045,15.11507575757576,2.715,45.00683333333334,15.05,0.7864854166666667,0.682,786.4866856060606,681.72,136.4691893939394,136.61,15.095075757575758,12.0,0.5992424242424242,0.0,0.09989829545454545,0.1,19.967589015151514,6.64,5G NSA,0.39375,Nominal,0.7560606060606061,n78,0.30303030303030304,Streaming,0.2606060606060606,Static,0.4933712121212121,Clear,0.6835227272727272,Medium,0.41363636363636364,Medium,0.428219696969697,Light,0.4863636363636364,morning,0.26212121212121214
load_application_context,kmeans,0,6670,0.83375,0.49130434782608695,0.0,-97.8912683658171,-99.09,32.237887556221885,12.254999999999999,2.8203283358320834,0.72,137.8165937031484,124.47999999999999,0.3086326836581709,0.23,137.8301499250375,124.5,0.5841159024214088,0.8164253187701673,0.4199547960870226,0.1835746812298327,90.94630134932532,48.94,6.489799100449775,1.42,121.40048725637182,37.465,0.6463229385307346,0.512,646.325100449775,512.355,128.19492053973013,130.635,13.623838080959521,10.0,0.5724137931034483,0.0,0.09931784107946026,0.1,23.515163418290857,9.02,5G NSA,0.3856071964017991,Nominal,0.7497751124437781,n78,0.28680659670164915,Call,0.29760119940029983,Static,0.5085457271364318,Clear,0.695952023988006,Low,0.4257871064467766,Medium,0.43553223388305845,Light,0.49505247376311845,morning,0.26026986506746624
load_application_context,kmeans,1,1330,0.16625,0.5774436090225564,1.0,-93.43244360902256,-93.78,171.43202255639096,132.9,23.226894736842105,13.945,103.15395488721805,89.41499999999999,0.22994736842105265,0.16,103.12842105263157,90.1,0.3974721962608743,0.24723209001838287,0.604485991949864,0.752767909981617,630.1947067669173,516.46,57.52946616541354,40.035,221.5874060150376,145.64499999999998,0.5700932330827068,0.429,570.0933007518797,428.59000000000003,124.74931578947368,126.6,12.647368421052631,10.0,0.6233082706766917,0.0,0.10202706766917295,0.102,131.66453383458645,99.14,5G SA,0.5022556390977444,Nominal,0.7466165413533835,n78,0.3962406015037594,Streaming,0.8360902255639098,Static,0.5030075187969925,Clear,0.7323308270676692,Low,0.45789473684210524,Medium,0.4518796992481203,Light,0.5345864661654135,night,0.2849624060150376
numeric_context_only,kmeans,0,3027,0.378375,0.14701024116286754,0.0,-78.98823918070698,-80.92,110.06567888999008,62.37,11.399395441030721,2.64,67.09444334324414,60.01,0.14341261975553354,0.11,67.14658077304261,60.3,0.8278864750703391,0.9454545454545455,0.17820472880962143,0.0545454545454544,199.29638916418895,79.25,15.996977205153616,2.87,294.40301618764454,236.05,0.32859993392798154,0.298,328.6021506442022,297.87,111.94810703666998,114.34,10.71589032044929,9.0,0.5431119920713577,0.0,0.09993293690122233,0.1,82.8288371324744,45.25,5G SA,0.40105715229600264,Nominal,0.7367030062768417,n78,0.3078956062107697,Streaming,0.2626362735381566,Static,0.5298975883713247,Clear,0.7314172447968286,Low,0.5272547076313181,Medium,0.45226296663363064,Light,0.5226296663363066,night,0.27221671622068055
numeric_context_only,kmeans,1,4973,0.621625,0.7239091091896239,1.0,-108.2048079630002,-107.03,22.09179368590388,8.15,3.055980293585361,0.66,171.5939191634828,155.88,0.38815604263020315,0.31,171.57353710034184,156.6,0.3858191695435034,0.1794490358126722,0.6164566951713323,0.8205509641873279,169.21387894631007,68.35,14.353167102352705,2.42,42.890522823245526,13.13,0.8193295797305449,0.726,819.3311482002816,725.52,137.16263623567264,137.29,15.132716670018098,12.0,0.6038608485823447,0.0,0.0996680072390911,0.1,16.33562839332395,5.93,5G NSA,0.3929217775990348,Nominal,0.7568871908304846,n78,0.30323748240498694,Browse,0.2543736175346873,Static,0.49406796702191835,Clear,0.6840941081841947,Medium,0.41122059119243914,Medium,0.42972049064950735,Light,0.48883973456665997,morning,0.26322139553589385
