feature_context,criterion,rule_id,tree_depth,leaf_node,weighted_sample_count,node_sample_count,predicted_class,degraded_rate_in_leaf,condition_count,rule_text,rule_text_interpretable,split_feature_names,threshold_units_note
full_context,entropy,full_context_entropy_leaf_10,3,10,7938.240645129092,8072,1,1.0,3,Downlink Capacity (Mbps) ≤ -0.5848 AND Offered Downlink (Mbps) > -0.4381 AND Downlink Capacity (Mbps) ≤ -0.5961,Downlink Capacity (Mbps) ≤ 24.47 AND Offered Downlink (Mbps) > 57 AND Downlink Capacity (Mbps) ≤ 22.31,link_capacity_downlink_mbps|offered_downlink_mbps|link_capacity_downlink_mbps,rule_text uses transformed model inputs; rule_text_interpretable maps numeric thresholds back to the training-set original scale where possible
full_context,entropy,full_context_entropy_leaf_19,4,19,1674.0324954911728,1702,1,0.9957468140318119,4,Downlink Capacity (Mbps) > -0.5848 AND Downlink Capacity (Mbps) ≤ -0.1903 AND Offered Downlink (Mbps) > -0.09152 AND Offered Downlink (Mbps) > 0.2309,Downlink Capacity (Mbps) > 24.47 AND Downlink Capacity (Mbps) ≤ 99.78 AND Offered Downlink (Mbps) > 154 AND Offered Downlink (Mbps) > 244.2,link_capacity_downlink_mbps|link_capacity_downlink_mbps|offered_downlink_mbps|offered_downlink_mbps,rule_text uses transformed model inputs; rule_text_interpretable maps numeric thresholds back to the training-set original scale where possible
full_context,entropy,full_context_entropy_leaf_4,4,4,5187.712258233355,5273,1,0.9878438506699457,4,Downlink Capacity (Mbps) ≤ -0.5848 AND Offered Downlink (Mbps) ≤ -0.4381 AND Uplink Capacity (Mbps) ≤ -0.6156 AND Congestion Level Low ≤ 0.5,Downlink Capacity (Mbps) ≤ 24.47 AND Offered Downlink (Mbps) ≤ 57 AND Uplink Capacity (Mbps) ≤ 2.595 AND Congestion Level ≠ Low,link_capacity_downlink_mbps|offered_downlink_mbps|link_capacity_upload_mbps|congestion_level,rule_text uses transformed model inputs; rule_text_interpretable maps numeric thresholds back to the training-set original scale where possible
full_context,entropy,full_context_entropy_leaf_11,3,11,275.5961479473138,280,1,0.9741651994298735,3,Downlink Capacity (Mbps) ≤ -0.5848 AND Offered Downlink (Mbps) > -0.4381 AND Downlink Capacity (Mbps) > -0.5961,Downlink Capacity (Mbps) ≤ 24.47 AND Offered Downlink (Mbps) > 57 AND Downlink Capacity (Mbps) > 22.31,link_capacity_downlink_mbps|offered_downlink_mbps|link_capacity_downlink_mbps,rule_text uses transformed model inputs; rule_text_interpretable maps numeric thresholds back to the training-set original scale where possible
full_context,entropy,full_context_entropy_leaf_5,4,5,771.6255818642695,780,1,0.8220461585428696,4,Downlink Capacity (Mbps) ≤ -0.5848 AND Offered Downlink (Mbps) ≤ -0.4381 AND Uplink Capacity (Mbps) ≤ -0.6156 AND Congestion Level Low > 0.5,Downlink Capacity (Mbps) ≤ 24.47 AND Offered Downlink (Mbps) ≤ 57 AND Uplink Capacity (Mbps) ≤ 2.595 AND Congestion Level = Low,link_capacity_downlink_mbps|offered_downlink_mbps|link_capacity_upload_mbps|congestion_level,rule_text uses transformed model inputs; rule_text_interpretable maps numeric thresholds back to the training-set original scale where possible
full_context,entropy,full_context_entropy_leaf_25,4,25,1123.6756868101932,1135,1,0.7990480583348143,4,Downlink Capacity (Mbps) > -0.5848 AND Downlink Capacity (Mbps) > -0.1903 AND Offered Downlink (Mbps) > 0.6456 AND Downlink Capacity (Mbps) ≤ 0.5086,Downlink Capacity (Mbps) > 24.47 AND Downlink Capacity (Mbps) > 99.78 AND Offered Downlink (Mbps) > 360.3 AND Downlink Capacity (Mbps) ≤ 233.3,link_capacity_downlink_mbps|link_capacity_downlink_mbps|offered_downlink_mbps|link_capacity_downlink_mbps,rule_text uses transformed model inputs; rule_text_interpretable maps numeric thresholds back to the training-set original scale where possible
full_context,entropy,full_context_entropy_leaf_18,4,18,841.4710625677659,849,1,0.7655000465685955,4,Downlink Capacity (Mbps) > -0.5848 AND Downlink Capacity (Mbps) ≤ -0.1903 AND Offered Downlink (Mbps) > -0.09152 AND Offered Downlink (Mbps) ≤ 0.2309,Downlink Capacity (Mbps) > 24.47 AND Downlink Capacity (Mbps) ≤ 99.78 AND Offered Downlink (Mbps) > 154 AND Offered Downlink (Mbps) ≤ 244.2,link_capacity_downlink_mbps|link_capacity_downlink_mbps|offered_downlink_mbps|offered_downlink_mbps,rule_text uses transformed model inputs; rule_text_interpretable maps numeric thresholds back to the training-set original scale where possible
full_context,entropy,full_context_entropy_leaf_7,4,7,1653.2693003529223,1662,1,0.6567023630628265,4,Downlink Capacity (Mbps) ≤ -0.5848 AND Offered Downlink (Mbps) ≤ -0.4381 AND Uplink Capacity (Mbps) > -0.6156 AND Congestion Level Low ≤ 0.5,Downlink Capacity (Mbps) ≤ 24.47 AND Offered Downlink (Mbps) ≤ 57 AND Uplink Capacity (Mbps) > 2.595 AND Congestion Level ≠ Low,link_capacity_downlink_mbps|offered_downlink_mbps|link_capacity_upload_mbps|congestion_level,rule_text uses transformed model inputs; rule_text_interpretable maps numeric thresholds back to the training-set original scale where possible
full_context,entropy,full_context_entropy_leaf_16,4,16,1999.5450158197505,1998,0,0.4770717006141167,4,Downlink Capacity (Mbps) > -0.5848 AND Downlink Capacity (Mbps) ≤ -0.1903 AND Offered Downlink (Mbps) ≤ -0.09152 AND Congestion Level High > 0.5,Downlink Capacity (Mbps) > 24.47 AND Downlink Capacity (Mbps) ≤ 99.78 AND Offered Downlink (Mbps) ≤ 154 AND Congestion Level = High,link_capacity_downlink_mbps|link_capacity_downlink_mbps|offered_downlink_mbps|congestion_level,rule_text uses transformed model inputs; rule_text_interpretable maps numeric thresholds back to the training-set original scale where possible
full_context,entropy,full_context_entropy_leaf_26,4,26,1526.4350392524414,1509,0,0.16106633960716807,4,Downlink Capacity (Mbps) > -0.5848 AND Downlink Capacity (Mbps) > -0.1903 AND Offered Downlink (Mbps) > 0.6456 AND Downlink Capacity (Mbps) > 0.5086,Downlink Capacity (Mbps) > 24.47 AND Downlink Capacity (Mbps) > 99.78 AND Offered Downlink (Mbps) > 360.3 AND Downlink Capacity (Mbps) > 233.3,link_capacity_downlink_mbps|link_capacity_downlink_mbps|offered_downlink_mbps|link_capacity_downlink_mbps,rule_text uses transformed model inputs; rule_text_interpretable maps numeric thresholds back to the training-set original scale where possible
