column_name,value,count,fraction
network_type,5G NSA,19650,0.393
network_type,5G SA,17960,0.3592
network_type,4G,12390,0.2478
band,n78,15460,0.3092
band,LTE_Anchor,12390,0.2478
band,n28,7420,0.1484
band,n260,4100,0.082
band,n77,4060,0.0812
band,n258,3160,0.0632
band,n41,2090,0.0418
band,n257,670,0.0134
band,n79,650,0.013
congestion_level,Medium,21674,0.43348
congestion_level,High,19204,0.38408
congestion_level,Low,9122,0.18244
tower_load,Light,25097,0.50194
tower_load,Moderate,14903,0.29806
tower_load,Heavy,10000,0.2
app_type,Streaming,12626,0.25252
app_type,Gaming,12569,0.25138
app_type,Browse,12432,0.24864
app_type,Call,12373,0.24746
movement_speed,Static,25236,0.50472
movement_speed,Walking,22774,0.45548
movement_speed,Driving,1990,0.0398
weather,Clear,35160,0.7032
weather,Rainy,9770,0.1954
weather,Foggy,5070,0.1014
obstruction_level,Low,21350,0.427
obstruction_level,Medium,20620,0.4124
obstruction_level,High,8030,0.1606
time_of_day_bin,morning,12754,0.25508
time_of_day_bin,night,12616,0.25232
time_of_day_bin,afternoon,12478,0.24956
time_of_day_bin,evening,12152,0.24304
area_type,Urban,50000,1.0
video_quality_label,<missing>,37374,0.74748
video_quality_label,Good,4138,0.08276
video_quality_label,Bad,2724,0.05448
video_quality_label,Fair,2512,0.05024
video_quality_label,Poor,2148,0.04296
video_quality_label,Excellent,1104,0.02208
service_degraded,1,25358,0.50716
service_degraded,0,24642,0.49284
