source_dataset,source_label,metric,metric_label,metric_role,technology,measurement_context,application_context,mobility_context,non_missing_count,mean,std,min,p05,p25,median,p75,p95,max,iqr,claim_scope
synnetqos,SynNetQoS,download_throughput_mbps,Download throughput,service_performance,4G,synthetic_session_record,Browse,Driving,120,9.829083333333333,12.77767965915521,0.0,0.0,1.185,4.355,13.2025,40.13499999999999,58.15,12.0175,selected throughput plausibility comparison
synnetqos,SynNetQoS,download_throughput_mbps,Download throughput,service_performance,4G,synthetic_session_record,Browse,Static,1551,14.127878787878789,15.468493346178937,0.0,0.0,2.5949999999999998,9.15,20.560000000000002,48.230000000000004,109.89,17.965000000000003,selected throughput plausibility comparison
synnetqos,SynNetQoS,download_throughput_mbps,Download throughput,service_performance,4G,synthetic_session_record,Browse,Walking,1463,12.050054682159946,14.411467921684679,0.0,0.0,1.725,6.88,17.04,42.157999999999994,103.85,15.315,selected throughput plausibility comparison
synnetqos,SynNetQoS,download_throughput_mbps,Download throughput,service_performance,4G,synthetic_session_record,Call,Driving,115,4.069565217391304,5.133468850678343,0.0,0.0,1.045,2.59,5.109999999999999,12.289999999999996,36.58,4.0649999999999995,selected throughput plausibility comparison
synnetqos,SynNetQoS,download_throughput_mbps,Download throughput,service_performance,4G,synthetic_session_record,Call,Static,1550,3.95,4.266058788336028,0.0,0.0,1.25,2.71,5.2475000000000005,11.609499999999997,36.46,3.9975000000000005,selected throughput plausibility comparison
synnetqos,SynNetQoS,download_throughput_mbps,Download throughput,service_performance,4G,synthetic_session_record,Call,Walking,1438,3.711432545201669,4.727866680282484,0.0,0.0,0.9524999999999999,2.38,4.827500000000001,11.85049999999999,58.85,3.875000000000001,selected throughput plausibility comparison
synnetqos,SynNetQoS,download_throughput_mbps,Download throughput,service_performance,4G,synthetic_session_record,Gaming,Driving,101,15.561881188118809,16.16330775014021,0.0,0.0,1.75,11.84,23.32,52.06,62.26,21.57,selected throughput plausibility comparison
synnetqos,SynNetQoS,download_throughput_mbps,Download throughput,service_performance,4G,synthetic_session_record,Gaming,Static,1557,19.03557482337829,21.368550922226024,0.0,0.0,2.45,11.79,27.64,64.07399999999997,121.86,25.19,selected throughput plausibility comparison
synnetqos,SynNetQoS,download_throughput_mbps,Download throughput,service_performance,4G,synthetic_session_record,Gaming,Walking,1391,15.7901509705248,19.342016408693535,0.0,0.0,1.68,8.53,22.6,56.254999999999995,119.11,20.92,selected throughput plausibility comparison
synnetqos,SynNetQoS,download_throughput_mbps,Download throughput,service_performance,4G,synthetic_session_record,Streaming,Driving,126,13.882460317460316,16.55827317984616,0.0,0.0,1.165,7.4350000000000005,20.7275,54.775,61.56,19.5625,selected throughput plausibility comparison
synnetqos,SynNetQoS,download_throughput_mbps,Download throughput,service_performance,4G,synthetic_session_record,Streaming,Static,1543,25.87045366169799,27.501883641212828,0.0,0.0,3.1550000000000002,16.41,42.685,78.55599999999997,131.43,39.53,selected throughput plausibility comparison
synnetqos,SynNetQoS,download_throughput_mbps,Download throughput,service_performance,4G,synthetic_session_record,Streaming,Walking,1435,19.27928222996516,24.065154655473105,0.0,0.0,1.7,8.74,26.84,68.782,117.52,25.14,selected throughput plausibility comparison
synnetqos,SynNetQoS,download_throughput_mbps,Download throughput,service_performance,5G NSA,synthetic_session_record,Browse,Driving,203,36.48463054187192,44.057292495298555,0.0,0.0020000000000000287,8.315000000000001,20.04,46.1,121.76199999999989,237.23,37.785,selected throughput plausibility comparison
synnetqos,SynNetQoS,download_throughput_mbps,Download throughput,service_performance,5G NSA,synthetic_session_record,Browse,Static,2376,48.02661616161616,56.16632614014966,0.0,0.0,10.54,30.369999999999997,64.9225,154.2,510.03,54.3825,selected throughput plausibility comparison
