metric,metric_label,reference_dataset,reference_label,comparison_context,synnetqos_n,reference_n,synnetqos_median,reference_median,median_difference,synnetqos_iqr,reference_iqr,wasserstein_distance,ks_statistic,recommended_use,manuscript_note,filter_note
download_throughput_mbps,Download throughput,vienna_4g5g,Vienna 4G/5G,unfiltered,10000,10000,15.56,9.300000190734863,6.259999809265137,57.2775,70.80000150203705,29.766393887503092,0.2884,main_text_candidate,Use as selected-variable external plausibility evidence; do not describe as field validation.,
download_throughput_mbps,Download throughput,campus_qos,Campus QoS,unfiltered,10000,302,15.56,64.0050552491757,-48.445055249175695,57.2775,47.64178243710738,51.06119800113255,0.6310662251655629,main_text_candidate,Use as selected-variable external plausibility evidence; do not describe as field validation.,
download_throughput_mbps,Download throughput,ucc_5g_context,UCC 5G Context (Download context),Download context,10000,10000,15.56,12.0325,3.5275,57.2775,34.435500000000005,13.697324899999998,0.1072,main_text_candidate,Use as selected-variable external plausibility evidence; do not describe as field validation.,"UCC throughput comparisons use only application_context=Download. The full UCC production trace includes streaming sessions with bursty or idle bitrate periods, so the unfiltered throughput distribution is retained for coverage audit but not used as the main throughput comparison."
jitter_ms,Jitter,campus_qos,Campus QoS,unfiltered,10000,302,0.22,0.188895575126735,0.031104424873265007,0.3,0.15520731613210928,0.10404429993691307,0.17545165562913909,supplementary_or_table,Use as selected-variable external plausibility evidence; do not describe as field validation.,
jitter_ms,Jitter,ucc_5g_context,UCC 5G Context,unfiltered,10000,3208,0.22,3.0,-2.78,0.3,4.0,8.431350029925186,0.9614483790523691,supplementary_or_table,Use as selected-variable external plausibility evidence; do not describe as field validation.,
latency_ms,Latency,ucc_5g_context,UCC 5G Context,unfiltered,10000,3208,121.02,75.0,46.019999999999996,106.88499999999999,15.0,60.06613276309227,0.49175536159600997,supplementary_or_table,Use as selected-variable external plausibility evidence; do not describe as field validation.,
offered_downlink_mbps,Offered downlink traffic,campus_qos,Campus QoS,unfiltered,10000,302,68.66,150.0,-81.34,196.09500000000003,75.0,140.01166274172186,0.5192,supplementary_or_table,Use as selected-variable external plausibility evidence; do not describe as field validation.,
signal_dbm,Signal / RSRP,vienna_4g5g,Vienna 4G/5G,unfiltered,10000,10000,-98.485,-95.5,-2.9849999999999994,24.72,20.10000000000001,4.17331195552063,0.0978,main_text_candidate,Use as selected-variable external plausibility evidence; do not describe as field validation.,
signal_dbm,Signal / RSRP,ucc_5g_context,UCC 5G Context,unfiltered,10000,10000,-98.485,-93.0,-5.484999999999999,24.72,19.0,7.943391999999999,0.3365,main_text_candidate,Use as selected-variable external plausibility evidence; do not describe as field validation.,
upload_throughput_mbps,Upload throughput,vienna_4g5g,Vienna 4G/5G,unfiltered,10000,10000,0.99,0.5,0.49,4.5725,8.425000093877316,4.6147060022660185,0.1949,supplementary_or_table,Use as selected-variable external plausibility evidence; do not describe as field validation.,
upload_throughput_mbps,Upload throughput,campus_qos,Campus QoS,unfiltered,10000,302,0.99,9.157868687412895,-8.167868687412895,4.5725,11.060210131810226,7.112912179402203,0.4684331125827815,supplementary_or_table,Use as selected-variable external plausibility evidence; do not describe as field validation.,
upload_throughput_mbps,Upload throughput,ucc_5g_context,UCC 5G Context (Download context),Download context,10000,10000,0.99,0.098,0.892,4.5725,0.137,6.2483293999999985,0.7023,supplementary_or_table,Use as selected-variable external plausibility evidence; do not describe as field validation.,UCC upload throughput is shown only for Download-context rows to avoid mixing streaming idle periods; use as supplementary evidence.
