metric,metric_label,source_dataset,source_label,source_role,comparison_context,non_missing_count,comparison_status,recommended_use,claim_scope,filter_note
download_throughput_mbps,Download throughput,synnetqos,SynNetQoS,main_dataset,unfiltered,50000,available,not_reported,selected throughput plausibility comparison,
download_throughput_mbps,Download throughput,vienna_4g5g,Vienna 4G/5G,required_reference,unfiltered,1839718,pairwise_comparable,main_text_candidate,selected throughput plausibility comparison,
download_throughput_mbps,Download throughput,campus_qos,Campus QoS,required_reference,unfiltered,302,pairwise_comparable,main_text_candidate,selected throughput plausibility comparison,
download_throughput_mbps,Download throughput,ucc_5g_context,UCC 5G Context (Download context),required_reference,Download context,43208,pairwise_comparable,main_text_candidate,selected throughput plausibility comparison,"UCC throughput comparisons use only application_context=Download. The full UCC production trace includes streaming sessions with bursty or idle bitrate periods, so the unfiltered throughput distribution is retained for coverage audit but not used as the main throughput comparison."
download_throughput_mbps,Download throughput,ns3_lena,5G-LENA/ns-3,required_reference,unfiltered,12,insufficient_or_unavailable,not_reported,selected throughput plausibility comparison,
jitter_ms,Jitter,synnetqos,SynNetQoS,main_dataset,unfiltered,50000,available,not_reported,selected jitter plausibility comparison,
jitter_ms,Jitter,vienna_4g5g,Vienna 4G/5G,required_reference,unavailable,0,insufficient_or_unavailable,not_reported,selected jitter plausibility comparison,
jitter_ms,Jitter,campus_qos,Campus QoS,required_reference,unfiltered,302,pairwise_comparable,supplementary_or_table,selected jitter plausibility comparison,
jitter_ms,Jitter,ucc_5g_context,UCC 5G Context,required_reference,unfiltered,3208,pairwise_comparable,supplementary_or_table,selected jitter plausibility comparison,
jitter_ms,Jitter,ns3_lena,5G-LENA/ns-3,required_reference,unfiltered,12,insufficient_or_unavailable,not_reported,selected jitter plausibility comparison,
latency_ms,Latency,synnetqos,SynNetQoS,main_dataset,unfiltered,50000,available,not_reported,selected latency plausibility comparison,
latency_ms,Latency,vienna_4g5g,Vienna 4G/5G,required_reference,unavailable,0,insufficient_or_unavailable,not_reported,selected latency plausibility comparison,
latency_ms,Latency,campus_qos,Campus QoS,required_reference,unavailable,0,insufficient_or_unavailable,not_reported,selected latency plausibility comparison,
latency_ms,Latency,ucc_5g_context,UCC 5G Context,required_reference,unfiltered,3208,pairwise_comparable,supplementary_or_table,selected latency plausibility comparison,
latency_ms,Latency,ns3_lena,5G-LENA/ns-3,required_reference,unfiltered,12,insufficient_or_unavailable,not_reported,selected latency plausibility comparison,
offered_downlink_mbps,Offered downlink traffic,synnetqos,SynNetQoS,main_dataset,unfiltered,50000,available,not_reported,selected traffic-demand plausibility comparison,
offered_downlink_mbps,Offered downlink traffic,vienna_4g5g,Vienna 4G/5G,required_reference,unavailable,0,insufficient_or_unavailable,not_reported,selected traffic-demand plausibility comparison,
offered_downlink_mbps,Offered downlink traffic,campus_qos,Campus QoS,required_reference,unfiltered,302,pairwise_comparable,supplementary_or_table,selected traffic-demand plausibility comparison,
