metric,metric_label,reference_dataset,reference_label,comparison_context,filter_note,synnetqos_sample_count,reference_sample_count,synnetqos_median,reference_median,median_difference,absolute_median_difference,median_ratio,synnetqos_iqr,reference_iqr,ks_statistic,ks_p_value,wasserstein_distance,recommended_use,comparison_scope,interpretation_note
download_throughput_mbps,Download throughput,vienna_4g5g,Vienna 4G/5G,unfiltered,,10000,10000,15.56,9.300000190734863,6.259999809265137,6.259999809265137,1.6731182452557012,57.2775,70.80000150203705,0.2884,1e-323,29.766393887503092,main_text_candidate,selected-variable plausibility comparison; not field validation,"KS p-values are descriptive because the datasets differ in collection design and sample size; emphasize medians, IQRs, and distance measures."
download_throughput_mbps,Download throughput,campus_qos,Campus QoS,unfiltered,,10000,302,15.56,64.0050552491757,-48.445055249175695,48.445055249175695,0.2431057974940252,57.2775,47.64178243710738,0.6310662251655629,3.545883823547244e-113,51.06119800113255,main_text_candidate,selected-variable plausibility comparison; not field validation,"KS p-values are descriptive because the datasets differ in collection design and sample size; emphasize medians, IQRs, and distance measures."
download_throughput_mbps,Download throughput,ucc_5g_context,UCC 5G Context (Download context),Download context,"UCC throughput comparisons use only application_context=Download. The full UCC production trace includes streaming sessions with bursty or idle bitrate periods, so the unfiltered throughput distribution is retained for coverage audit but not used as the main throughput comparison.",10000,10000,15.56,12.0325,3.5275,3.5275,1.2931643465613962,57.2775,34.435500000000005,0.1072,1.9910433863701831e-50,13.697324899999998,main_text_candidate,selected-variable plausibility comparison; not field validation,"KS p-values are descriptive because the datasets differ in collection design and sample size; emphasize medians, IQRs, and distance measures."
jitter_ms,Jitter,campus_qos,Campus QoS,unfiltered,,10000,302,0.22,0.188895575126735,0.031104424873265007,0.031104424873265007,1.164664655868176,0.3,0.15520731613210928,0.17545165562913909,2.308449603505012e-08,0.10404429993691307,supplementary_or_table,selected-variable plausibility comparison; not field validation,"KS p-values are descriptive because the datasets differ in collection design and sample size; emphasize medians, IQRs, and distance measures."
jitter_ms,Jitter,ucc_5g_context,UCC 5G Context,unfiltered,,10000,3208,0.22,3.0,-2.78,2.78,0.07333333333333333,0.3,4.0,0.9614483790523691,0.0,8.431350029925186,supplementary_or_table,selected-variable plausibility comparison; not field validation,"KS p-values are descriptive because the datasets differ in collection design and sample size; emphasize medians, IQRs, and distance measures."
latency_ms,Latency,ucc_5g_context,UCC 5G Context,unfiltered,,10000,3208,121.02,75.0,46.019999999999996,46.019999999999996,1.6136,106.88499999999999,15.0,0.49175536159600997,6.477e-321,60.06613276309227,supplementary_or_table,selected-variable plausibility comparison; not field validation,"KS p-values are descriptive because the datasets differ in collection design and sample size; emphasize medians, IQRs, and distance measures."
offered_downlink_mbps,Offered downlink traffic,campus_qos,Campus QoS,unfiltered,,10000,302,68.66,150.0,-81.34,81.34,0.4577333333333333,196.09500000000003,75.0,0.5192,7.482186507033853e-74,140.01166274172186,supplementary_or_table,selected-variable plausibility comparison; not field validation,"KS p-values are descriptive because the datasets differ in collection design and sample size; emphasize medians, IQRs, and distance measures."
signal_dbm,Signal / RSRP,vienna_4g5g,Vienna 4G/5G,unfiltered,,10000,10000,-98.485,-95.5,-2.9849999999999994,2.9849999999999994,1.0312565445026178,24.72,20.10000000000001,0.0978,4.97817346324813e-42,4.17331195552063,main_text_candidate,selected-variable plausibility comparison; not field validation,"KS p-values are descriptive because the datasets differ in collection design and sample size; emphasize medians, IQRs, and distance measures."
signal_dbm,Signal / RSRP,ucc_5g_context,UCC 5G Context,unfiltered,,10000,10000,-98.485,-93.0,-5.484999999999999,5.484999999999999,1.058978494623656,24.72,19.0,0.3365,0.0,7.943391999999999,main_text_candidate,selected-variable plausibility comparison; not field validation,"KS p-values are descriptive because the datasets differ in collection design and sample size; emphasize medians, IQRs, and distance measures."
upload_throughput_mbps,Upload throughput,vienna_4g5g,Vienna 4G/5G,unfiltered,,10000,10000,0.99,0.5,0.49,0.49,1.98,4.5725,8.425000093877316,0.1949,1.8952250515102412e-166,4.6147060022660185,supplementary_or_table,selected-variable plausibility comparison; not field validation,"KS p-values are descriptive because the datasets differ in collection design and sample size; emphasize medians, IQRs, and distance measures."
upload_throughput_mbps,Upload throughput,campus_qos,Campus QoS,unfiltered,,10000,302,0.99,9.157868687412895,-8.167868687412895,8.167868687412895,0.10810375577460651,4.5725,11.060210131810226,0.4684331125827815,2.1243135005751425e-59,7.112912179402203,supplementary_or_table,selected-variable plausibility comparison; not field validation,"KS p-values are descriptive because the datasets differ in collection design and sample size; emphasize medians, IQRs, and distance measures."
upload_throughput_mbps,Upload throughput,ucc_5g_context,UCC 5G Context (Download context),Download context,UCC upload throughput is shown only for Download-context rows to avoid mixing streaming idle periods; use as supplementary evidence.,10000,10000,0.99,0.098,0.892,0.892,10.10204081632653,4.5725,0.137,0.7023,0.0,6.2483293999999985,supplementary_or_table,selected-variable plausibility comparison; not field validation,"KS p-values are descriptive because the datasets differ in collection design and sample size; emphasize medians, IQRs, and distance measures."
