source_dataset,group_name,group_value,metric,column_name,value
ns3_lena,all,all,row_count,,12.0
ns3_lena,all,all,non_missing_count,download_throughput_mbps,12.0
ns3_lena,all,all,mean,download_throughput_mbps,12.248124416666665
ns3_lena,all,all,median,download_throughput_mbps,12.26708
ns3_lena,all,all,min,download_throughput_mbps,12.1512
ns3_lena,all,all,max,download_throughput_mbps,12.3138665
ns3_lena,all,all,non_missing_count,latency_ms,12.0
ns3_lena,all,all,mean,latency_ms,110.46480066666668
ns3_lena,all,all,median,latency_ms,110.7043775
ns3_lena,all,all,min,latency_ms,67.046193
ns3_lena,all,all,max,latency_ms,153.41507
ns3_lena,all,all,non_missing_count,jitter_ms,12.0
ns3_lena,all,all,mean,jitter_ms,0.8553108333333332
ns3_lena,all,all,median,jitter_ms,0.8532430000000001
ns3_lena,all,all,min,jitter_ms,0.3348615
ns3_lena,all,all,max,jitter_ms,1.380131
ns3_lena,all,all,non_missing_count,packet_loss_fraction,12.0
ns3_lena,all,all,mean,packet_loss_fraction,0.3509027777777778
ns3_lena,all,all,median,packet_loss_fraction,0.3516666666666666
ns3_lena,all,all,min,packet_loss_fraction,0.2075
ns3_lena,all,all,max,packet_loss_fraction,0.4925
ns3_lena,all,all,non_missing_count,offered_downlink_mbps,12.0
ns3_lena,all,all,mean,offered_downlink_mbps,41.455999999999996
ns3_lena,all,all,median,offered_downlink_mbps,41.456
ns3_lena,all,all,min,offered_downlink_mbps,34.464
ns3_lena,all,all,max,offered_downlink_mbps,48.448
ns3_lena,scenario,medium_load_ofdma_seed_1,row_count,,1.0
ns3_lena,scenario,medium_load_ofdma_seed_1,non_missing_count,download_throughput_mbps,1.0
ns3_lena,scenario,medium_load_ofdma_seed_1,mean,download_throughput_mbps,12.1512
ns3_lena,scenario,medium_load_ofdma_seed_1,median,download_throughput_mbps,12.1512
ns3_lena,scenario,medium_load_ofdma_seed_1,min,download_throughput_mbps,12.1512
ns3_lena,scenario,medium_load_ofdma_seed_1,max,download_throughput_mbps,12.1512
ns3_lena,scenario,medium_load_ofdma_seed_1,non_missing_count,latency_ms,1.0
ns3_lena,scenario,medium_load_ofdma_seed_1,mean,latency_ms,68.204248
ns3_lena,scenario,medium_load_ofdma_seed_1,median,latency_ms,68.204248
ns3_lena,scenario,medium_load_ofdma_seed_1,min,latency_ms,68.204248
ns3_lena,scenario,medium_load_ofdma_seed_1,max,latency_ms,68.204248
