node_id,node_type,graph_view,node_label,source_dataset,source_column,source_value,measurement_id,session_id,timestamp,service_degraded,high_latency,high_jitter,downlink_service_shortfall,poor_video_quality,dropped_connection,anomalous,row_count,degraded_count,degradation_fraction,context_family,context_value,degradation_rate,source_label,source_role,metric,metric_label,reference_dataset,comparison_context,recommended_use,comparison_scope,synnetqos_sample_count,reference_sample_count,median_difference,wasserstein_distance,ks_statistic,incident_edge_count,incident_weight,max_edge_degradation_lift
context_cooccurrence:context_value:obstruction_high:2b69b79ceadf,context_value,context_cooccurrence,obstruction=High,synnetqos,obstruction_level,High,,,,,,,,,,,8030.0,6279.0,,obstruction,High,0.7819427148194271,,,,,,,,,,,,,,35,80300.0,1.82388200962221
context_cooccurrence:context_value:radio_band_n257:b9d330068dfa,context_value,context_cooccurrence,radio_band=n257,synnetqos,band,n257,,,,,,,,,,,670.0,425.0,,radio_band,n257,0.6343283582089553,,,,,,,,,,,,,,29,6700.0,1.82388200962221
context_cooccurrence:context_value:network_type_4g:3830d9ef62b5,context_value,context_cooccurrence,network_type=4G,synnetqos,network_type,4G,,,,,,,,,,,12390.0,8558.0,,network_type,4G,0.6907183212267958,,,,,,,,,,,,,,28,123900.0,1.8134404004604796
context_cooccurrence:context_value:radio_band_lte_anchor:34e50eb9270d,context_value,context_cooccurrence,radio_band=LTE_Anchor,synnetqos,band,LTE_Anchor,,,,,,,,,,,12390.0,8558.0,,radio_band,LTE_Anchor,0.6907183212267958,,,,,,,,,,,,,,28,123900.0,1.8134404004604796
context_cooccurrence:context_value:tower_load_heavy:a49aed9efbc6,context_value,context_cooccurrence,tower_load=Heavy,synnetqos,tower_load,Heavy,,,,,,,,,,,10000.0,6725.0,,tower_load,Heavy,0.6725,,,,,,,,,,,,,,34,100000.0,1.7704354939122435
context_cooccurrence:context_value:congestion_high:9d9dddd17c8c,context_value,context_cooccurrence,congestion=High,synnetqos,congestion_level,High,,,,,,,,,,,19204.0,12968.0,,congestion,High,0.6752759841699646,,,,,,,,,,,,,,36,192040.0,1.7552644815200764
context_cooccurrence:context_value:radio_band_n258:4f5199340e56,context_value,context_cooccurrence,radio_band=n258,synnetqos,band,n258,,,,,,,,,,,3160.0,1993.0,,radio_band,n258,0.6306962025316456,,,,,,,,,,,,,,29,31600.0,1.736830711865658
context_cooccurrence:context_value:radio_band_n260:c860a51b140e,context_value,context_cooccurrence,radio_band=n260,synnetqos,band,n260,,,,,,,,,,,4100.0,2553.0,,radio_band,n260,0.6226829268292683,,,,,,,,,,,,,,29,41000.0,1.725293792885874
context_cooccurrence:context_value:application_streaming:ca9f33603ddd,context_value,context_cooccurrence,application=Streaming,synnetqos,app_type,Streaming,,,,,,,,,,,12626.0,8301.0,,application,Streaming,0.6574528750198004,,,,,,,,,,,,,,35,126260.0,1.716695983286775
context_cooccurrence:context_value:weather_foggy:086f7369c216,context_value,context_cooccurrence,weather=Foggy,synnetqos,weather,Foggy,,,,,,,,,,,5070.0,3179.0,,weather,Foggy,0.6270216962524655,,,,,,,,,,,,,,36,50700.0,1.6320507204304242
context_cooccurrence:context_value:radio_band_n77:72cd438a800f,context_value,context_cooccurrence,radio_band=n77,synnetqos,band,n77,,,,,,,,,,,4060.0,1975.0,,radio_band,n77,0.4864532019704433,,,,,,,,,,,,,,29,40600.0,1.6311868587284628
context_cooccurrence:context_value:time_bin_evening:e2cb1b063e48,context_value,context_cooccurrence,time_bin=evening,synnetqos,time_of_day_bin,evening,,,,,,,,,,,12152.0,6550.0,,time_bin,evening,0.5390059249506254,,,,,,,,,,,,,,35,121520.0,1.61602824666266
context_cooccurrence:context_value:weather_rainy:2c23bce4260d,context_value,context_cooccurrence,weather=Rainy,synnetqos,weather,Rainy,,,,,,,,,,,9770.0,5314.0,,weather,Rainy,0.5439099283520983,,,,,,,,,,,,,,36,97700.0,1.6087507684657687
