node_id,graph_view,node_type,degree_total,weighted_degree
external_reference_evidence:source:vienna_4g5g:9718c68f019b,external_reference_evidence,source,14,27049389.0
external_reference_evidence:metric:signal_dbm:3a4d672c419a,external_reference_evidence,metric,5,4133838.0
external_reference_evidence:reference_context:mobility_context_mobile_measurement:d7c0836ae1e9,external_reference_evidence,reference_context,1,3895145.0
external_reference_evidence:reference_context:measurement_context_drive_test:4800083e5dc3,external_reference_evidence,reference_context,1,3895145.0
external_reference_evidence:reference_context:technology_5g:6acd031cdcc0,external_reference_evidence,reference_context,4,2318455.0
external_reference_evidence:reference_context:network_mode_5g:5aa16e26bbd4,external_reference_evidence,reference_context,2,2182040.0
external_reference_evidence:metric:download_throughput_mbps:ae2d9e2813b2,external_reference_evidence,metric,8,2078746.0
external_reference_evidence:metric:upload_throughput_mbps:599874e4d7f5,external_reference_evidence,metric,7,2077834.0
external_reference_evidence:reference_context:measurement_source_phone:73d2dc1bfc3e,external_reference_evidence,reference_context,2,2056612.0
external_reference_evidence:reference_context:measurement_source_scanner:538e7762eadc,external_reference_evidence,reference_context,1,2027244.0
external_reference_evidence:source:ucc_5g_context:3bfe5e5f2660,external_reference_evidence,source,36,1853595.0
external_reference_evidence:reference_context:technology_lte:94765a3201a2,external_reference_evidence,reference_context,2,1748619.0
external_reference_evidence:reference_context:network_mode_lte:c978042b2768,external_reference_evidence,reference_context,1,1713407.0
context_cooccurrence:context_value:area_type_urban:56fedb3ecc6c,context_cooccurrence,context_value,38,500000.0
context_cooccurrence:context_value:infrastructure_nominal:86f0c6eb721b,context_cooccurrence,context_value,36,376000.0
context_cooccurrence:context_value:weather_clear:8bab34b7cb82,context_cooccurrence,context_value,36,351600.0
external_reference_evidence:source:synnetqos:a81eefc24311,external_reference_evidence,source,18,300012.0
context_cooccurrence:context_value:mobility_static:d34206ea58e5,context_cooccurrence,context_value,36,252360.0
context_cooccurrence:context_value:tower_load_light:a96b7363a32b,context_cooccurrence,context_value,36,250970.0
context_cooccurrence:context_value:mobility_walking:f9c84a86faf4,context_cooccurrence,context_value,36,227740.0
context_cooccurrence:context_value:congestion_medium:1096e9812b9e,context_cooccurrence,context_value,35,216740.0
context_cooccurrence:context_value:obstruction_low:6baf2e76a3c7,context_cooccurrence,context_value,36,213500.0
context_cooccurrence:context_value:obstruction_medium:3ea6ce2a44a8,context_cooccurrence,context_value,36,206200.0
context_cooccurrence:context_value:network_type_5g_nsa:1e446c34aabc,context_cooccurrence,context_value,35,196500.0
context_cooccurrence:context_value:congestion_high:9d9dddd17c8c,context_cooccurrence,context_value,36,192040.0
external_reference_evidence:reference_context:measurement_context_production_trace:eb86b6caa648,external_reference_evidence,reference_context,1,188711.0
context_cooccurrence:context_value:network_type_5g_sa:ca96e299bff5,context_cooccurrence,context_value,35,179600.0
context_cooccurrence:context_value:radio_band_n78:7ccd8ccc28c3,context_cooccurrence,context_value,29,154600.0
context_cooccurrence:context_value:tower_load_moderate:ff95aa01d274,context_cooccurrence,context_value,35,149030.0
external_reference_evidence:reference_context:network_mode_5g:b7ac4161e85d,external_reference_evidence,reference_context,1,136403.0
context_cooccurrence:context_value:time_bin_morning:7b7f4189c4b9,context_cooccurrence,context_value,35,127540.0
context_cooccurrence:context_value:application_streaming:ca9f33603ddd,context_cooccurrence,context_value,35,126260.0
context_cooccurrence:context_value:time_bin_night:908d2968c559,context_cooccurrence,context_value,35,126160.0
context_cooccurrence:context_value:application_gaming:def3dd30caeb,context_cooccurrence,context_value,35,125690.0
context_cooccurrence:context_value:time_bin_afternoon:e0d493798a7a,context_cooccurrence,context_value,35,124780.0
context_cooccurrence:context_value:application_browse:3d1bd585d2bd,context_cooccurrence,context_value,35,124320.0
context_cooccurrence:context_value:radio_band_lte_anchor:34e50eb9270d,context_cooccurrence,context_value,28,123900.0
context_cooccurrence:context_value:network_type_4g:3830d9ef62b5,context_cooccurrence,context_value,28,123900.0
context_cooccurrence:context_value:application_call:285b8de10ee6,context_cooccurrence,context_value,35,123730.0
context_cooccurrence:context_value:time_bin_evening:e2cb1b063e48,context_cooccurrence,context_value,35,121520.0
external_reference_evidence:reference_context:mobility_context_driving:4e8a52f89a8c,external_reference_evidence,reference_context,1,103545.0
context_cooccurrence:context_value:tower_load_heavy:a49aed9efbc6,context_cooccurrence,context_value,34,100000.0
context_cooccurrence:context_value:infrastructure_moderately_degraded:76839948dcb8,context_cooccurrence,context_value,36,98000.0
context_cooccurrence:context_value:weather_rainy:2c23bce4260d,context_cooccurrence,context_value,36,97700.0
context_cooccurrence:context_value:congestion_low:dc6f30abc825,context_cooccurrence,context_value,33,91220.0
