edge_id,source_node_id,target_node_id,edge_type,graph_view,is_directed,edge_weight,measurement_id,session_id,source_column,source_value,context_family,source_measurement_id,target_measurement_id,source_service_degraded,target_service_degraded,row_count,support_fraction,degraded_count,degradation_rate,baseline_degradation_rate,degradation_lift,source_context_family,target_context_family,source_dataset,metric,non_missing_count,non_missing_fraction,comparison_status,recommended_use,claim_scope,reference_dataset,comparison_context,median_difference,wasserstein_distance,ks_statistic,comparison_scope
edge_0d93c8927b85953a7f,external_reference_evidence:source:synnetqos:a81eefc24311,external_reference_evidence:comparison:download_throughput_mbps_campus_qos_unfiltered:33e5e01a98e7,synnetqos_has_comparison,external_reference_evidence,True,1.0,,,,,,,,,,,,,,,,,,,download_throughput_mbps,,,,main_text_candidate,,campus_qos,unfiltered,-48.445055249175695,51.06119800113255,0.6310662251655629,selected-variable plausibility comparison; not field validation
edge_69c3d9623238999b3e,external_reference_evidence:source:campus_qos:7d40f1cbee10,external_reference_evidence:comparison:download_throughput_mbps_campus_qos_unfiltered:33e5e01a98e7,reference_has_comparison,external_reference_evidence,True,1.0,,,,,,,,,,,,,,,,,,,download_throughput_mbps,,,,main_text_candidate,,campus_qos,unfiltered,-48.445055249175695,51.06119800113255,0.6310662251655629,selected-variable plausibility comparison; not field validation
edge_5c7955ec445cb1dde3,external_reference_evidence:comparison:download_throughput_mbps_campus_qos_unfiltered:33e5e01a98e7,external_reference_evidence:metric:download_throughput_mbps:ae2d9e2813b2,comparison_uses_metric,external_reference_evidence,True,1.0,,,,,,,,,,,,,,,,,,,download_throughput_mbps,,,,main_text_candidate,,campus_qos,unfiltered,-48.445055249175695,51.06119800113255,0.6310662251655629,selected-variable plausibility comparison; not field validation
edge_ec327f73486b60a6f1,external_reference_evidence:source:synnetqos:a81eefc24311,external_reference_evidence:comparison:download_throughput_mbps_ucc_5g_context_download_context:a8edabcebf15,synnetqos_has_comparison,external_reference_evidence,True,1.0,,,,,,,,,,,,,,,,,,,download_throughput_mbps,,,,main_text_candidate,,ucc_5g_context,Download context,3.5275,13.697324899999998,0.1072,selected-variable plausibility comparison; not field validation
edge_dd3c76afd3cf1d6409,external_reference_evidence:source:ucc_5g_context:3bfe5e5f2660,external_reference_evidence:comparison:download_throughput_mbps_ucc_5g_context_download_context:a8edabcebf15,reference_has_comparison,external_reference_evidence,True,1.0,,,,,,,,,,,,,,,,,,,download_throughput_mbps,,,,main_text_candidate,,ucc_5g_context,Download context,3.5275,13.697324899999998,0.1072,selected-variable plausibility comparison; not field validation
edge_7fbb7ae6ccb388c406,external_reference_evidence:comparison:download_throughput_mbps_ucc_5g_context_download_context:a8edabcebf15,external_reference_evidence:metric:download_throughput_mbps:ae2d9e2813b2,comparison_uses_metric,external_reference_evidence,True,1.0,,,,,,,,,,,,,,,,,,,download_throughput_mbps,,,,main_text_candidate,,ucc_5g_context,Download context,3.5275,13.697324899999998,0.1072,selected-variable plausibility comparison; not field validation
edge_43c3aadbe6bc74673d,external_reference_evidence:source:synnetqos:a81eefc24311,external_reference_evidence:comparison:download_throughput_mbps_vienna_4g5g_unfiltered:34bf2ac0be0d,synnetqos_has_comparison,external_reference_evidence,True,1.0,,,,,,,,,,,,,,,,,,,download_throughput_mbps,,,,main_text_candidate,,vienna_4g5g,unfiltered,6.259999809265137,29.766393887503092,0.2884,selected-variable plausibility comparison; not field validation
edge_ea54c779f722e34f64,external_reference_evidence:source:vienna_4g5g:9718c68f019b,external_reference_evidence:comparison:download_throughput_mbps_vienna_4g5g_unfiltered:34bf2ac0be0d,reference_has_comparison,external_reference_evidence,True,1.0,,,,,,,,,,,,,,,,,,,download_throughput_mbps,,,,main_text_candidate,,vienna_4g5g,unfiltered,6.259999809265137,29.766393887503092,0.2884,selected-variable plausibility comparison; not field validation
edge_2414d56818d3437cd2,external_reference_evidence:comparison:download_throughput_mbps_vienna_4g5g_unfiltered:34bf2ac0be0d,external_reference_evidence:metric:download_throughput_mbps:ae2d9e2813b2,comparison_uses_metric,external_reference_evidence,True,1.0,,,,,,,,,,,,,,,,,,,download_throughput_mbps,,,,main_text_candidate,,vienna_4g5g,unfiltered,6.259999809265137,29.766393887503092,0.2884,selected-variable plausibility comparison; not field validation
edge_bdea0f7e14e971e2ba,external_reference_evidence:source:synnetqos:a81eefc24311,external_reference_evidence:comparison:signal_dbm_ucc_5g_context_unfiltered:87304fe9587c,synnetqos_has_comparison,external_reference_evidence,True,1.0,,,,,,,,,,,,,,,,,,,signal_dbm,,,,main_text_candidate,,ucc_5g_context,unfiltered,-5.484999999999999,7.943391999999999,0.3365,selected-variable plausibility comparison; not field validation
edge_6ccade720c8cde6799,external_reference_evidence:source:ucc_5g_context:3bfe5e5f2660,external_reference_evidence:comparison:signal_dbm_ucc_5g_context_unfiltered:87304fe9587c,reference_has_comparison,external_reference_evidence,True,1.0,,,,,,,,,,,,,,,,,,,signal_dbm,,,,main_text_candidate,,ucc_5g_context,unfiltered,-5.484999999999999,7.943391999999999,0.3365,selected-variable plausibility comparison; not field validation
edge_8c780b1c745671a79d,external_reference_evidence:comparison:signal_dbm_ucc_5g_context_unfiltered:87304fe9587c,external_reference_evidence:metric:signal_dbm:3a4d672c419a,comparison_uses_metric,external_reference_evidence,True,1.0,,,,,,,,,,,,,,,,,,,signal_dbm,,,,main_text_candidate,,ucc_5g_context,unfiltered,-5.484999999999999,7.943391999999999,0.3365,selected-variable plausibility comparison; not field validation
edge_04cfcfd7d05ca3f0d8,external_reference_evidence:source:synnetqos:a81eefc24311,external_reference_evidence:comparison:signal_dbm_vienna_4g5g_unfiltered:041543d3a3dc,synnetqos_has_comparison,external_reference_evidence,True,1.0,,,,,,,,,,,,,,,,,,,signal_dbm,,,,main_text_candidate,,vienna_4g5g,unfiltered,-2.984999999999999,4.17331195552063,0.0978,selected-variable plausibility comparison; not field validation
edge_046235dfec307feae5,external_reference_evidence:source:vienna_4g5g:9718c68f019b,external_reference_evidence:comparison:signal_dbm_vienna_4g5g_unfiltered:041543d3a3dc,reference_has_comparison,external_reference_evidence,True,1.0,,,,,,,,,,,,,,,,,,,signal_dbm,,,,main_text_candidate,,vienna_4g5g,unfiltered,-2.984999999999999,4.17331195552063,0.0978,selected-variable plausibility comparison; not field validation
