check_name,check_value,status
benchmark_role,graph_predictive_benchmark_not_primary_claim_unless_results_justify,ok
prediction_rows_from_warehouse_measurements_only,50000,ok
target_column_removed_from_features,1,ok
training_context_rates_excluded_from_default_benchmark,1,ok
session_grouped_split_used,1,ok
warehouse_measurement_view_prediction_eligible,55039,ok
context_cooccurrence_view_feature_support,657,ok
external_reference_evidence_view_reference_only,240,ok
session_group_overlap_count,0,ok
transition_edge_cross_split_count,0,ok
transition_train_edge_count,36000,ok
transition_test_edge_count,9000,ok
gnn_inference_scope,offline_observed_within_session_transition_benchmark,ok
graphsage_transition_gnn_training_scope,synnetqos_warehouse_measurement_nodes_transition_edges_only,ok
gcn_transition_gnn_training_scope,synnetqos_warehouse_measurement_nodes_transition_edges_only,ok
true_gnn_dependency,torch_available_on_cpu,ok
true_gnn_edge_policy,90000,ok
true_gnn_feature_policy,has_congestion_level; has_mobility_state; has_obstruction_context; has_tower_load; has_weather_context; observed_in_area_type; observed_in_time_bin; uses_application; uses_infrastructure; uses_network_type; uses_radio_band; graph_degree; transition_out_degree; transition_in_degree,ok
true_gnn_external_reference_exclusion,external_reference_evidence_nodes_not_used_for_prediction,ok
