model_name,train_row_count,test_row_count,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,model_warning_count,model_warning_types,model_family,feature_source,best_validation_f1,best_epoch
hist_gradient_boosting,40000,10000,0.9804,0.980406374368444,0.982017982017982,0.9788886675960964,0.9804508278475964,0.9976479985106936,,,supervised_reference,,,
xgboost,40000,10000,0.975,0.9750129992293064,0.9781519342553618,0.9719179446325432,0.975024975024975,0.996662701130048,,,supervised_reference,,,
decision_tree_entropy,40000,10000,0.9629,0.9628997655518644,0.9631474103585658,0.9629555865365466,0.9630514888955284,0.9939374930573776,,,supervised_reference,,,
decision_tree_gini,40000,10000,0.9581,0.9581131211154564,0.96130713712911,0.9549890460067716,0.9581376760915176,0.9931566592834696,,,supervised_reference,,,
logistic_regression,40000,10000,0.9534,0.9533781775910528,0.9491224610530468,0.9585739892451702,0.953824811732065,0.9926651506132568,,,supervised_reference,,,
linear_svm,40000,10000,0.9529,0.952879428793124,0.9488950276243094,0.9577773351921928,0.9533154921201308,0.9916622529221416,,,supervised_reference,,,
random_forest,40000,10000,0.9485,0.9485356321685514,0.9566274827725983,0.9400517825134436,0.9482672024108488,0.9904915922716876,,,supervised_reference,,,
rbf_svm,7999,10000,0.9442,0.9441805353446436,0.9405725567620928,0.948814977096196,0.9446757882212968,0.9890199663122058,,,supervised_reference,,,
knn,14999,10000,0.8563,0.8562147236277249,0.8434266002299732,0.8765186217884884,0.859654263111632,0.9303285709959924,,,supervised_reference,,,
adaboost,40000,10000,0.8673,0.8676576054801607,0.9435638808837656,0.782513443537144,0.855525313010343,0.9529906907557848,,,supervised_reference,,,
naive_bayes,40000,10000,0.8261,0.8256983453188114,0.7748743718592965,0.9213304122684725,0.8417796378855427,0.9139829426591084,,,supervised_reference,,,
graphsage_transition_gnn,40000,10000,0.7463,0.7462119431786777,0.7379310344827587,0.7671778530173272,0.7522702861048726,0.8244303429512496,0.0,,true_gnn_optional_benchmark,warehouse_context_features_and_transition_edges,0.7557791352257756,37.0
graph_context_logistic_regression,40000,10000,0.7457,0.7456690536021056,0.743705743509048,0.7530372435769767,0.7483424047501237,0.8248079696125841,6.0,RuntimeWarning,graph_derived_benchmark,warehouse_context_edges,,
gcn_transition_gnn,40000,10000,0.708,0.7079100075325329,0.7011296189929159,0.7293367855008962,0.7149550956657555,0.780940975798813,0.0,,true_gnn_optional_benchmark,warehouse_context_features_and_transition_edges,0.7252403846153846,17.0
