edge_id,source_node_id,target_node_id,edge_type,graph_view,is_directed,edge_weight,measurement_id,session_id,source_column,source_value,context_family,source_measurement_id,target_measurement_id,source_service_degraded,target_service_degraded,row_count,support_fraction,degraded_count,degradation_rate,baseline_degradation_rate,degradation_lift,source_context_family,target_context_family,source_dataset,metric,non_missing_count,non_missing_fraction,comparison_status,recommended_use,claim_scope,reference_dataset,comparison_context,median_difference,wasserstein_distance,ks_statistic,comparison_scope,source_label,target_label
edge_9eefae787c8c717f2d,context_cooccurrence:context_value:network_type_4g:3830d9ef62b5,context_cooccurrence:context_value:obstruction_high:2b69b79ceadf,context_cooccurs,context_cooccurrence,False,2030.0,,,,,,,,,,2030.0,0.0406,1867.0,0.9197044334975368,0.50716,1.8134404004604796,network_type,obstruction,,,,,,,,,,,,,,network_type=4G,obstruction=High
edge_011d2f74dfb4735e9f,context_cooccurrence:context_value:obstruction_high:2b69b79ceadf,context_cooccurrence:context_value:radio_band_lte_anchor:34e50eb9270d,context_cooccurs,context_cooccurrence,False,2030.0,,,,,,,,,,2030.0,0.0406,1867.0,0.9197044334975368,0.50716,1.8134404004604796,obstruction,radio_band,,,,,,,,,,,,,,obstruction=High,radio_band=LTE_Anchor
edge_1fbff900c164564069,context_cooccurrence:context_value:obstruction_high:2b69b79ceadf,context_cooccurrence:context_value:tower_load_heavy:a49aed9efbc6,context_cooccurs,context_cooccurrence,False,1567.0,,,,,,,,,,1567.0,0.03134,1407.0,0.8978940650925336,0.50716,1.7704354939122435,obstruction,tower_load,,,,,,,,,,,,,,obstruction=High,tower_load=Heavy
edge_107b55767d81c9e1c9,context_cooccurrence:context_value:congestion_high:9d9dddd17c8c,context_cooccurrence:context_value:obstruction_high:2b69b79ceadf,context_cooccurs,context_cooccurrence,False,3051.0,,,,,,,,,,3051.0,0.06102,2716.0,0.890199934447722,0.50716,1.7552644815200764,congestion,obstruction,,,,,,,,,,,,,,congestion=High,obstruction=High
edge_cad26106d9d2a3c17a,context_cooccurrence:context_value:network_type_4g:3830d9ef62b5,context_cooccurrence:context_value:tower_load_heavy:a49aed9efbc6,context_cooccurs,context_cooccurrence,False,2480.0,,,,,,,,,,2480.0,0.0496,2168.0,0.8741935483870967,0.50716,1.7237036603578686,network_type,tower_load,,,,,,,,,,,,,,network_type=4G,tower_load=Heavy
edge_883d0a38f3bae7b922,context_cooccurrence:context_value:radio_band_lte_anchor:34e50eb9270d,context_cooccurrence:context_value:tower_load_heavy:a49aed9efbc6,context_cooccurs,context_cooccurrence,False,2480.0,,,,,,,,,,2480.0,0.0496,2168.0,0.8741935483870967,0.50716,1.7237036603578686,radio_band,tower_load,,,,,,,,,,,,,,radio_band=LTE_Anchor,tower_load=Heavy
edge_687a1c9716c5bf1cda,context_cooccurrence:context_value:application_streaming:ca9f33603ddd,context_cooccurrence:context_value:obstruction_high:2b69b79ceadf,context_cooccurs,context_cooccurrence,False,2064.0,,,,,,,,,,2064.0,0.04128,1797.0,0.8706395348837209,0.50716,1.716695983286775,application,obstruction,,,,,,,,,,,,,,application=Streaming,obstruction=High
edge_90e26e62d37209bf0c,context_cooccurrence:context_value:congestion_high:9d9dddd17c8c,context_cooccurrence:context_value:network_type_4g:3830d9ef62b5,context_cooccurs,context_cooccurrence,False,4711.0,,,,,,,,,,4711.0,0.09422,4083.0,0.8666949692209722,0.50716,1.7089182293969796,congestion,network_type,,,,,,,,,,,,,,congestion=High,network_type=4G
edge_88009ee83984e1da0f,context_cooccurrence:context_value:congestion_high:9d9dddd17c8c,context_cooccurrence:context_value:radio_band_lte_anchor:34e50eb9270d,context_cooccurs,context_cooccurrence,False,4711.0,,,,,,,,,,4711.0,0.09422,4083.0,0.8666949692209722,0.50716,1.7089182293969796,congestion,radio_band,,,,,,,,,,,,,,congestion=High,radio_band=LTE_Anchor
edge_c79e0dc880dbdd19fb,context_cooccurrence:context_value:obstruction_high:2b69b79ceadf,context_cooccurrence:context_value:time_bin_evening:e2cb1b063e48,context_cooccurs,context_cooccurrence,False,1879.0,,,,,,,,,,1879.0,0.03758,1540.0,0.8195848855774348,0.50716,1.61602824666266,obstruction,time_bin,,,,,,,,,,,,,,obstruction=High,time_bin=evening
