graph_view,node_type,node_count
context_cooccurrence,context_value,39
external_reference_evidence,reference_context,216
external_reference_evidence,comparison,12
external_reference_evidence,metric,7
external_reference_evidence,source,5
warehouse_measurement,measurement,50000
warehouse_measurement,session,5000
warehouse_measurement,radio_band,9
warehouse_measurement,application,4
warehouse_measurement,time_bin,4
warehouse_measurement,congestion,3
warehouse_measurement,infrastructure,3
warehouse_measurement,mobility,3
warehouse_measurement,network_type,3
warehouse_measurement,obstruction,3
warehouse_measurement,tower_load,3
warehouse_measurement,weather,3
warehouse_measurement,area_type,1
