model_name,actual_label,predicted_label,count,experiment_name,experiment_label
knn,not_degraded,not_degraded,4162,full_context,Full operating-context feature set
knn,not_degraded,degraded,817,full_context,Full operating-context feature set
knn,degraded,not_degraded,620,full_context,Full operating-context feature set
knn,degraded,degraded,4401,full_context,Full operating-context feature set
naive_bayes,not_degraded,not_degraded,3635,full_context,Full operating-context feature set
naive_bayes,not_degraded,degraded,1344,full_context,Full operating-context feature set
naive_bayes,degraded,not_degraded,395,full_context,Full operating-context feature set
naive_bayes,degraded,degraded,4626,full_context,Full operating-context feature set
decision_tree_gini,not_degraded,not_degraded,4786,full_context,Full operating-context feature set
decision_tree_gini,not_degraded,degraded,193,full_context,Full operating-context feature set
decision_tree_gini,degraded,not_degraded,226,full_context,Full operating-context feature set
decision_tree_gini,degraded,degraded,4795,full_context,Full operating-context feature set
decision_tree_entropy,not_degraded,not_degraded,4794,full_context,Full operating-context feature set
decision_tree_entropy,not_degraded,degraded,185,full_context,Full operating-context feature set
decision_tree_entropy,degraded,not_degraded,186,full_context,Full operating-context feature set
decision_tree_entropy,degraded,degraded,4835,full_context,Full operating-context feature set
logistic_regression,not_degraded,not_degraded,4721,full_context,Full operating-context feature set
logistic_regression,not_degraded,degraded,258,full_context,Full operating-context feature set
logistic_regression,degraded,not_degraded,208,full_context,Full operating-context feature set
logistic_regression,degraded,degraded,4813,full_context,Full operating-context feature set
random_forest,not_degraded,not_degraded,4765,full_context,Full operating-context feature set
random_forest,not_degraded,degraded,214,full_context,Full operating-context feature set
random_forest,degraded,not_degraded,301,full_context,Full operating-context feature set
random_forest,degraded,degraded,4720,full_context,Full operating-context feature set
adaboost,not_degraded,not_degraded,4744,full_context,Full operating-context feature set
adaboost,not_degraded,degraded,235,full_context,Full operating-context feature set
adaboost,degraded,not_degraded,1092,full_context,Full operating-context feature set
adaboost,degraded,degraded,3929,full_context,Full operating-context feature set
hist_gradient_boosting,not_degraded,not_degraded,4889,full_context,Full operating-context feature set
hist_gradient_boosting,not_degraded,degraded,90,full_context,Full operating-context feature set
hist_gradient_boosting,degraded,not_degraded,106,full_context,Full operating-context feature set
hist_gradient_boosting,degraded,degraded,4915,full_context,Full operating-context feature set
xgboost,not_degraded,not_degraded,4870,full_context,Full operating-context feature set
xgboost,not_degraded,degraded,109,full_context,Full operating-context feature set
xgboost,degraded,not_degraded,141,full_context,Full operating-context feature set
xgboost,degraded,degraded,4880,full_context,Full operating-context feature set
