model_name,training_status,train_row_count,test_row_count,positive_fraction,accuracy,balanced_accuracy,precision,recall,f1,notes,roc_auc,pr_auc,experiment_name,experiment_label
hist_gradient_boosting,ok,40000,10000,0.5021,0.9804,0.9804063743684439,0.9820179820179821,0.9788886675960964,0.9804508278475963,,0.9976479985106937,0.9981452347311839,full_context,Full operating-context feature set
xgboost,ok,40000,10000,0.5021,0.975,0.9750129992293064,0.9781519342553618,0.9719179446325433,0.975024975024975,,0.996662701130048,0.9971861694012026,full_context,Full operating-context feature set
decision_tree_entropy,ok,40000,10000,0.5021,0.9629,0.9628997655518643,0.9631474103585658,0.9629555865365466,0.9630514888955284,,0.9939374930573776,0.9938799768476018,full_context,Full operating-context feature set
decision_tree_gini,ok,40000,10000,0.5021,0.9581,0.9581131211154565,0.9613071371291099,0.9549890460067716,0.9581376760915177,,0.9931566592834697,0.993467408002935,full_context,Full operating-context feature set
logistic_regression,ok,40000,10000,0.5021,0.9534,0.9533781775910527,0.9491224610530468,0.9585739892451702,0.953824811732065,,0.9926651506132568,0.9931977507847081,full_context,Full operating-context feature set
linear_svm,ok,40000,10000,0.5021,0.9529,0.9528794287931239,0.9488950276243094,0.9577773351921928,0.9533154921201308,,0.9916622529221415,0.9921063360506647,full_context,Full operating-context feature set
random_forest,ok,40000,10000,0.5021,0.9485,0.9485356321685514,0.9566274827725983,0.9400517825134436,0.9482672024108488,,0.9904915922716877,0.9911332610453492,full_context,Full operating-context feature set
rbf_svm,ok,7999,10000,0.5021,0.9442,0.9441805353446435,0.9405725567620928,0.948814977096196,0.9446757882212968,Stratified training subset used because exact RBF SVM training scales poorly with dense one-hot features.,0.9890199663122058,0.989697718226981,full_context,Full operating-context feature set
knn,ok,14999,10000,0.5021,0.8563,0.8562147236277249,0.8434266002299732,0.8765186217884884,0.859654263111632,Stratified training subset used to keep the instance-based benchmark runtime bounded.,0.9303285709959923,0.9212782848643957,full_context,Full operating-context feature set
adaboost,ok,40000,10000,0.5021,0.8673,0.8676576054801607,0.9435638808837656,0.782513443537144,0.855525313010343,,0.9529906907557849,0.9516022074351652,full_context,Full operating-context feature set
naive_bayes,ok,40000,10000,0.5021,0.8261,0.8256983453188114,0.7748743718592965,0.9213304122684725,0.8417796378855427,,0.9139829426591085,0.9081629912257443,full_context,Full operating-context feature set
