column_name,present_in_supervised_table,used_in_full_context,used_in_reduced_context,exclusion_reason
activity_factor,True,True,True,candidate_predictor
anomalous,False,False,False,target_component
app_type,True,True,True,candidate_predictor
area_type,True,False,False,reduced_context_exclusion
band,True,True,True,candidate_predictor
battery_level_percent,True,True,True,candidate_predictor
breakpoint_distance_m,True,True,True,candidate_predictor
carrier_frequency_ghz,True,True,True,candidate_predictor
congestion_level,True,True,True,candidate_predictor
connected_duration_min,True,True,True,candidate_predictor
contextual_penalty_db,True,True,True,candidate_predictor
cumulative_handover_count,True,True,True,candidate_predictor
data_usage_mb,True,True,True,candidate_predictor
day_of_week,True,True,True,candidate_predictor
deployment_area,True,True,False,reduced_context_exclusion
deterministic_path_loss_db,True,True,True,candidate_predictor
distance_2d_m,True,True,True,candidate_predictor
distance_3d_m,True,True,True,candidate_predictor
distance_to_tower_km,True,True,True,candidate_predictor
downlink_service_shortfall,True,False,False,target_component
downlink_shortfall_fraction,False,False,False,direct_outcome_or_label_definition_field
download_speed_mbps,False,False,False,direct_outcome_or_label_definition_field
dropped_connection,False,False,False,target_component
effective_tx_power_dbm,True,False,False,candidate_predictor
fast_fading_db,True,True,True,candidate_predictor
high_jitter,True,False,False,target_component
high_latency,True,False,False,target_component
hour,True,True,True,candidate_predictor
indoor_penalty_db,True,True,True,candidate_predictor
infrastructure_profile,True,True,True,candidate_predictor
interval_handover_count,True,True,True,candidate_predictor
is_weekend,True,True,True,candidate_predictor
jitter_ms,False,False,False,direct_outcome_or_label_definition_field
latency_ms,False,False,False,direct_outcome_or_label_definition_field
link_capacity_downlink_mbps,True,True,False,reduced_context_exclusion
link_capacity_upload_mbps,True,True,False,reduced_context_exclusion
los_probability,True,True,True,candidate_predictor
los_state,True,True,True,candidate_predictor
measurement_id,True,False,False,identifier_or_split_field
mobility_penalty_db,True,True,True,candidate_predictor
movement_speed,True,True,True,candidate_predictor
network_type,True,True,True,candidate_predictor
obstruction_level,True,True,True,candidate_predictor
obstruction_penalty_db,True,True,True,candidate_predictor
offered_downlink_mbps,True,True,False,reduced_context_exclusion
offered_upload_mbps,True,True,False,reduced_context_exclusion
operator_profile,True,True,True,candidate_predictor
path_loss_db,True,True,True,candidate_predictor
ping_ms,False,False,False,direct_outcome_or_label_definition_field
poor_video_quality,True,False,False,target_component
propagation_model,True,False,False,candidate_predictor
propagation_scenario,True,False,False,candidate_predictor
rsrp_clipped,True,True,True,candidate_predictor
service_degraded,True,False,False,target_label
session_id,True,False,False,identifier_or_split_field
shadow_fading_db,True,True,True,candidate_predictor
signal_strength_dbm,True,True,True,candidate_predictor
signal_strength_unclipped_dbm,True,True,True,candidate_predictor
temperature_c,True,True,True,candidate_predictor
throughput_satisfaction_ratio,False,False,False,direct_outcome_or_label_definition_field
time_of_day_bin,True,True,True,candidate_predictor
timestamp,True,False,False,identifier_or_split_field
tower_load,True,True,True,candidate_predictor
ue_capability_class,True,True,True,candidate_predictor
ue_profile,True,True,True,candidate_predictor
upload_speed_mbps,False,False,False,direct_outcome_or_label_definition_field
video_quality,False,False,False,direct_outcome_or_label_definition_field
video_quality_label,False,False,False,direct_outcome_or_label_definition_field
weather,True,True,True,candidate_predictor
weather_penalty_db,True,True,True,candidate_predictor
