split_random_state,model_name,training_status,train_row_count,test_row_count,positive_fraction,accuracy,balanced_accuracy,precision,recall,f1,notes,roc_auc,pr_auc,experiment_name,experiment_label
11,hist_gradient_boosting,ok,40000,10000,0.4831,0.9829,0.9827823098220331,0.9852144939608496,0.9793003518940178,0.9822485207100592,,0.9965382251299175,0.9973239200848769,repeated_session_grouped,Repeated session-grouped holdout stability analysis
11,xgboost,ok,40000,10000,0.4831,0.976,0.9758033567869278,0.980129679983267,0.9699855102463258,0.9750312109862672,,0.9956591808745985,0.9963919090211457,repeated_session_grouped,Repeated session-grouped holdout stability analysis
11,decision_tree_entropy,ok,40000,10000,0.4831,0.965,0.9648178465005561,0.9678429734808938,0.9594286897122749,0.9636174636174636,,0.9922416765809933,0.9921859914145069,repeated_session_grouped,Repeated session-grouped holdout stability analysis
11,decision_tree_gini,ok,40000,10000,0.4831,0.9624,0.9621945695640528,0.9657118962993937,0.9561167460153177,0.9608903682130226,,0.9929795395451579,0.9930830794603128,repeated_session_grouped,Repeated session-grouped holdout stability analysis
11,logistic_regression,ok,40000,10000,0.4831,0.9545,0.9545663948321119,0.9496506370735717,0.9565307389774373,0.9530782716304012,,0.9918835674628124,0.9923940698079977,repeated_session_grouped,Repeated session-grouped holdout stability analysis
11,linear_svm,ok,40000,10000,0.4831,0.9516,0.9516190877105641,0.9478672985781991,0.9521838128751812,0.9500206526228832,,0.9910238653046788,0.9915041665236686,repeated_session_grouped,Repeated session-grouped holdout stability analysis
11,random_forest,ok,40000,10000,0.4831,0.9476,0.9471069328443587,0.9578992132681268,0.932519147174498,0.9450388084749318,,0.9894690890661126,0.989837648488528,repeated_session_grouped,Repeated session-grouped holdout stability analysis
11,rbf_svm,ok,7999,10000,0.4831,0.9435,0.9435267426919209,0.939069575957184,0.9443179465949079,0.9416864485499019,Stratified training subset used because exact RBF SVM training scales poorly with dense one-hot features.,0.9874890269639648,0.9876203452461635,repeated_session_grouped,Repeated session-grouped holdout stability analysis
11,knn,ok,14999,10000,0.4831,0.8536,0.8541702382469829,0.8334323628441276,0.8710411922997309,0.8518218623481781,Stratified training subset used to keep the instance-based training runtime bounded.,0.9290757332807293,0.9161220614814461,repeated_session_grouped,Repeated session-grouped holdout stability analysis
11,adaboost,ok,40000,10000,0.4831,0.8671,0.8640074166330582,0.9419485108531045,0.7725108673152556,0.8488570453770045,,0.9518759811959575,0.9472358526141145,repeated_session_grouped,Repeated session-grouped holdout stability analysis
11,naive_bayes,ok,40000,10000,0.4831,0.8323,0.8351976632183672,0.7745473537604457,0.920927344235148,0.841418439716312,,0.9172186272485139,0.9085972873245916,repeated_session_grouped,Repeated session-grouped holdout stability analysis
23,hist_gradient_boosting,ok,40000,10000,0.5113,0.983,0.9830365357409951,0.9852739053602985,0.9814199100332486,0.9833431314912796,,0.9969054394222393,0.997844990619989,repeated_session_grouped,Repeated session-grouped holdout stability analysis
23,xgboost,ok,40000,10000,0.5113,0.9765,0.9766033099065679,0.9818253654681944,0.9720320751026794,0.9769041769041769,,0.9961895137560461,0.9970865995309686,repeated_session_grouped,Repeated session-grouped holdout stability analysis
23,decision_tree_entropy,ok,40000,10000,0.5113,0.9654,0.9653913632927154,0.9665296535525543,0.9657735184823,0.9661514380747408,,0.9931017566532283,0.9933248718413863,repeated_session_grouped,Repeated session-grouped holdout stability analysis
23,decision_tree_gini,ok,40000,10000,0.5113,0.9651,0.9652924527731784,0.9745019920318725,0.9567768433405046,0.9655580775683411,,0.9928154904398971,0.9934243256804064,repeated_session_grouped,Repeated session-grouped holdout stability analysis
23,logistic_regression,ok,40000,10000,0.5113,0.9577,0.9577032565152978,0.9596236769894159,0.957559162918052,0.958590308370044,,0.9926399607863713,0.9938702909275111,repeated_session_grouped,Repeated session-grouped holdout stability analysis
23,linear_svm,ok,40000,10000,0.5113,0.9569,0.9569028476984904,0.9588396707173658,0.9567768433405046,0.9578071463534018,,0.9919847061084921,0.9932285727670763,repeated_session_grouped,Repeated session-grouped holdout stability analysis
23,random_forest,ok,40000,10000,0.5113,0.9515,0.9516448020991202,0.9593092497022628,0.94523762957168,0.9522214560141858,,0.9912633376623444,0.9922927948486662,repeated_session_grouped,Repeated session-grouped holdout stability analysis
23,rbf_svm,ok,8000,10000,0.5113,0.9494,0.9493470084780502,0.9494634146341463,0.9516917660864463,0.9505762844305529,Stratified training subset used because exact RBF SVM training scales poorly with dense one-hot features.,0.9897997100999307,0.991216984544238,repeated_session_grouped,Repeated session-grouped holdout stability analysis
23,knn,ok,14999,10000,0.5113,0.868,0.8675707604416032,0.8596624312535559,0.8865636612556229,0.8729058347775852,Stratified training subset used to keep the instance-based training runtime bounded.,0.9392105111606804,0.9361777643620274,repeated_session_grouped,Repeated session-grouped holdout stability analysis
23,adaboost,ok,40000,10000,0.5113,0.873,0.8749475281995032,0.9550082879469571,0.7887737140621944,0.8639674378748929,,0.9583005615948402,0.9602773069226904,repeated_session_grouped,Repeated session-grouped holdout stability analysis
23,naive_bayes,ok,40000,10000,0.5113,0.8462,0.8443893603096717,0.8040483075352951,0.9245061607666731,0.860080058224163,,0.9238512862829819,0.9200346032720736,repeated_session_grouped,Repeated session-grouped holdout stability analysis
37,hist_gradient_boosting,ok,40000,10000,0.5153,0.9835,0.9835549815425171,0.9861598440545809,0.9817581991073161,0.9839540989983467,,0.997707433332275,0.9983137250440017,repeated_session_grouped,Repeated session-grouped holdout stability analysis
37,xgboost,ok,40000,10000,0.5153,0.9776,0.9776647661804607,0.9808780487804878,0.9755482243353386,0.9782058766296945,,0.9969055024362612,0.9976207985983807,repeated_session_grouped,Repeated session-grouped holdout stability analysis
37,decision_tree_entropy,ok,40000,10000,0.5153,0.9673,0.9675480733139282,0.9766890557092058,0.959441102270522,0.9679882525697504,,0.9944168321449474,0.9944799404784306,repeated_session_grouped,Repeated session-grouped holdout stability analysis
37,decision_tree_gini,ok,40000,10000,0.5153,0.9644,0.9643237541904739,0.9641958583317205,0.9668154473122453,0.9655038759689922,,0.9943308316174935,0.9948284557802248,repeated_session_grouped,Repeated session-grouped holdout stability analysis
37,logistic_regression,ok,40000,10000,0.5153,0.9585,0.9583416527900065,0.9562788906009245,0.9635163982146323,0.9598840019333011,,0.9932560452305119,0.9942238440322839,repeated_session_grouped,Repeated session-grouped holdout stability analysis
37,linear_svm,ok,40000,10000,0.5153,0.9558,0.9556115564369854,0.9528936742934051,0.9617698428100135,0.9573111840834461,,0.9924776763970711,0.9933818616752936,repeated_session_grouped,Repeated session-grouped holdout stability analysis
