model_name,actual_label,predicted_label,count,experiment_name,experiment_label
knn,not_degraded,not_degraded,3971,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
knn,not_degraded,degraded,1008,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
knn,degraded,not_degraded,853,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
knn,degraded,degraded,4168,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
naive_bayes,not_degraded,not_degraded,3548,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
naive_bayes,not_degraded,degraded,1431,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
naive_bayes,degraded,not_degraded,575,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
naive_bayes,degraded,degraded,4446,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
decision_tree_gini,not_degraded,not_degraded,4601,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
decision_tree_gini,not_degraded,degraded,378,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
decision_tree_gini,degraded,not_degraded,535,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
decision_tree_gini,degraded,degraded,4486,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
decision_tree_entropy,not_degraded,not_degraded,4644,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
decision_tree_entropy,not_degraded,degraded,335,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
decision_tree_entropy,degraded,not_degraded,595,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
decision_tree_entropy,degraded,degraded,4426,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
logistic_regression,not_degraded,not_degraded,4448,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
logistic_regression,not_degraded,degraded,531,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
logistic_regression,degraded,not_degraded,518,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
logistic_regression,degraded,degraded,4503,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
linear_svm,not_degraded,not_degraded,4446,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
linear_svm,not_degraded,degraded,533,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
linear_svm,degraded,not_degraded,513,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
linear_svm,degraded,degraded,4508,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
rbf_svm,not_degraded,not_degraded,4505,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
rbf_svm,not_degraded,degraded,474,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
rbf_svm,degraded,not_degraded,555,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
rbf_svm,degraded,degraded,4466,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
random_forest,not_degraded,not_degraded,4548,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
random_forest,not_degraded,degraded,431,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
random_forest,degraded,not_degraded,610,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
random_forest,degraded,degraded,4411,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
adaboost,not_degraded,not_degraded,4463,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
adaboost,not_degraded,degraded,516,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
adaboost,degraded,not_degraded,1382,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
adaboost,degraded,degraded,3639,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
hist_gradient_boosting,not_degraded,not_degraded,4665,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
hist_gradient_boosting,not_degraded,degraded,314,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
hist_gradient_boosting,degraded,not_degraded,502,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
hist_gradient_boosting,degraded,degraded,4519,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
xgboost,not_degraded,not_degraded,4661,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
xgboost,not_degraded,degraded,318,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
xgboost,degraded,not_degraded,522,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
xgboost,degraded,degraded,4499,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
