experiment_name,feature_name,feature_type
reduced_context,hour,numeric
reduced_context,is_weekend,numeric
reduced_context,signal_strength_dbm,numeric
reduced_context,los_probability,numeric
reduced_context,distance_2d_m,numeric
reduced_context,distance_3d_m,numeric
reduced_context,breakpoint_distance_m,numeric
reduced_context,path_loss_db,numeric
reduced_context,deterministic_path_loss_db,numeric
reduced_context,shadow_fading_db,numeric
reduced_context,fast_fading_db,numeric
reduced_context,obstruction_penalty_db,numeric
reduced_context,weather_penalty_db,numeric
reduced_context,mobility_penalty_db,numeric
reduced_context,indoor_penalty_db,numeric
reduced_context,contextual_penalty_db,numeric
reduced_context,signal_strength_unclipped_dbm,numeric
reduced_context,rsrp_clipped,numeric
reduced_context,battery_level_percent,numeric
reduced_context,temperature_c,numeric
reduced_context,connected_duration_min,numeric
reduced_context,interval_handover_count,numeric
reduced_context,cumulative_handover_count,numeric
reduced_context,activity_factor,numeric
reduced_context,data_usage_mb,numeric
reduced_context,distance_to_tower_km,numeric
reduced_context,carrier_frequency_ghz,numeric
reduced_context,day_of_week,categorical
reduced_context,time_of_day_bin,categorical
reduced_context,ue_profile,categorical
reduced_context,ue_capability_class,categorical
reduced_context,network_type,categorical
reduced_context,operator_profile,categorical
reduced_context,infrastructure_profile,categorical
reduced_context,los_state,categorical
reduced_context,band,categorical
reduced_context,app_type,categorical
reduced_context,movement_speed,categorical
reduced_context,weather,categorical
reduced_context,obstruction_level,categorical
reduced_context,congestion_level,categorical
reduced_context,tower_load,categorical
