model_name,training_status,train_row_count,test_row_count,positive_fraction,accuracy,balanced_accuracy,precision,recall,f1,notes,roc_auc,pr_auc,experiment_name,experiment_label
hist_gradient_boosting,ok,40000,10000,0.5021,0.9184,0.9184775219434871,0.9350300020691082,0.9000199163513244,0.9171909884310939,"Reduced context feature set excluding capacity, offered-traffic, and synthetic deployment-area variables.",0.9774216617181126,0.980398279907558,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
xgboost,ok,40000,10000,0.5021,0.916,0.9160841997252831,0.9339838073489724,0.896036646086437,0.9146167920309006,"Reduced context feature set excluding capacity, offered-traffic, and synthetic deployment-area variables.",0.9744591294590437,0.9779251249072693,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
decision_tree_gini,ok,40000,10000,0.5021,0.9087,0.9087643306027918,0.9222861842105263,0.8934475204142601,0.9076378351036924,"Reduced context feature set excluding capacity, offered-traffic, and synthetic deployment-area variables.",0.9711095303721158,0.9734040487462269,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
decision_tree_entropy,ok,40000,10000,0.5021,0.907,0.9071075613773827,0.9296366309598824,0.8814977096195977,0.9049274177059906,"Reduced context feature set excluding capacity, offered-traffic, and synthetic deployment-area variables.",0.9697139057532973,0.9716743230515725,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
rbf_svm,ok,7999,10000,0.5021,0.8971,0.8971322054121034,0.9040485829959514,0.8894642501493726,0.8966971187631764,"Reduced context feature set excluding capacity, offered-traffic, and synthetic deployment-area variables.; Stratified training subset used because exact RBF SVM training scales poorly with dense one-hot features.",0.9620327302573618,0.9660332767460824,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
linear_svm,ok,40000,10000,0.5021,0.8954,0.8953897546752725,0.894267010513787,0.8978291177056363,0.8960445239515007,"Reduced context feature set excluding capacity, offered-traffic, and synthetic deployment-area variables.",0.9617126046103455,0.9653152316264568,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
logistic_regression,ok,40000,10000,0.5021,0.8951,0.8950926894350416,0.8945172824791419,0.8968333001394144,0.8956737941322725,"Reduced context feature set excluding capacity, offered-traffic, and synthetic deployment-area variables.",0.9617804058063584,0.965312414375278,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
random_forest,ok,40000,10000,0.5021,0.8959,0.8959733449698053,0.9109871953738125,0.8785102569209321,0.8944540200750278,"Reduced context feature set excluding capacity, offered-traffic, and synthetic deployment-area variables.",0.9629603866212199,0.9680118004191922,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
knn,ok,14999,10000,0.5021,0.8139,0.8138316159897061,0.8052550231839258,0.8301135232025493,0.8174953417671864,"Reduced context feature set excluding capacity, offered-traffic, and synthetic deployment-area variables.; Stratified training subset used to keep the instance-based benchmark runtime bounded.",0.8897909359121096,0.8872432349234162,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
naive_bayes,ok,40000,10000,0.5021,0.7994,0.7990369350115336,0.7565084226646248,0.8854809798844852,0.8159295283538264,"Reduced context feature set excluding capacity, offered-traffic, and synthetic deployment-area variables.",0.8800640043290363,0.8762534582851454,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
adaboost,ok,40000,10000,0.5021,0.8102,0.810560378285073,0.8758122743682311,0.7247560246962756,0.7931560592850916,"Reduced context feature set excluding capacity, offered-traffic, and synthetic deployment-area variables.",0.8992912634978881,0.8989303129390654,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables"
