overall_rank,experiment_name,experiment_label,model_family,model,f1,balanced_accuracy,roc_auc,pr_auc,recall,precision,accuracy,split_design,preprocessing
1,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",Boosting,Hist Gradient Boosting,0.9171909884310939,0.9184775219434871,0.9774216617181126,0.980398279907558,0.9000199163513244,0.9350300020691082,0.9184,Session-grouped 80/20 holdout,Median/mode imputation; numeric standard scaling; categorical one-hot encoding
2,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",Boosting,XGBoost,0.9146167920309006,0.9160841997252831,0.9744591294590437,0.9779251249072693,0.896036646086437,0.9339838073489724,0.916,Session-grouped 80/20 holdout,Median/mode imputation; numeric standard scaling; categorical one-hot encoding
3,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",Tree,Decision Tree (Gini),0.9076378351036924,0.9087643306027918,0.9711095303721158,0.9734040487462269,0.8934475204142601,0.9222861842105263,0.9087,Session-grouped 80/20 holdout,Median/mode imputation; numeric standard scaling; categorical one-hot encoding
4,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",Tree,Decision Tree (Entropy),0.9049274177059906,0.9071075613773827,0.9697139057532973,0.9716743230515725,0.8814977096195977,0.9296366309598824,0.907,Session-grouped 80/20 holdout,Median/mode imputation; numeric standard scaling; categorical one-hot encoding
5,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",Kernel SVM,RBF SVM,0.8966971187631764,0.8971322054121034,0.9620327302573618,0.9660332767460824,0.8894642501493726,0.9040485829959514,0.8971,Session-grouped 80/20 holdout,Median/mode imputation; numeric standard scaling; categorical one-hot encoding
6,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",Linear SVM,Linear SVM,0.8960445239515007,0.8953897546752725,0.9617126046103455,0.9653152316264568,0.8978291177056363,0.894267010513787,0.8954,Session-grouped 80/20 holdout,Median/mode imputation; numeric standard scaling; categorical one-hot encoding
7,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",Linear,Logistic Regression,0.8956737941322725,0.8950926894350416,0.9617804058063584,0.965312414375278,0.8968333001394144,0.8945172824791419,0.8951,Session-grouped 80/20 holdout,Median/mode imputation; numeric standard scaling; categorical one-hot encoding
8,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",Ensemble tree,Random Forest,0.8944540200750278,0.8959733449698053,0.9629603866212199,0.9680118004191922,0.8785102569209321,0.9109871953738125,0.8959,Session-grouped 80/20 holdout,Median/mode imputation; numeric standard scaling; categorical one-hot encoding
9,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",Instance-based,KNN,0.8174953417671864,0.8138316159897061,0.8897909359121096,0.8872432349234162,0.8301135232025493,0.8052550231839258,0.8139,Session-grouped 80/20 holdout,Median/mode imputation; numeric standard scaling; categorical one-hot encoding
10,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",Probabilistic,Naive Bayes,0.8159295283538264,0.7990369350115336,0.8800640043290363,0.8762534582851454,0.8854809798844852,0.7565084226646248,0.7994,Session-grouped 80/20 holdout,Median/mode imputation; numeric standard scaling; categorical one-hot encoding
11,reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",Boosting,AdaBoost,0.7931560592850916,0.810560378285073,0.8992912634978881,0.8989303129390654,0.7247560246962756,0.8758122743682311,0.8102,Session-grouped 80/20 holdout,Median/mode imputation; numeric standard scaling; categorical one-hot encoding
