experiment_name,feature_name,feature_type
full_context,hour,numeric
full_context,is_weekend,numeric
full_context,signal_strength_dbm,numeric
full_context,los_probability,numeric
full_context,distance_2d_m,numeric
full_context,distance_3d_m,numeric
full_context,breakpoint_distance_m,numeric
full_context,path_loss_db,numeric
full_context,deterministic_path_loss_db,numeric
full_context,shadow_fading_db,numeric
full_context,fast_fading_db,numeric
full_context,obstruction_penalty_db,numeric
full_context,weather_penalty_db,numeric
full_context,mobility_penalty_db,numeric
full_context,indoor_penalty_db,numeric
full_context,contextual_penalty_db,numeric
full_context,signal_strength_unclipped_dbm,numeric
full_context,rsrp_clipped,numeric
full_context,link_capacity_downlink_mbps,numeric
full_context,link_capacity_upload_mbps,numeric
full_context,offered_downlink_mbps,numeric
full_context,offered_upload_mbps,numeric
full_context,battery_level_percent,numeric
full_context,temperature_c,numeric
full_context,connected_duration_min,numeric
full_context,interval_handover_count,numeric
full_context,cumulative_handover_count,numeric
full_context,activity_factor,numeric
full_context,data_usage_mb,numeric
full_context,distance_to_tower_km,numeric
full_context,carrier_frequency_ghz,numeric
full_context,day_of_week,categorical
full_context,time_of_day_bin,categorical
full_context,deployment_area,categorical
full_context,ue_profile,categorical
full_context,ue_capability_class,categorical
full_context,network_type,categorical
full_context,operator_profile,categorical
full_context,infrastructure_profile,categorical
full_context,los_state,categorical
full_context,band,categorical
full_context,app_type,categorical
full_context,movement_speed,categorical
full_context,weather,categorical
full_context,obstruction_level,categorical
full_context,congestion_level,categorical
full_context,tower_load,categorical
