table_name,column_name,column_role,available
dim_time,hour,dimension_attribute,True
dim_time,day_of_week,dimension_attribute,True
dim_time,is_weekend,dimension_attribute,True
dim_time,time_of_day_bin,dimension_attribute,True
dim_area,deployment_area,dimension_attribute,True
dim_area,area_type,dimension_attribute,True
dim_device,ue_profile,dimension_attribute,True
dim_device,ue_capability_class,dimension_attribute,True
dim_network,network_type,dimension_attribute,True
dim_network,operator_profile,dimension_attribute,True
dim_network,infrastructure_profile,dimension_attribute,True
dim_radio,propagation_model,dimension_attribute,True
dim_radio,propagation_scenario,dimension_attribute,True
dim_radio,los_state,dimension_attribute,True
dim_radio,carrier_frequency_ghz,dimension_attribute,True
dim_radio,band,dimension_attribute,True
dim_application,app_type,dimension_attribute,True
dim_mobility,movement_speed,dimension_attribute,True
dim_environment,weather,dimension_attribute,True
dim_environment,obstruction_level,dimension_attribute,True
dim_environment,is_indoor,dimension_attribute,True
dim_service_state,congestion_level,dimension_attribute,True
dim_service_state,tower_load,dimension_attribute,True
dim_service_state,video_quality_label,dimension_attribute,True
dim_service_state,vonr_enabled,dimension_attribute,True
dim_service_state,anomalous,dimension_attribute,True
dim_service_state,dropped_connection,dimension_attribute,True
fact_network_measurement,measurement_id,identifier,True
fact_network_measurement,source_row_number,identifier,True
fact_network_measurement,user_id,identifier,True
fact_network_measurement,session_id,identifier,True
fact_network_measurement,tower_id,identifier,True
fact_network_measurement,timestamp,identifier,True
fact_network_measurement,session_step_index,identifier,True
fact_network_measurement,session_record_count,identifier,True
fact_network_measurement,synthetic_latitude,measure,True
fact_network_measurement,synthetic_longitude,measure,True
fact_network_measurement,signal_strength_dbm,measure,True
fact_network_measurement,los_probability,measure,True
fact_network_measurement,distance_2d_m,measure,True
fact_network_measurement,distance_3d_m,measure,True
fact_network_measurement,breakpoint_distance_m,measure,True
fact_network_measurement,path_loss_db,measure,True
fact_network_measurement,deterministic_path_loss_db,measure,True
fact_network_measurement,shadow_fading_db,measure,True
fact_network_measurement,fast_fading_db,measure,True
fact_network_measurement,obstruction_penalty_db,measure,True
fact_network_measurement,weather_penalty_db,measure,True
fact_network_measurement,mobility_penalty_db,measure,True
fact_network_measurement,indoor_penalty_db,measure,True
fact_network_measurement,contextual_penalty_db,measure,True
fact_network_measurement,effective_tx_power_dbm,measure,True
fact_network_measurement,signal_strength_unclipped_dbm,measure,True
fact_network_measurement,rsrp_clipped,measure,True
fact_network_measurement,link_capacity_downlink_mbps,measure,True
fact_network_measurement,offered_downlink_mbps,measure,True
fact_network_measurement,download_speed_mbps,measure,True
fact_network_measurement,link_capacity_upload_mbps,measure,True
fact_network_measurement,offered_upload_mbps,measure,True
fact_network_measurement,upload_speed_mbps,measure,True
fact_network_measurement,latency_ms,measure,True
fact_network_measurement,jitter_ms,measure,True
fact_network_measurement,ping_ms,measure,True
fact_network_measurement,battery_level_percent,measure,True
fact_network_measurement,temperature_c,measure,True
fact_network_measurement,connected_duration_min,measure,True
fact_network_measurement,interval_handover_count,measure,True
fact_network_measurement,cumulative_handover_count,measure,True
fact_network_measurement,activity_factor,measure,True
fact_network_measurement,data_usage_mb,measure,True
fact_network_measurement,distance_to_tower_km,measure,True
fact_network_measurement,video_quality,measure,True
fact_network_measurement,timestamp_parse_failed,measure,True
