check_name,table_name,check_value,status
source_row_count,synnetqos_core,50000,ok
fact_row_count,fact_network_measurement,50000,ok
fact_row_count_matches_source,fact_network_measurement,True,ok
duplicate_measurement_id_count,fact_network_measurement,0,ok
dimension_row_count,dim_time,168,ok
missing_foreign_key_count,dim_time,0,ok
duplicate_dimension_id_count,dim_time,0,ok
time_dimension_smaller_than_source,dim_time,True,ok
dimension_row_count,dim_area,6,ok
missing_foreign_key_count,dim_area,0,ok
duplicate_dimension_id_count,dim_area,0,ok
dimension_row_count,dim_device,3,ok
missing_foreign_key_count,dim_device,0,ok
duplicate_dimension_id_count,dim_device,0,ok
dimension_row_count,dim_network,117,ok
missing_foreign_key_count,dim_network,0,ok
duplicate_dimension_id_count,dim_network,0,ok
dimension_row_count,dim_radio,18,ok
missing_foreign_key_count,dim_radio,0,ok
duplicate_dimension_id_count,dim_radio,0,ok
dimension_row_count,dim_application,4,ok
missing_foreign_key_count,dim_application,0,ok
duplicate_dimension_id_count,dim_application,0,ok
dimension_row_count,dim_mobility,3,ok
missing_foreign_key_count,dim_mobility,0,ok
duplicate_dimension_id_count,dim_mobility,0,ok
dimension_row_count,dim_environment,15,ok
missing_foreign_key_count,dim_environment,0,ok
duplicate_dimension_id_count,dim_environment,0,ok
dimension_row_count,dim_service_state,105,ok
missing_foreign_key_count,dim_service_state,0,ok
duplicate_dimension_id_count,dim_service_state,0,ok
